graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
jnb,random_add,1,1,JNB-NHLS-TSN677-SAND--BLOEM2,0.2236,1,8,5.5,0.2236,1,8,5.5,0.22654,1,7,5.75,0.22507,1.0,7.5,5.625,0.2236,0.22654,0.00294,0.2236,0.00731,10.67742,0.58065,1.35753,-0.02966,6.29032,-2.54839,-1.31452,0.07182,8.0,1.45161,1.58333,0.03486,3.6129,-1.67742,-1.08871,0.00731,10.74194,1.3871,1.50269,-0.02966,6.35484,-1.74194,-1.16935,0.00731,10.83871,1.06452,1.58871,-0.02966,6.45161,-2.06452,-1.08333,0.03697,4.3871,3.12903,2.67204,0.0,0.0,0.0,0.0
jnb,random_add,2,1,JNB-GREY2-TSN171-UJSO--JNB-GREY1-TSN112-WITSM,0.2236,1,8,5.5,0.22654,1,7,5.75,0.28054,1,7,5.75,0.24356,1.0,7.33333,5.66667,0.22654,0.28054,0.054,0.2236,0.00905,10.6129,0.54839,1.37903,-0.0,7.16129,-4.54839,-2.1371,0.00905,7.58065,1.12903,1.67473,-0.0,4.12903,-3.96774,-1.8414,0.00905,10.6129,1.06452,1.48118,-0.0,7.16129,-4.03226,-2.03495,0.00905,10.6129,0.74194,1.57796,-0.0,7.16129,-4.35484,-1.93817,0.00905,3.45161,5.09677,3.51613,0.0,0.0,0.0,0.0
jnb,random_add,3,1,DURBS--JNB-GREY2-TSN42-UJBU-2,0.2236,1,8,5.5,0.28054,1,7,5.75,0.3473,1,6,6.0,0.26949,1.0,7.0,5.75,0.28054,0.3473,0.06676,0.2236,0.0112,10.41935,0.67742,1.37097,-0.03836,4.67742,-3.3871,-1.06452,0.0112,7.32258,1.35484,1.47849,-0.03836,1.58065,-2.70968,-0.95699,0.0112,10.06452,1.03226,1.54301,-0.03836,4.32258,-3.03226,-0.89247,0.0112,10.3871,0.83871,1.58602,-0.03836,4.64516,-3.22581,-0.84946,0.04956,5.74194,4.06452,2.43548,0.0,0.0,0.0,0.0
jnb,random_add,4,1,JNB-GREY-TSN284-WITS-HJH--JNB-GREY1-TSN690-NHLS-BRAAM,0.2236,1,8,5.5,0.3473,1,6,6.0,0.35142,1,6,6.0,0.28588,1.0,6.8,5.8,0.3473,0.35142,0.00412,0.2236,0.01134,10.48387,0.96774,1.44086,-0.11818,5.41935,-2.16129,-0.84946,0.01134,7.45161,1.54839,1.66667,-0.11818,2.3871,-1.58065,-0.62366,0.01134,10.12903,0.96774,1.55914,-0.11818,5.06452,-2.16129,-0.73118,0.01134,10.22581,0.87097,1.60753,-0.11818,5.16129,-2.25806,-0.6828,0.12952,5.06452,3.12903,2.29032,0.0,0.0,0.0,0.0
jnb,random_add,5,1,SDT-TSN535-UCT-GSB--JNB-GREY1-TSN110-WITSE,0.2236,1,8,5.5,0.35142,1,6,6.0,0.38239,1,6,6.0,0.30196,1.0,6.66667,5.83333,0.35142,0.38239,0.03098,0.2236,0.01234,10.41935,0.70968,1.48925,-0.13892,7.35484,-2.22581,-1.78226,0.01234,7.25806,1.09677,1.65054,-0.13892,4.19355,-1.83871,-1.62097,0.01234,10.09677,1.03226,1.67204,-0.13892,7.03226,-1.90323,-1.59946,0.01234,10.45161,0.70968,1.64516,-0.13892,7.3871,-2.22581,-1.62634,0.15126,3.06452,2.93548,3.27151,0.0,0.0,0.0,0.0
jnb,random_add,6,1,VDP--BLOEM2,0.2236,1,8,5.5,0.38239,1,6,6.0,0.38364,1,5,6.25,0.31363,1.0,6.42857,5.89286,0.38239,0.38364,0.00124,0.2236,0.01238,9.80645,1.09677,1.6129,-0.0,6.29032,-0.80645,-0.38978,0.01238,6.77419,1.32258,1.75806,-0.0,3.25806,-0.58065,-0.24462,0.01238,10.06452,1.09677,1.72043,-0.0,6.54839,-0.80645,-0.28226,0.01238,9.90323,0.77419,1.84409,-0.0,6.3871,-1.12903,-0.1586,0.01238,3.51613,1.90323,2.00269,0.0,0.0,0.0,0.0
jnb,random_add,7,1,JNB-TSN949-GIBS-NORTH--JNB-NHLS-TSN677-SAND,0.2236,1,8,5.5,0.38364,1,5,6.25,0.40468,1,5,6.25,0.32501,1.0,6.25,5.9375,0.38364,0.40468,0.02104,0.2236,0.01305,9.6129,0.67742,1.69624,-0.16334,7.64516,-1.87097,-1.05645,0.07757,6.64516,1.09677,1.69086,-0.09883,4.67742,-1.45161,-1.06183,0.01305,9.70968,0.96774,1.71505,-0.16334,7.74194,-1.58065,-1.03763,0.01305,9.93548,0.70968,1.82258,-0.16334,7.96774,-1.83871,-0.93011,0.1764,1.96774,2.54839,2.75269,0.0,0.0,0.0,0.0
jnb,random_add,8,1,JNB-GREY2-TSN659-WITS-CLMDC--THY-TSN87-UNIVEN-MC-PE,0.2236,1,8,5.5,0.40468,1,5,6.25,0.45237,1,5,6.5,0.33916,1.0,6.11111,6.0,0.40468,0.45237,0.04769,0.2236,0.01459,9.29032,0.51613,1.5457,-0.07611,3.93548,-1.22581,-0.77957,0.07911,6.45161,0.77419,1.79301,-0.0116,1.09677,-0.96774,-0.53226,0.01459,9.03226,0.90323,1.65323,-0.07611,3.67742,-0.83871,-0.67204,0.01459,9.3871,0.58065,1.71774,-0.07611,4.03226,-1.16129,-0.60753,0.0907,5.35484,1.74194,2.32527,0.0,0.0,0.0,0.0
jnb,random_add,9,1,BLOEM3--JNB2,0.2236,1,8,5.5,0.45237,1,5,6.5,0.49449,1,4,7.0,0.3547,1.0,5.9,6.1,0.45237,0.49449,0.04212,0.2236,0.01595,9.25806,0.48387,1.58333,-0.06063,5.06452,-0.80645,-1.31452,0.08047,5.80645,0.77419,1.79301,0.00389,1.6129,-0.51613,-1.10484,0.01595,9.32258,0.74194,1.62634,-0.06063,5.12903,-0.54839,-1.27151,0.01595,9.3871,0.54839,1.73387,-0.06063,5.19355,-0.74194,-1.16398,0.07658,4.19355,1.29032,2.89785,0.0,0.0,0.0,0.0
jnb,random_add,10,1,JNB-GREY1-TSN690-NHLS-BRAAM--BLOEM3,0.2236,1,8,5.5,0.49449,1,4,7.0,0.52735,1,4,7.0,0.37039,1.0,5.72727,6.18182,0.49449,0.52735,0.03286,0.2236,0.01701,9.0,0.3871,1.64516,-0.08495,5.77419,-0.93548,-1.45161,0.08153,5.77419,0.74194,1.9,-0.02043,2.54839,-0.58065,-1.19677,0.01701,9.09677,0.58065,1.62366,-0.08495,5.87097,-0.74194,-1.47312,0.01701,8.80645,0.45161,1.80645,-0.08495,5.58065,-0.87097,-1.29032,0.10196,3.22581,1.32258,3.09677,0.0,0.0,0.0,0.0
