node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
JNB2,1,32,0.3836381262809121,5,1,6.25,random,0.3836381262809121,1.0,5.0,6.25
JNB-GREY-TSN284-WITS-HJH,2,31,2.270082769003507e-15,7,2,3.5,random,0.19181906314045719,1.5,6.0,4.875
JNB-TSN251-GIBS,3,30,7.742398159555737e-16,6,2,3.3333333333333335,random,0.12787937542697173,1.6666666666666667,6.0,4.361111111111112
JNB5-TSN249,4,29,1.0651935862127082e-15,6,2,3.0,random,0.09590953157022905,1.75,6.0,4.020833333333333
JNB-GREY2-TSN42-UJBU,5,28,1.2216484783707539e-15,6,2,2.6666666666666665,random,0.07672762525618348,1.8,6.0,3.75
CAPE,6,27,1.0805717921812203e-15,6,2,2.5,random,0.06393968771348642,1.8333333333333333,6.0,3.5416666666666665
JNB-GREY-TSN285-WITS-RMH,7,26,-1.195887288762683e-17,5,2,2.5,random,0.05480544661155978,1.8571428571428572,5.857142857142857,3.392857142857143
BLOEM3,8,25,1.0266941698927808e-15,4,2,2.3333333333333335,random,0.04795476578511494,1.875,5.625,3.2604166666666665
DURBS,9,24,7.430995491164268e-16,3,2,2.3333333333333335,random,0.042626458475657804,1.8888888888888888,5.333333333333333,3.1574074074074074
THY-TSN87-UNIVEN-MC-PE,10,23,7.243856158979328e-16,3,2,3.0,random,0.038363812628092096,1.9,5.1,3.1416666666666666
JNB-GREY2-TSN171-UJSO,11,22,3.984715787004558e-16,2,2,3.0,random,0.03487619329826558,1.9090909090909092,4.818181818181818,3.1287878787878785
JNB-GREY1-TSN112-WITSM,12,21,-3.1205012231785713e-16,2,3,2.6666666666666665,random,0.031969843856743424,2.0,4.583333333333333,3.090277777777778
JNB-TSN199-UNISA-SBL-PE,13,20,3.8498253129593664e-17,2,4,2.0,random,0.029510625098532393,2.1538461538461537,4.384615384615385,3.0064102564102564
JNB-TSN76-UNISA-FLORIDA-PE,14,19,-8.884060055480803e-17,1,4,2.0,random,0.027402723305780075,2.2857142857142856,4.142857142857143,2.9345238095238098
MTZ,15,18,-3.5365532949718846e-16,1,4,2.0,random,0.02557587508539471,2.4,3.933333333333333,2.8722222222222222
JNB-GREY1-TSN110-WITSE,16,17,-2.500045364454845e-16,0,4,2.0,random,0.023977382892557526,2.5,3.6875,2.8177083333333335
CPT1,17,16,-4.7229385885612623e-17,0,5,2.0,random,0.022566948604760023,2.6470588235294117,3.4705882352941178,2.769607843137255
JNB-TSN44-UJ-DF-PE,18,15,-2.5125602679692066e-16,0,4,1.0,random,0.0213132292378289,2.7222222222222223,3.2777777777777777,2.6712962962962963
JNB3,19,14,-1.1446537898713e-16,0,5,1.0,random,0.02019148033057474,2.8421052631578947,3.1052631578947367,2.5833333333333335
JNB-GREY1-TSN690-NHLS-BRAAM,20,13,0.0,0,6,1.0,random,0.019181906314046003,3.0,2.95,2.504166666666667
ISD1,21,12,0.0,0,5,1.0,random,0.018268482203853336,3.0952380952380953,2.8095238095238093,2.432539682539683
JNB-GREY2-TSN295-CSIR-CTF,22,11,0.0,0,6,1.0,random,0.01743809664913273,3.227272727272727,2.6818181818181817,2.3674242424242427
JNB-GREY2-TSN42-UJBU-2,23,10,0.0,0,5,1.0,random,0.016679918533953043,3.3043478260869565,2.5652173913043477,2.307971014492754
BLOEM2,24,9,0.0,0,5,2.0,random,0.015984921928371667,3.375,2.4583333333333335,2.295138888888889
VDP,25,8,0.0,0,6,1.0,random,0.015345525051236802,3.48,2.36,2.2433333333333336
JNB1,26,7,0.0,0,5,1.0,random,0.014755312549266155,3.5384615384615383,2.269230769230769,2.1955128205128207
JNB-GREY2-TSN99-CSMI,27,6,0.0,0,5,1.0,random,0.014208819491885927,3.5925925925925926,2.185185185185185,2.1512345679012346
JNB-GREY2-TSN659-WITS-CLMDC,28,5,0.0,0,4,1.0,random,0.013701361652890001,3.607142857142857,2.107142857142857,2.110119047619048
JNB-TSN949-GIBS-NORTH,29,4,0.0,0,3,1.0,random,0.013228900906238622,3.586206896551724,2.0344827586206895,2.07183908045977
UNISA,30,3,0.0,0,3,1.0,random,0.012787937542697334,3.566666666666667,1.9666666666666666,2.036111111111111
SDT-TSN535-UCT-GSB,31,2,0.0,0,2,1.0,random,0.012375423428416776,3.5161290322580645,1.903225806451613,2.002688172043011
JNB2,1,32,0.3836381262809121,5,1,6.25,core influence,0.3836381262809121,1.0,5.0,6.25
JNB1,2,31,2.270082769003507e-15,7,2,3.5,core influence,0.19181906314045719,1.5,6.0,4.875
JNB3,3,30,-4.2852129539898777e-16,7,2,4.666666666666667,core influence,0.1278793754269713,1.6666666666666667,6.333333333333333,4.805555555555556
ISD1,4,29,5.003547925989068e-16,6,2,4.333333333333333,core influence,0.0959095315702286,1.75,6.25,4.6875
JNB-GREY2-TSN42-UJBU-2,5,28,-4.1014460458633476e-16,3,9,1.75,core influence,0.0767276252561828,3.2,5.6,4.1
JNB-GREY2-TSN42-UJBU,6,27,-3.0815417843153106e-16,1,11,1.3333333333333333,core influence,0.06393968771348561,4.5,4.833333333333333,3.638888888888889
JNB-GREY1-TSN690-NHLS-BRAAM,7,26,-5.372366506483944e-17,1,12,2.6666666666666665,core influence,0.054805446611559096,5.571428571428571,4.285714285714286,3.5
JNB-GREY-TSN284-WITS-HJH,8,25,-1.3241808763360172e-16,1,13,1.3333333333333333,core influence,0.04795476578511419,6.5,3.875,3.2291666666666665
BLOEM2,9,24,-1.3241808763360172e-16,1,13,2.6666666666666665,core influence,0.04262645847565705,7.222222222222222,3.5555555555555554,3.1666666666666665
JNB-GREY1-TSN110-WITSE,10,23,0.0,0,14,3.0,core influence,0.03836381262809134,7.9,3.2,3.15
JNB-TSN44-UJ-DF-PE,11,22,-2.040388071311545e-16,0,16,1.5,core influence,0.034876193298264836,8.636363636363637,2.909090909090909,3.0
SDT-TSN535-UCT-GSB,12,21,0.0,1,16,1.3333333333333333,core influence,0.031969843856742765,9.25,2.75,2.861111111111111
JNB-GREY2-TSN171-UJSO,13,20,0.0,1,17,1.0,core influence,0.029510625098531786,9.846153846153847,2.6153846153846154,2.717948717948718
JNB-GREY1-TSN112-WITSM,14,19,0.0,0,18,1.0,core influence,0.027402723305779513,10.428571428571429,2.4285714285714284,2.5952380952380953
JNB5-TSN249,15,18,0.0,0,17,1.0,core influence,0.025575875085394214,10.866666666666667,2.2666666666666666,2.488888888888889
JNB-NHLS-TSN677-SAND,16,17,0.0,0,16,1.0,core influence,0.023977382892557075,11.1875,2.125,2.3958333333333335
JNB-TSN76-UNISA-FLORIDA-PE,17,16,0.0,0,15,1.0,core influence,0.0225669486047596,11.411764705882353,2.0,2.3137254901960786
JNB-TSN251-GIBS,18,15,0.0,0,14,1.0,core influence,0.02131322923782851,11.555555555555555,1.8888888888888888,2.240740740740741
JNB-TSN949-GIBS-NORTH,19,14,0.0,0,14,1.0,core influence,0.020191480330574378,11.68421052631579,1.7894736842105263,2.175438596491228
MTZ,20,13,0.0,0,13,1.0,core influence,0.01918190631404566,11.75,1.7,2.1166666666666667
VDP,21,12,0.0,0,12,1.0,core influence,0.01826848220385301,11.761904761904763,1.619047619047619,2.0634920634920637
JNB-GREY-TSN285-WITS-RMH,22,11,0.0,0,11,1.0,core influence,0.017438096649132418,11.727272727272727,1.5454545454545454,2.015151515151515
JNB-GREY2-TSN295-CSIR-CTF,23,10,0.0,0,10,1.0,core influence,0.01667991853395275,11.652173913043478,1.4782608695652173,1.9710144927536233
JNB-GREY2-TSN99-CSMI,24,9,0.0,0,9,1.0,core influence,0.015984921928371382,11.541666666666666,1.4166666666666667,1.9305555555555556
JNB-GREY2-TSN659-WITS-CLMDC,25,8,0.0,0,8,1.0,core influence,0.015345525051236528,11.4,1.36,1.8933333333333335
DURBS,26,7,0.0,0,7,1.0,core influence,0.014755312549265893,11.23076923076923,1.3076923076923077,1.858974358974359
BLOEM3,27,6,0.0,0,6,1.0,core influence,0.014208819491885674,11.037037037037036,1.2592592592592593,1.8271604938271606
UNISA,28,5,0.0,0,5,1.0,core influence,0.013701361652889757,10.821428571428571,1.2142857142857142,1.7976190476190477
