graph,strategy,step,num_edges_added_this_step,edges_added,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
pta,areas_low_nonconnect,1,1,PTA-GREYN1-TSN354-TUT-MONITOR--PTA-TSN940-DHA-SOSH,0.05663,0.0604,0.00377,0.05663,0.00101,13.18333,1.68333,1.40651,-0.00155,4.56667,-3.08333,-0.16159,0.03434,5.91667,1.3,1.68456,0.03179,-2.7,-3.46667,0.11647,0.00101,13.33333,1.91667,1.50452,-0.00155,4.71667,-2.85,-0.06357,0.00101,15.35,1.76667,1.5202,-0.00155,6.73333,-3.0,-0.0479,0.00255,8.61667,4.76667,1.5681,0.0,0.0,0.0,0.0
pta,areas_low_nonconnect,2,1,PTA-GREYN1-TSN354-TUT-MONITOR--PTA-GREYS2-TSN262-ARCISCW,0.0604,0.06049,8e-05,0.05663,0.00101,12.81667,1.73333,1.45873,0.0,2.2,-0.71667,-0.20659,0.06714,5.91667,1.11667,1.7404,0.06613,-4.7,-1.33333,0.07508,0.00101,14.55,2.55,1.37984,0.0,3.93333,0.1,-0.28548,0.00101,15.2,1.76667,1.5056,0.0,4.58333,-0.68333,-0.15972,0.00101,10.61667,2.45,1.66532,0.0,0.0,0.0,0.0
pta,areas_low_nonconnect,3,1,PTA-GREYN1-TSN354-TUT-MONITOR--PTA-GREYS2-TSN300-DAFF,0.06049,0.0605,2e-05,0.05663,0.00101,12.8,1.68333,1.42139,-0.00251,4.56667,-2.95,-0.77679,0.06714,5.8,1.1,1.77306,0.06362,-2.43333,-3.53333,-0.42512,0.00101,13.93333,2.48333,1.49917,-0.00251,5.7,-2.15,-0.69901,0.00101,14.75,1.81667,1.52583,-0.00251,6.51667,-2.81667,-0.67234,0.00352,8.23333,4.63333,2.19817,0.0,0.0,0.0,0.0
pta,areas_low_nonconnect,4,1,PTA-GREYN1-TSN354-TUT-MONITOR--PTA-GREYS2-TSN509-UP-MAMC,0.0605,0.06802,0.00752,0.05663,0.00113,12.7,1.68333,1.49956,-0.00305,4.71667,-1.53333,-0.37635,0.0609,6.13333,1.38333,1.66627,0.05672,-1.85,-1.83333,-0.20964,0.00113,14.0,2.06667,1.42238,-0.00305,6.01667,-1.15,-0.45353,0.00113,14.71667,1.78333,1.53655,-0.00305,6.73333,-1.43333,-0.33937,0.00418,7.98333,3.21667,1.87591,0.0,0.0,0.0,0.0
pta,areas_low_nonconnect,5,1,PTA-GREYN1-TSN354-TUT-MONITOR--PTA-GREYN1-TSN184-UNISA-LTC,0.06802,0.06831,0.00029,0.05663,0.00114,13.23333,1.58333,1.41615,-0.00191,4.3,-2.55,-0.49881,0.00114,6.63333,1.5,1.48921,-0.00191,-2.3,-2.63333,-0.42575,0.00114,15.18333,1.33333,1.34,-0.00191,6.25,-2.8,-0.57496,0.00114,14.85,1.81667,1.51409,-0.00191,5.91667,-2.31667,-0.40087,0.00305,8.93333,4.13333,1.91496,0.0,0.0,0.0,0.0
pta,areas_low_nonconnect,6,1,PTA-GREYN1-TSN354-TUT-MONITOR--PTA-GREYN1-TSN200-UNISA-SSE,0.06831,0.06837,7e-05,0.05663,0.00114,13.26667,1.83333,1.47964,-0.00216,6.35,-3.0,-0.63659,0.00114,6.88333,1.7,1.43548,-0.00216,-0.03333,-3.13333,-0.68075,0.00114,15.13333,1.98333,1.38103,-0.00216,8.21667,-2.85,-0.7352,0.00114,14.78333,2.06667,1.54131,-0.00216,7.86667,-2.76667,-0.57492,0.0033,6.91667,4.83333,2.11623,0.0,0.0,0.0,0.0
pta,areas_low_nonconnect,7,1,PTA-GREYN1-TSN354-TUT-MONITOR--PTA-GREYN1-TSN201-UNISA-SSW,0.06837,0.06867,0.00029,0.05663,0.00114,13.3,1.91667,1.52119,-0.00454,4.58333,-1.01667,-0.5027,0.00114,6.85,1.68333,1.53786,-0.00454,-1.86667,-1.25,-0.48603,0.00114,14.93333,2.05,1.36452,-0.00454,6.21667,-0.88333,-0.65937,0.00114,14.71667,2.08333,1.50313,-0.00454,6.0,-0.85,-0.52075,0.00568,8.71667,2.93333,2.02389,0.0,0.0,0.0,0.0
pta,areas_low_nonconnect,8,1,PTA-GREYN1-TSN354-TUT-MONITOR--PTA-GREYN1-TSN399-TUT-ZAR,0.06867,0.06892,0.00025,0.05663,0.00115,13.25,1.96667,1.51468,-0.00373,4.48333,-0.03333,-0.69325,0.00115,6.81667,1.61667,1.44857,-0.00373,-1.95,-0.38333,-0.75937,0.00115,13.96667,2.15,1.50667,-0.00373,5.2,0.15,-0.70127,0.00115,14.38333,2.08333,1.52885,-0.00373,5.61667,0.08333,-0.67909,0.00487,8.76667,2.0,2.20794,0.0,0.0,0.0,0.0
pta,areas_low_nonconnect,9,1,PTA-GREYN1-TSN354-TUT-MONITOR--PTA-GREYN1-TSN315-BREYTEN,0.06892,0.0694,0.00048,0.05663,0.00116,13.1,1.53333,1.51921,-0.00113,5.86667,-0.68333,-1.33139,0.00116,6.95,1.55,1.58579,-0.00113,-0.28333,-0.66667,-1.2648,0.00214,14.23333,1.95,1.4169,-0.00015,7.0,-0.26667,-1.43369,0.00116,14.33333,1.88333,1.59333,-0.00113,7.1,-0.33333,-1.25726,0.00229,7.23333,2.21667,2.8506,0.0,0.0,0.0,0.0
pta,areas_low_nonconnect,10,1,PTA-TSN940-DHA-SOSH--PTA-GREYS2-TSN262-ARCISCW,0.0694,0.06988,0.00048,0.05663,0.00116,12.71667,1.68333,1.48095,-0.0024,1.85,-0.63333,-0.72313,0.00116,6.83333,1.56667,1.58484,-0.0024,-4.03333,-0.75,-0.61925,0.00116,13.48333,1.46667,1.55159,-0.0024,2.61667,-0.85,-0.6525,0.00116,13.96667,1.71667,1.57325,-0.0024,3.1,-0.6,-0.63083,0.00357,10.86667,2.31667,2.20409,0.0,0.0,0.0,0.0
