node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
PTA-GREYN1-TSN391-TUT-KOSMOS,1,61,0.06830609353213488,4,1,4.714285714285714,random,0.06830609353213488,1.0,4.0,4.714285714285714
PTA3,2,60,0.049402589650967936,4,1,5.0,random,0.05885434159155141,1.0,4.0,4.857142857142858
PTA-GREYN1-TSN161-TUT-SOSN,3,59,0.04950104801607742,4,1,4.666666666666667,random,0.05573657706639341,1.0,4.0,4.7936507936507935
PTA-GREYN1-TSN184-UNISA-LTC,4,58,0.04715487723425609,4,1,4.666666666666667,random,0.05359115210835908,1.0,4.0,4.761904761904762
PTA-GREYS2-TSN159-TUT-ARTS,5,57,-1.6700727732238022e-17,4,2,3.6666666666666665,random,0.04287292168668726,1.2,4.0,4.542857142857143
PTA-GREYS2-TSN262-ARCISCW,6,56,5.149972867944264e-16,4,2,3.6666666666666665,random,0.03572743473890614,1.3333333333333333,4.0,4.396825396825396
PTA-GREYS2-TSN158-TUT-ARCADIA,7,55,1.1438309752731079e-15,4,2,3.6666666666666665,random,0.030623515490491138,1.4285714285714286,4.0,4.292517006802721
PTA-GREYS2-TSN38-SAASTA,8,54,7.792564007355361e-16,4,2,3.3333333333333335,random,0.026795576054179843,1.5,4.0,4.1726190476190474
PTA-GREYN1-TSN200-UNISA-SSE,9,53,1.8468055199157143e-16,5,2,3.3333333333333335,random,0.023818289825937658,1.5555555555555556,4.111111111111111,4.079365079365079
PTA-GREYN1-TSN203-UNISA-SN,10,52,4.612083601116704e-16,4,2,3.8333333333333335,random,0.02143646084334394,1.6,4.1,4.0547619047619055
PTA-GREYS2-TSN973-UNIVEN-COL,11,51,-6.59672412806702e-16,4,2,3.5,random,0.01948769167576716,1.6363636363636365,4.090909090909091,4.004329004329005
PTA-GREYN1-TSN162-TUT-SOSS,12,50,1.1270058847300243e-15,5,2,3.4,random,0.01786371736945332,1.6666666666666667,4.166666666666667,3.953968253968254
PTA4,13,49,1.847083328985663e-16,6,2,3.2,random,0.016489585264110772,1.6923076923076923,4.3076923076923075,3.895970695970696
