graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
pta,fiedler_greedy,1,1,JNB-TSN199-UNISA-SBL-PE--PTA-GREYN1-TSN201-UNISA-SSW,0.05663,1,4,4.14286,0.05663,1,4,4.14286,0.07895,1,5,4.28571,0.06779,1.0,4.5,4.21429,0.05663,0.07895,0.02231,0.05663,0.00132,14.06667,2.18333,1.51587,-0.00135,3.1,-0.71667,-0.15472,0.00132,6.23333,1.56667,1.63202,-0.00135,-4.73333,-1.33333,-0.03857,0.00132,13.11667,2.35,1.81865,-0.00135,2.15,-0.55,0.14806,0.00132,15.8,1.75,1.46337,-0.00135,4.83333,-1.15,-0.20722,0.00267,10.96667,2.9,1.6706,0.0,0.0,0.0,0.0
pta,fiedler_greedy,2,1,PTA-GREYN1-TSN203-UNISA-SN--PTA-GREYS2-TSN262-ARCISCW,0.05663,1,4,4.14286,0.07895,1,5,4.28571,0.09006,1,6,4.28571,0.07521,1.0,5.0,4.2381,0.07895,0.09006,0.01112,0.05663,0.0015,14.3,2.3,1.58794,-0.00318,5.33333,-1.18333,-0.45266,0.03483,6.61667,2.2,1.73694,0.03015,-2.35,-1.28333,-0.30365,0.0015,13.65,2.28333,1.61865,-0.00318,4.68333,-1.2,-0.42194,0.0015,16.1,1.83333,1.52849,-0.00318,7.13333,-1.65,-0.5121,0.00468,8.96667,3.48333,2.0406,0.0,0.0,0.0,0.0
pta,fiedler_greedy,3,1,PTA-GREYN1-TSN315-BREYTEN--PTA-GREYS1-TSN30-NRF,0.05663,1,4,4.14286,0.09006,1,6,4.28571,0.11551,1,5,4.28571,0.08529,1.0,5.0,4.25,0.09006,0.11551,0.02544,0.05663,0.00193,14.68333,2.16667,1.55254,-0.00088,5.26667,-1.1,-0.37083,0.00193,6.36667,1.93333,1.77254,-0.00088,-3.05,-1.33333,-0.15083,0.00193,16.38333,2.08333,1.39671,-0.00088,6.96667,-1.18333,-0.52667,0.00193,16.25,1.85,1.50313,-0.00088,6.83333,-1.41667,-0.42024,0.00281,9.41667,3.26667,1.92337,0.0,0.0,0.0,0.0
pta,fiedler_greedy,4,1,PTA-GREYN1-TSN49-TUT-ERC-GAR--PTA-GREYS2-TSN38-SAASTA,0.05663,1,4,4.14286,0.11551,1,5,4.28571,0.13415,1,6,4.28571,0.09506,1.0,5.2,4.25714,0.11551,0.13415,0.01864,0.05663,0.00224,15.26667,1.83333,1.55512,-0.00754,6.76667,-1.43333,-0.32825,0.00224,6.53333,2.51667,1.9806,-0.00754,-1.96667,-0.75,0.09722,0.00224,13.61667,2.45,1.8631,-0.00754,5.11667,-0.81667,-0.02028,0.00224,16.55,1.58333,1.46063,-0.00754,8.05,-1.68333,-0.42274,0.00978,8.5,3.26667,1.88337,0.0,0.0,0.0,0.0
pta,fiedler_greedy,5,1,PTA-GREYS2-TSN29-ZOO--PTA-GREYS3-TSN403-ASSAF,0.05663,1,4,4.14286,0.13415,1,6,4.28571,0.14129,1,6,4.28571,0.10276,1.0,5.33333,4.2619,0.13415,0.14129,0.00713,0.05663,0.00235,15.6,1.51667,1.55012,-0.00637,6.61667,-1.25,-0.72603,0.00235,6.58333,2.3,2.04615,-0.00637,-2.4,-0.46667,-0.23,0.00235,15.61667,2.18333,1.56532,-0.00637,6.63333,-0.58333,-0.71083,0.00235,17.66667,1.53333,1.45448,-0.00637,8.68333,-1.23333,-0.82167,0.00872,8.98333,2.76667,2.27615,0.0,0.0,0.0,0.0
pta,fiedler_greedy,6,1,PTA-TSN940-DHA-SOSH--PTA-GREYS2-TSN299-ARCIAE,0.05663,1,4,4.14286,0.14129,1,6,4.28571,0.1663,1,5,4.28571,0.11184,1.0,5.28571,4.26531,0.14129,0.1663,0.02502,0.05663,0.00277,15.43333,1.05,1.57087,-0.01678,7.9,-3.71667,-0.79194,0.00277,6.28333,1.66667,1.98282,-0.01678,-1.25,-3.1,-0.38,0.00277,16.81667,1.55,1.43377,-0.01678,9.28333,-3.21667,-0.92905,0.00277,18.0,1.31667,1.31421,-0.01678,10.46667,-3.45,-1.04861,0.01955,7.53333,4.76667,2.36282,0.0,0.0,0.0,0.0
pta,fiedler_greedy,7,1,PTA-GREYS2-TSN16-HSRC-MC--PTA-GREYS2-TSN509-UP-MAMC,0.05663,1,4,4.14286,0.1663,1,5,4.28571,0.17756,1,5,4.28571,0.12006,1.0,5.25,4.26786,0.1663,0.17756,0.01126,0.05663,0.00296,15.21667,1.43333,1.62448,-0.01916,8.35,-2.48333,-0.72611,0.00296,6.18333,1.81667,2.12143,-0.01916,-0.68333,-2.1,-0.22917,0.00296,18.05,0.63333,1.28968,-0.01916,11.18333,-3.28333,-1.06091,0.00296,18.45,0.8,1.18341,-0.01916,11.58333,-3.11667,-1.16718,0.02212,6.86667,3.91667,2.3506,0.0,0.0,0.0,0.0
pta,fiedler_greedy,8,1,PTA-GREYN1-TSN354-TUT-MONITOR--PTA-GREYN2-TSN395-TUT-ZET,0.05663,1,4,4.14286,0.17756,1,5,4.28571,0.19728,1,5,4.42857,0.12864,1.0,5.22222,4.28571,0.17756,0.19728,0.01971,0.05663,0.00329,15.5,1.96667,1.58187,-0.01185,9.8,-1.38333,-0.70167,0.00329,5.46667,1.91667,2.11131,-0.01185,-0.23333,-1.43333,-0.17222,0.00329,18.33333,1.1,1.36103,-0.01185,12.63333,-2.25,-0.9225,0.00329,18.21667,0.96667,1.21524,-0.01185,12.51667,-2.38333,-1.06829,0.01514,5.7,3.35,2.28353,0.0,0.0,0.0,0.0
pta,fiedler_greedy,9,1,PTA-TSN940-DHA-SOSH--PTA-GREYN1-TSN184-UNISA-LTC,0.05663,1,4,4.14286,0.19728,1,5,4.42857,0.23011,1,4,4.42857,0.13878,1.0,5.1,4.3,0.19728,0.23011,0.03284,0.05663,0.00384,15.81667,1.88333,1.45881,-0.03391,12.01667,-1.05,-1.14861,0.03717,5.51667,2.0,2.08992,-0.00057,1.71667,-0.93333,-0.5175,0.00384,16.8,0.88333,1.31825,-0.03391,13.0,-2.05,-1.28917,0.00384,17.53333,1.25,1.32492,-0.03391,13.73333,-1.68333,-1.2825,0.03774,3.8,2.93333,2.60742,0.0,0.0,0.0,0.0
pta,fiedler_greedy,10,1,PTA-GREYS2-TSN355-TUT-LEGAE--PTA-GREYS2-TSN40-USAF,0.05663,1,4,4.14286,0.23011,1,4,4.42857,0.26966,1,4,4.42857,0.15068,1.0,5.0,4.31169,0.23011,0.26966,0.03954,0.05663,0.00449,15.35,1.83333,1.59881,-0.03639,10.15,-1.18333,-0.65056,0.00508,5.73333,1.76667,2.20575,-0.0358,0.53333,-1.25,-0.04361,0.00449,15.66667,0.91667,1.48508,-0.03639,10.46667,-2.1,-0.76429,0.00449,17.61667,1.15,1.30659,-0.03639,12.41667,-1.86667,-0.94278,0.04088,5.2,3.01667,2.24937,0.0,0.0,0.0,0.0
