node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
PTA-GREYS3-TSN259-SAWS,1,61,0.16630476798765562,5,1,4.285714285714286,random,0.16630476798765562,1.0,5.0,4.285714285714286
PTA-GREYN1-TSN200-UNISA-SSE,2,60,0.1658459482133725,5,1,4.333333333333333,random,0.16607535810051405,1.0,5.0,4.309523809523809
PTA-GREYN1-TSN184-UNISA-LTC,3,59,0.1469975110128251,5,1,4.333333333333333,random,0.15971607573795107,1.0,5.0,4.317460317460317
PTA-GREYN1-TSN354-TUT-MONITOR,4,58,0.16229555614131505,4,1,4.333333333333333,random,0.16036094583879207,1.0,4.75,4.321428571428571
PTA-GREYN1-TSN353-TUT-TEMPO,5,57,0.16740915449915914,4,1,4.333333333333333,random,0.1617705875708655,1.0,4.6,4.3238095238095235
PTA-GREYS2-TSN410-TUT-BAE,6,56,0.14486290823599993,5,1,4.333333333333333,random,0.15895264101505455,1.0,4.666666666666667,4.325396825396825
PTA-TSN455-SITA-CENT-PE,7,55,0.13911685668398446,5,1,4.333333333333333,random,0.15611895753918742,1.0,4.714285714285714,4.326530612244897
PTA-GREYS2-TSN499-DFASAMCOR,8,54,0.08012254288043548,5,1,4.0,random,0.1466194057068434,1.0,4.75,4.285714285714286
PTA-TSN940-DHA-SOSH,9,53,3.304023448035664e-16,5,2,3.8333333333333335,random,0.1303283606283053,1.1111111111111112,4.777777777777778,4.235449735449736
PTA-GREYS1-TSN30-NRF,10,52,-1.3215848300119287e-17,5,2,3.8333333333333335,random,0.11729552456547476,1.2,4.8,4.1952380952380945
PTA-GREYS2-TSN299-ARCIAE,11,51,-3.9872398004492245e-16,6,3,3.5,random,0.10663229505952247,1.3636363636363635,4.909090909090909,4.132034632034632
PTA-GREYS3-TSN403-ASSAF,12,50,-3.6561785479767064e-16,7,4,3.8,random,0.0977462704712289,1.5833333333333333,5.083333333333333,4.104365079365079
NLP-TSN344-UMP-DC2-PE,13,49,-1.0215217758299033e-15,8,5,3.6,random,0.09022732658882661,1.8461538461538463,5.3076923076923075,4.065567765567765
PTA-GREYS3-TSN8-CHE,14,48,-7.136407421378307e-17,7,5,3.6,random,0.08378251754676756,2.0714285714285716,5.428571428571429,4.032312925170068
PTA-GREYN2-TSN395-TUT-ZET,15,47,-2.1601329351717922e-16,6,5,3.6,random,0.07819701637698304,2.2666666666666666,5.466666666666667,4.003492063492064
PTA-GREYN1-TSN298-ARCOVI,16,46,-1.0576858839499346e-16,8,5,3.4,random,0.07330970285342159,2.4375,5.625,3.9657738095238093
PTA-GREYN1-TSN201-UNISA-SSW,17,45,-8.742114731155771e-16,8,5,3.2,random,0.06899736739145557,2.588235294117647,5.764705882352941,3.9207282913165264
PTA-GREYS2-TSN355-TUT-LEGAE,18,44,1.200431451242724e-17,8,6,2.8,random,0.06516418031415247,2.7777777777777777,5.888888888888889,3.8584656084656084
PTA-GREYN1-TSN315-BREYTEN,19,43,6.77000880011888e-17,8,7,2.8,random,0.06173448661340761,3.0,6.0,3.802756892230576
PTA-GREYS2-TSN973-UNIVEN-COL,20,42,-8.890002792587188e-16,8,6,2.8,random,0.05864776228273718,3.15,6.1,3.752619047619048
PTA-GREYS2-TSN660-NSF-NDI,21,41,-1.3953366498798037e-16,8,6,2.8,random,0.05585501169784494,3.2857142857142856,6.190476190476191,3.7072562358276646
PTA-GREYS2-TSN257-SANBI,22,40,-2.0675241449301523e-16,8,6,2.5,random,0.05331614752976106,3.409090909090909,6.2727272727272725,3.6523809523809523
PTA-GREYN1-TSN162-TUT-SOSS,23,39,-4.0982172364971295e-18,7,6,2.5,random,0.050998054158901886,3.5217391304347827,6.304347826086956,3.6022774327122153
PTA-GREYS2-TSN159-TUT-ARTS,24,38,-7.066686390479075e-19,8,7,2.5,random,0.04887313523561431,3.6666666666666665,6.375,3.5563492063492066
PTA2,25,37,-2.5870219339968417e-16,7,8,2.5,random,0.04691820982618973,3.84,6.4,3.5140952380952384
PTA-GREYS2-TSN16-HSRC-MC,26,36,-2.1870945370962413e-16,5,12,1.5,random,0.045113663294413194,4.153846153846154,6.346153846153846,3.436630036630037
PTA-GREYS2-TSN300-DAFF,27,35,-1.9703199140114958e-16,5,11,1.5,random,0.043442786876101584,4.407407407407407,6.296296296296297,3.3649029982363317
PTA-GREYN1-TSN399-TUT-ZAR,28,34,-6.186096982825337e-16,6,11,2.75,random,0.04189125877338364,4.642857142857143,6.285714285714286,3.3429421768707486
PTA-GREYN1-TSN74-UP-MED-PE,29,33,-2.2909615478105646e-16,6,11,1.0,random,0.0404467326087842,4.862068965517241,6.275862068965517,3.2621510673234813
PTA-GREYS2-TSN262-ARCISCW,30,32,-2.522815100755417e-16,6,14,1.75,random,0.039098508188491386,5.166666666666667,6.266666666666667,3.211746031746032
PTA-GREYS2-TSN158-TUT-ARCADIA,31,31,-1.1102230246251565e-16,6,15,2.0,random,0.037837265988862626,5.483870967741935,6.258064516129032,3.1726574500768048
ISANDO,32,30,-4.0173974194892637e-16,7,15,1.6666666666666667,random,0.03665485142671066,5.78125,6.28125,3.125595238095238
