graph,strategy,step,num_edges_added_this_step,edges_added,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
pta,highest_degree_pair,1,1,PTA1--PTA-GREYN1-TSN74-UP-MED-PE,0.05663,0.08589,0.02926,0.05663,0.00143,15.38333,1.7,1.45,-0.01495,9.08333,-2.38333,-0.88325,0.05143,8.11667,2.35,1.79222,0.03505,1.81667,-1.73333,-0.54103,0.00143,13.05,2.46667,1.70841,-0.01495,6.75,-1.61667,-0.62484,0.00143,16.18333,1.68333,1.4698,-0.01495,9.88333,-2.4,-0.86345,0.01638,6.3,4.08333,2.33325,0.0,0.0,0.0,0.0
pta,highest_degree_pair,2,1,PTA1--PTA-TSN455-SITA-CENT-PE,0.08589,0.08593,4e-05,0.05663,0.00143,15.48333,1.86667,1.45468,-0.00144,4.88333,-2.58333,-0.47032,0.0612,8.43333,2.48333,1.71718,0.05833,-2.16667,-1.96667,-0.20782,0.00143,15.2,2.26667,1.45345,-0.00144,4.6,-2.18333,-0.47155,0.00143,16.18333,1.68333,1.47456,-0.00144,5.58333,-2.76667,-0.45044,0.00287,10.6,4.45,1.925,0.0,0.0,0.0,0.0
pta,highest_degree_pair,3,1,PTA1--PTA-GREYN1-TSN162-TUT-SOSS,0.08593,0.08607,0.00014,0.05663,0.00143,15.96667,1.56667,1.39484,-0.00286,6.86667,-1.76667,-0.43028,0.0612,9.4,1.6,1.60175,0.05691,0.3,-1.73333,-0.22337,0.00143,14.65,2.13333,1.40663,-0.00286,5.55,-1.2,-0.41849,0.00143,16.18333,1.68333,1.47694,-0.00286,7.08333,-1.65,-0.34817,0.00429,9.1,3.33333,1.82512,0.0,0.0,0.0,0.0
pta,highest_degree_pair,4,1,PTA1--PTA-GREYN1-TSN389-SMU-MC-PE,0.08607,0.08641,0.00034,0.05663,0.00144,16.1,1.58333,1.39349,-0.00097,5.86667,-0.96667,-0.3125,0.0612,9.65,1.55,1.54817,0.05879,-0.58333,-1.0,-0.15782,0.00144,16.1,1.96667,1.37278,-0.00097,5.86667,-0.58333,-0.33321,0.00144,16.18333,1.68333,1.48171,-0.00097,5.95,-0.86667,-0.22429,0.00241,10.23333,2.55,1.70599,0.0,0.0,0.0,0.0
pta,highest_degree_pair,5,1,PTA1--PTA-GREYS2-TSN261-ARC-HO-PE,0.08641,0.08641,0.0,0.05663,0.00144,16.26667,1.65,1.38357,-0.00423,7.33333,-1.35,-0.63329,0.0612,10.15,1.81667,1.62,0.05553,1.21667,-1.18333,-0.39687,0.00144,15.66667,2.18333,1.4096,-0.00423,6.73333,-0.81667,-0.60726,0.00144,16.18333,1.68333,1.48647,-0.00423,7.25,-1.31667,-0.5304,0.00567,8.93333,3.0,2.01687,0.0,0.0,0.0,0.0
pta,highest_degree_pair,6,1,PTA1--PTA-GREYS2-TSN263-MRC-MC-PE,0.08641,0.08643,2e-05,0.05663,0.00144,16.2,1.6,1.42183,-0.00523,4.93333,-0.55,-0.40425,0.0612,10.33333,1.88333,1.65976,0.05453,-0.93333,-0.26667,-0.16631,0.00144,15.68333,2.18333,1.41409,-0.00523,4.41667,0.03333,-0.41198,0.00144,16.18333,1.68333,1.49123,-0.00523,4.91667,-0.46667,-0.33484,0.00667,11.26667,2.15,1.82607,0.0,0.0,0.0,0.0
pta,highest_degree_pair,7,1,PTA1--PTA-GREYS2-TSN499-DFASAMCOR,0.08643,0.08733,0.0009,0.05663,0.00146,16.73333,1.5,1.39437,-0.00439,9.16667,-2.68333,-1.3527,0.06122,10.95,1.36667,1.52575,0.05538,3.38333,-2.81667,-1.22131,0.00146,16.06667,1.7,1.38147,-0.00439,8.5,-2.48333,-1.3656,0.00146,16.2,1.65,1.48806,-0.00439,8.63333,-2.53333,-1.25901,0.00584,7.56667,4.18333,2.74706,0.0,0.0,0.0,0.0
pta,highest_degree_pair,8,1,PTA1--PTA-GREYS2-TSN409-TUT-SKINNER-PE,0.08733,0.08733,0.0,0.05663,0.00146,16.9,1.53333,1.39563,-0.01429,10.3,-2.06667,-1.69603,0.06122,11.56667,1.6,1.58175,0.04547,4.96667,-2.0,-1.50992,0.00146,15.83333,1.51667,1.50163,-0.01429,9.23333,-2.08333,-1.59004,0.00146,16.2,1.65,1.48488,-0.01429,9.6,-1.95,-1.60679,0.01575,6.6,3.6,3.09167,0.0,0.0,0.0,0.0
pta,highest_degree_pair,9,1,PTA1--PTA-TSN377-ARC-IRENE-PE,0.08733,0.08736,2e-05,0.05663,0.00146,16.75,1.35,1.37635,-0.00604,11.48333,-2.3,-1.66591,0.06122,11.65,1.6,1.58929,0.05372,6.38333,-2.05,-1.45298,0.00146,15.91667,1.38333,1.37048,-0.00604,10.65,-2.26667,-1.67179,0.00146,16.18333,1.65,1.4852,-0.00604,10.91667,-2.0,-1.55706,0.0075,5.26667,3.65,3.04226,0.0,0.0,0.0,0.0
pta,highest_degree_pair,10,1,PTA1--PTA-GREYN1-TSN161-TUT-SOSN,0.08736,0.08738,3e-05,0.05663,0.00146,16.65,1.43333,1.40651,-0.00288,13.46667,-2.36667,-2.02258,0.06122,11.8,1.63333,1.60472,0.05688,8.61667,-2.16667,-1.82437,0.00146,15.08333,1.28333,1.5046,-0.00288,11.9,-2.51667,-1.92448,0.00146,16.16667,1.66667,1.48758,-0.00288,12.98333,-2.13333,-1.94151,0.00433,3.18333,3.8,3.42909,0.0,0.0,0.0,0.0
