node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
PTA-GREYS3-TSN259-SAWS,1,61,0.08733270488743808,4,1,5.857142857142857,random,0.08733270488743808,1.0,4.0,5.857142857142857
PTA-GREYN1-TSN200-UNISA-SSE,2,60,0.0872731853140112,4,1,6.166666666666667,random,0.08730294510072464,1.0,4.0,6.011904761904762
PTA-GREYN1-TSN184-UNISA-LTC,3,59,0.05840360812111747,4,1,5.833333333333333,random,0.07766983277418892,1.0,4.0,5.9523809523809526
PTA-GREYN1-TSN354-TUT-MONITOR,4,58,0.05869787301756408,4,1,5.833333333333333,random,0.0729268428350327,1.0,4.0,5.9226190476190474
PTA-GREYN1-TSN353-TUT-TEMPO,5,57,0.05887064661133177,4,1,5.833333333333333,random,0.07011560359029252,1.0,4.0,5.904761904761904
PTA-GREYS2-TSN410-TUT-BAE,6,56,2.449824258765985e-15,5,2,5.833333333333333,random,0.05842966965857751,1.1666666666666667,4.166666666666667,5.892857142857142
PTA-TSN455-SITA-CENT-PE,7,55,9.369422325475706e-17,5,2,5.666666666666667,random,0.05008257399306645,1.2857142857142858,4.285714285714286,5.8605442176870755
PTA-GREYS2-TSN499-DFASAMCOR,8,54,5.148756293359964e-16,5,3,4.666666666666667,random,0.043822252243933206,1.5,4.375,5.711309523809524
PTA-TSN940-DHA-SOSH,9,53,-4.833861115606089e-16,7,4,4.333333333333333,random,0.03895311310571835,1.7777777777777777,4.666666666666667,5.558201058201059
PTA-GREYS1-TSN30-NRF,10,52,2.2204460226890514e-16,6,4,4.333333333333333,random,0.03505780179514654,2.0,4.8,5.435714285714285
PTA-GREYS2-TSN299-ARCIAE,11,51,-1.0715370431612836e-18,6,4,4.0,random,0.03187072890467867,2.1818181818181817,4.909090909090909,5.305194805194805
