graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
pta,mrkc_heuristic,1,1,ISANDO--PTA1,0.05663,1,4,4.14286,0.05663,1,4,4.14286,0.05667,1,5,4.42857,0.05665,1.0,4.5,4.28571,0.05663,0.05667,4e-05,0.05663,0.00094,14.13333,1.61667,1.43778,-0.00579,7.5,-2.53333,-0.91714,0.05094,5.83333,1.25,1.56694,0.04421,-0.8,-2.9,-0.78798,0.00094,12.81667,1.93333,1.61333,-0.00579,6.18333,-2.21667,-0.74159,0.00094,15.75,1.73333,1.45758,-0.00579,9.11667,-2.41667,-0.89734,0.00673,6.63333,4.15,2.35492,0.0,0.0,0.0,0.0
pta,mrkc_heuristic,2,1,JNB-TSN199-UNISA-SBL-PE--PTA1,0.05663,1,4,4.14286,0.05667,1,5,4.42857,0.0573,1,4,4.71429,0.05687,1.0,4.33333,4.42857,0.05667,0.0573,0.00063,0.05663,0.00096,13.73333,1.21667,1.47532,-0.00284,3.18333,-3.18333,-0.46635,0.05096,5.3,1.26667,1.72893,0.04716,-5.25,-3.13333,-0.21274,0.00096,14.56667,2.45,1.73448,-0.00284,4.01667,-1.95,-0.20718,0.00096,15.33333,1.75,1.50401,-0.00284,4.78333,-2.65,-0.43766,0.0038,10.55,4.4,1.94167,0.0,0.0,0.0,0.0
pta,mrkc_heuristic,3,1,MTZ--PTA2,0.05663,1,4,4.14286,0.0573,1,4,4.71429,0.05735,1,3,5.0,0.05699,1.0,4.0,4.57143,0.0573,0.05735,5e-05,0.05663,0.00096,13.71667,1.3,1.48147,-0.00226,5.33333,-2.1,-0.85381,0.05096,5.16667,1.28333,1.70536,0.04774,-3.21667,-2.11667,-0.62992,0.00096,14.16667,2.56667,1.82175,-0.00226,5.78333,-0.83333,-0.51353,0.00096,14.9,1.78333,1.51849,-0.00226,6.51667,-1.61667,-0.81679,0.00321,8.38333,3.4,2.33528,0.0,0.0,0.0,0.0
pta,mrkc_heuristic,4,1,NLP-TSN344-UMP-DC2-PE--PTA2,0.05663,1,4,4.14286,0.05735,1,3,5.0,0.05739,1,2,5.28571,0.05707,1.0,3.6,4.71429,0.05735,0.05739,4e-05,0.05663,0.00096,13.7,1.3,1.48623,-0.00052,3.81667,-1.25,-0.22548,0.05096,4.98333,1.35,1.7379,0.04948,-4.9,-1.2,0.02619,0.00096,14.15,2.68333,1.87317,-0.00052,4.26667,0.13333,0.16147,0.00096,14.46667,1.81667,1.49159,-0.00052,4.58333,-0.73333,-0.22012,0.00148,9.88333,2.55,1.71171,0.0,0.0,0.0,0.0
pta,mrkc_heuristic,5,1,PTA-GREYN1-TSN354-TUT-MONITOR--PTA1,0.05663,1,4,4.14286,0.05739,1,2,5.28571,0.08455,1,3,5.57143,0.06165,1.0,3.5,4.85714,0.05739,0.08455,0.02716,0.05663,0.00141,14.13333,1.45,1.43845,-0.00502,5.18333,-0.76667,-0.60329,0.06117,6.55,2.26667,1.84151,0.05474,-2.4,0.05,-0.20024,0.00141,14.08333,2.6,1.5546,-0.00502,5.13333,0.38333,-0.48714,0.00141,14.23333,1.86667,1.54079,-0.00502,5.28333,-0.35,-0.50095,0.00643,8.95,2.21667,2.04175,0.0,0.0,0.0,0.0
pta,mrkc_heuristic,6,1,PTA-GREYS2-TSN509-UP-MAMC--PTA1,0.05663,1,4,4.14286,0.08455,1,3,5.57143,0.08467,1,3,5.71429,0.06494,1.0,3.42857,4.97959,0.08455,0.08467,0.00012,0.05663,0.00141,13.91667,1.65,1.42726,-0.00314,3.16667,-0.73333,-0.42516,0.06117,6.3,2.1,1.86389,0.05662,-4.45,-0.28333,0.01147,0.00141,14.2,1.73333,1.65679,-0.00314,3.45,-0.65,-0.19563,0.00141,14.2,1.88333,1.55984,-0.00314,3.45,-0.5,-0.29258,0.00456,10.75,2.38333,1.85242,0.0,0.0,0.0,0.0
pta,mrkc_heuristic,7,1,PTA-TSN397-ARCPPRI--PTA2,0.05663,1,4,4.14286,0.08467,1,3,5.71429,0.08477,1,2,6.0,0.06742,1.0,3.25,5.10714,0.08467,0.08477,0.0001,0.05663,0.00141,13.9,1.65,1.42869,-0.00402,7.21667,-2.58333,-1.55409,0.06118,6.15,2.08333,1.87421,0.05574,-0.53333,-2.15,-1.10857,0.00141,15.7,1.7,1.44607,-0.00402,9.01667,-2.53333,-1.53671,0.00141,14.18333,1.88333,1.5646,-0.00402,7.5,-2.35,-1.41817,0.00543,6.68333,4.23333,2.98278,0.0,0.0,0.0,0.0
pta,mrkc_heuristic,8,1,PTA-TSN940-DHA-SOSH--PTA1,0.05663,1,4,4.14286,0.08477,1,2,6.0,0.08483,1,1,6.14286,0.06935,1.0,3.0,5.22222,0.08477,0.08483,5e-05,0.05663,0.00141,13.73333,1.51667,1.42357,-0.00654,6.96667,-1.81667,-1.1502,0.06118,5.66667,1.7,1.72746,0.05322,-1.1,-1.63333,-0.84631,0.05141,14.31667,1.81667,1.53345,0.04346,7.55,-1.51667,-1.04032,0.00141,13.8,1.9,1.57171,-0.00654,7.03333,-1.43333,-1.00206,0.00795,6.76667,3.33333,2.57377,0.0,0.0,0.0,0.0
pta,mrkc_heuristic,9,1,ISANDO--PTA-GREYN1-TSN74-UP-MED-PE,0.05663,1,4,4.14286,0.08483,1,1,6.14286,0.08747,1,1,6.28571,0.07116,1.0,2.8,5.32857,0.08483,0.08747,0.00264,0.05663,0.00146,13.48333,1.66667,1.47496,-0.00601,8.06667,-0.6,-1.08952,0.06122,6.41667,1.81667,1.74508,0.05375,1.0,-0.45,-0.8194,0.05146,12.26667,1.45,1.57643,0.04399,6.85,-0.81667,-0.98806,0.00146,13.51667,1.93333,1.57369,-0.00601,8.1,-0.33333,-0.99079,0.00747,5.41667,2.26667,2.56448,0.0,0.0,0.0,0.0
pta,mrkc_heuristic,10,1,JNB-TSN199-UNISA-SBL-PE--PTA2,0.05663,1,4,4.14286,0.08747,1,1,6.28571,0.08764,1,2,6.42857,0.07266,1.0,2.72727,5.42857,0.08747,0.08764,0.00017,0.05663,0.00146,13.31667,1.66667,1.51734,-0.00276,9.03333,-0.61667,-1.80591,0.0616,6.45,2.01667,1.79345,0.05738,2.16667,-0.26667,-1.5298,0.03479,14.16667,1.78333,1.55917,0.03057,9.88333,-0.5,-1.76409,0.00146,13.36667,1.98333,1.59861,-0.00276,9.08333,-0.3,-1.72464,0.00422,4.28333,2.28333,3.32325,0.0,0.0,0.0,0.0
