node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
MTZ,1,61,0.05666774096844602,5,1,4.428571428571429,random,0.05666774096844602,1.0,5.0,4.428571428571429
PTA-GREYN1-TSN353-TUT-TEMPO,2,60,0.05750294647991692,4,1,4.833333333333333,random,0.05708534372418147,1.0,4.5,4.630952380952381
ISANDO,3,59,0.03610354340400876,4,1,4.5,random,0.050091410284123894,1.0,4.333333333333333,4.587301587301588
PTA-GREYN1-TSN74-UP-MED-PE,4,58,0.036407003571239216,4,1,4.166666666666667,random,0.046670308605902724,1.0,4.25,4.482142857142858
PTA-GREYN1-TSN391-TUT-KOSMOS,5,57,-1.242109101590392e-16,6,3,2.6666666666666665,random,0.03733624688472216,1.4,4.6,4.119047619047619
PTA-GREYS2-TSN260-CGS,6,56,4.515666375262695e-17,6,3,3.6666666666666665,random,0.031113539070601808,1.6666666666666667,4.833333333333333,4.0436507936507935
PTA-GREYN1-TSN298-ARCOVI,7,55,-3.7824016815509236e-16,6,3,3.5,random,0.026668747774801493,1.8571428571428572,5.0,3.9659863945578233
PTA-TSN397-ARCPPRI,8,54,-4.978678754618546e-16,6,4,3.8333333333333335,random,0.023335154302951244,2.125,5.125,3.949404761904762
PTA-GREYS3-TSN250-TIAMHO,9,53,3.0698112996712763e-16,5,4,3.8333333333333335,random,0.02074235938040114,2.3333333333333335,5.111111111111111,3.9365079365079367
PTA-GREYN1-TSN49-TUT-ERC-GAR,10,52,-5.093107376313174e-16,5,4,3.6666666666666665,random,0.018668123442360976,2.5,5.1,3.9095238095238094
PTA-TSN940-DHA-SOSH,11,51,-2.2344541604525485e-16,5,5,3.6666666666666665,random,0.01697102131123723,2.727272727272727,5.090909090909091,3.887445887445887
PTA-GREYS2-TSN159-TUT-ARTS,12,50,-5.098338537228869e-16,4,5,3.4,random,0.015556769535300751,2.9166666666666665,5.0,3.846825396825397
JNB-TSN199-UNISA-SBL-PE,13,49,-9.738524271569573e-16,3,6,3.4,random,0.014360094955662157,3.1538461538461537,4.846153846153846,3.8124542124542127
