graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
pta,random_add,1,1,PTA-GREYS2-TSN355-TUT-LEGAE--PTA-GREYN1-TSN161-TUT-SOSN,0.05663,1,4,4.14286,0.05663,1,4,4.14286,0.05993,1,5,4.14286,0.05828,1.0,4.5,4.14286,0.05663,0.05993,0.0033,0.05663,0.001,14.48333,1.85,1.40802,-0.001,4.81667,-2.53333,-0.48131,0.03433,6.95,1.28333,1.52123,0.03234,-2.71667,-3.1,-0.3681,0.001,14.96667,2.4,1.4344,-0.001,5.3,-1.98333,-0.45492,0.001,16.1,1.76667,1.48218,-0.001,6.43333,-2.61667,-0.40714,0.00199,9.66667,4.38333,1.88933,0.0,0.0,0.0,0.0
pta,random_add,2,1,PTA-GREYS2-TSN299-ARCIAE--PTA1,0.05663,1,4,4.14286,0.05993,1,5,4.14286,0.06715,1,5,4.28571,0.06124,1.0,4.66667,4.19048,0.05993,0.06715,0.00722,0.05663,0.00112,14.55,2.43333,1.39234,-0.00086,5.63333,-2.55,-0.44464,0.06725,7.31667,2.15,1.63099,0.06527,-1.6,-2.83333,-0.20599,0.00112,15.33333,2.38333,1.47187,-0.00086,6.41667,-2.6,-0.36512,0.00112,16.73333,1.75,1.39623,-0.00086,7.81667,-3.23333,-0.44075,0.00198,8.91667,4.98333,1.83698,0.0,0.0,0.0,0.0
pta,random_add,3,1,PTA-GREYN1-TSN162-TUT-SOSS--PTA-GREYN2-TSN282-INNHUB,0.05663,1,4,4.14286,0.06715,1,5,4.28571,0.07007,1,5,4.28571,0.06345,1.0,4.75,4.21429,0.06715,0.07007,0.00292,0.05663,0.00117,14.6,2.7,1.40893,-0.00856,9.11667,-1.93333,-1.04833,0.0673,7.66667,2.31667,1.5831,0.05757,2.18333,-2.31667,-0.87417,0.00117,14.0,2.0,1.44298,-0.00856,8.51667,-2.63333,-1.01429,0.00117,16.36667,1.76667,1.39079,-0.00856,10.88333,-2.86667,-1.06647,0.00973,5.48333,4.63333,2.45726,0.0,0.0,0.0,0.0
pta,random_add,4,1,PTA-GREYN1-TSN315-BREYTEN--PTA-GREYS3-TSN259-SAWS,0.05663,1,4,4.14286,0.07007,1,5,4.28571,0.09028,1,5,4.28571,0.06881,1.0,4.8,4.22857,0.07007,0.09028,0.02021,0.05663,0.0015,14.55,2.86667,1.47143,-0.00856,8.15,-0.56667,-0.58167,0.0015,7.7,2.56667,1.5431,-0.00856,1.3,-0.86667,-0.51,0.0015,14.73333,2.33333,1.59357,-0.00856,8.33333,-1.1,-0.45952,0.0015,16.06667,1.85,1.42718,-0.00856,9.66667,-1.58333,-0.62591,0.01006,6.4,3.43333,2.0531,0.0,0.0,0.0,0.0
pta,random_add,5,1,PTA-GREYS2-TSN660-NSF-NDI--PTA-GREYN1-TSN399-TUT-ZAR,0.05663,1,4,4.14286,0.09028,1,5,4.28571,0.11145,1,5,4.28571,0.07592,1.0,4.83333,4.2381,0.09028,0.11145,0.02117,0.05663,0.00186,14.43333,2.4,1.38643,-0.00325,3.66667,-0.5,-0.20972,0.00186,7.68333,2.4,1.56254,-0.00325,-3.08333,-0.5,-0.03361,0.00186,14.01667,2.15,1.45508,-0.00325,3.25,-0.75,-0.14107,0.00186,15.66667,1.55,1.38925,-0.00325,4.9,-1.35,-0.2069,0.00511,10.76667,2.9,1.59615,0.0,0.0,0.0,0.0
pta,random_add,6,1,PTA-GREYN1-TSN49-TUT-ERC-GAR--PTA-GREYN1-TSN184-UNISA-LTC,0.05663,1,4,4.14286,0.11145,1,5,4.28571,0.11204,1,5,4.28571,0.08108,1.0,4.85714,4.2449,0.11145,0.11204,0.00059,0.05663,0.00187,14.51667,2.15,1.36476,-0.00179,7.28333,-1.68333,-0.27889,0.00187,7.88333,2.86667,1.59754,-0.00179,0.65,-0.96667,-0.04611,0.00187,13.91667,2.45,1.59155,-0.00179,6.68333,-1.38333,-0.0521,0.00187,15.4,1.6,1.3571,-0.00179,8.16667,-2.23333,-0.28655,0.00366,7.23333,3.83333,1.64365,0.0,0.0,0.0,0.0
pta,random_add,7,1,PTA-GREYS3-TSN259-SAWS--PTA1,0.05663,1,4,4.14286,0.11204,1,5,4.28571,0.1121,1,5,4.57143,0.08496,1.0,4.875,4.28571,0.11204,0.1121,6e-05,0.05663,0.00187,14.38333,2.0,1.39175,-0.06721,7.38333,-1.88333,-0.97528,0.00187,8.45,3.01667,1.54813,-0.06721,1.45,-0.86667,-0.81889,0.00187,14.33333,2.25,1.54333,-0.06721,7.33333,-1.63333,-0.82369,0.00187,15.05,1.58333,1.40798,-0.06721,8.05,-2.3,-0.95905,0.06908,7.0,3.88333,2.36702,0.0,0.0,0.0,0.0
pta,random_add,8,1,PTA-GREYS2-TSN261-ARC-HO-PE--PTA-GREYN1-TSN162-TUT-SOSS,0.05663,1,4,4.14286,0.1121,1,5,4.57143,0.12705,1,5,4.85714,0.08963,1.0,4.88889,4.34921,0.1121,0.12705,0.01496,0.05663,0.00212,15.18333,1.78333,1.37373,-0.01663,7.26667,-1.3,-0.7925,0.03545,8.71667,2.51667,1.48901,0.01671,0.8,-0.56667,-0.67722,0.00212,14.41667,2.43333,1.52246,-0.01663,6.5,-0.65,-0.64377,0.00212,15.1,1.63333,1.41274,-0.01663,7.18333,-1.45,-0.75349,0.01875,7.91667,3.08333,2.16623,0.0,0.0,0.0,0.0
pta,random_add,9,1,PTA-TSN377-ARC-IRENE-PE--NLP-TSN344-UMP-DC2-PE,0.05663,1,4,4.14286,0.12705,1,5,4.85714,0.12789,1,4,5.14286,0.09346,1.0,4.8,4.42857,0.12705,0.12789,0.00084,0.05663,0.00213,14.6,2.21667,1.37571,-0.00772,8.05,-1.26667,-0.97222,0.03546,8.18333,2.55,1.48817,0.02561,1.63333,-0.93333,-0.85976,0.00213,13.96667,2.63333,1.55377,-0.00772,7.41667,-0.85,-0.79417,0.00213,14.58333,1.78333,1.41933,-0.00772,8.03333,-1.7,-0.92861,0.00985,6.55,3.48333,2.34794,0.0,0.0,0.0,0.0
pta,random_add,10,1,PTA-GREYS2-TSN257-SANBI--MTZ,0.05663,1,4,4.14286,0.12789,1,4,5.14286,0.12796,1,3,5.28571,0.0966,1.0,4.63636,4.50649,0.12789,0.12796,7e-05,0.05663,0.00213,14.33333,1.93333,1.38643,-0.01033,8.55,0.26667,-0.83889,0.03547,7.9,2.3,1.48857,0.023,2.11667,0.63333,-0.73675,0.00213,13.26667,2.4,1.46782,-0.01033,7.48333,0.73333,-0.7575,0.00213,13.71667,1.5,1.51587,-0.01033,7.93333,-0.16667,-0.70944,0.01247,5.78333,1.66667,2.22532,0.0,0.0,0.0,0.0
