node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
PTA-GREYN1-TSN184-UNISA-LTC,1,61,0.11209568695157199,5,1,4.571428571428571,random,0.11209568695157199,1.0,5.0,4.571428571428571
JNB-TSN199-UNISA-SBL-PE,2,60,0.08498799128105283,6,1,4.833333333333333,random,0.09854183911631241,1.0,5.5,4.7023809523809526
PTA-GREYN2-TSN395-TUT-ZET,3,59,0.08632857050714378,6,1,4.833333333333333,random,0.09447074957992287,1.0,5.666666666666667,4.746031746031746
MTZ,4,58,0.08678765044739659,7,1,4.666666666666667,random,0.09254997479679129,1.0,6.0,4.726190476190476
PTA-GREYS3-TSN403-ASSAF,5,57,0.08734422876202712,6,1,4.666666666666667,random,0.09150882558983846,1.0,6.0,4.7142857142857135
PTA-GREYS2-TSN38-SAASTA,6,56,0.08803075309707818,8,1,4.5,random,0.09092914684104508,1.0,6.333333333333333,4.678571428571428
PTA-GREYN1-TSN201-UNISA-SSW,7,55,0.07933512454308583,9,1,4.333333333333333,random,0.08927285794133662,1.0,6.714285714285714,4.629251700680272
PTA-GREYS2-TSN159-TUT-ARTS,8,54,0.08380896932576339,10,1,4.333333333333333,random,0.08858987186438996,1.0,7.125,4.592261904761905
PTA-GREYS2-TSN29-ZOO,9,53,0.08766237918279869,9,1,4.333333333333333,random,0.08848681712199094,1.0,7.333333333333333,4.563492063492063
PTA-GREYS2-TSN260-CGS,10,52,0.08864581681698121,9,1,4.333333333333333,random,0.08850271709148996,1.0,7.5,4.54047619047619
PTA-GREYS2-TSN409-TUT-SKINNER-PE,11,51,0.08580233475043325,9,1,4.166666666666667,random,0.08825722778775753,1.0,7.636363636363637,4.5064935064935066
PTA-TSN940-DHA-SOSH,12,50,0.05003920565296563,9,1,4.4,random,0.08507239260985822,1.0,7.75,4.497619047619048
PTA-GREYN1-TSN298-ARCOVI,13,49,0.05004639593103957,9,1,4.4,random,0.08237808517302601,1.0,7.846153846153846,4.49010989010989
PTA-GREYN1-TSN389-SMU-MC-PE,14,48,0.046367985156248834,8,1,4.2,random,0.07980593517182764,1.0,7.857142857142857,4.469387755102041
PTA-GREYN1-TSN399-TUT-ZAR,15,47,0.027561585622628414,8,1,4.4,random,0.07632297853521436,1.0,7.866666666666666,4.464761904761905
PTA1,16,46,5.374939958334501e-16,8,2,4.4,random,0.07155279237676349,1.0625,7.875,4.460714285714285
PTA4,17,45,-4.331673720528113e-16,8,9,1.6,random,0.06734380458989501,1.5294117647058822,7.882352941176471,4.292436974789916
PTA-GREYS2-TSN40-USAF,18,44,-8.098303105399846e-16,7,9,1.6,random,0.06360248211267859,1.9444444444444444,7.833333333333333,4.142857142857142
