node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
PZB-GREY1-TSN385-CGSP,1,11,0.7754661772137302,2,1,1.0,random,0.7754661772137302,1.0,2.0,1.0
PZB1,2,10,0.6734234866872498,3,1,1.0,random,0.72444483195049,1.0,2.5,1.0
DUR,3,9,0.0,1,5,1.0,random,0.4829632213003267,2.3333333333333335,2.0,1.0
PZB-GREY1-TSN383-DUTI,4,8,0.0,1,4,2.0,random,0.362222415975245,2.75,1.75,1.25
DUR3,5,7,0.0,0,4,1.0,random,0.28977793278019603,3.0,1.4,1.2
PZB-GREY1-TSN384-SANBIP,6,6,0.0,0,3,1.0,random,0.24148161065016335,3.0,1.1666666666666667,1.1666666666666667
PZB-TSN267-SAEON-GWFN,7,5,0.0,0,3,1.0,random,0.20698423770014002,3.0,1.0,1.1428571428571428
PZB-TSN670-ARC-CACWL,8,4,0.0,0,3,1.0,random,0.1811112079876225,3.0,0.875,1.125
PZB-GREY1-TSN193-UNISAP,9,3,0.0,0,3,1.0,random,0.16098774043344222,3.0,0.7777777777777778,1.1111111111111112
PZB-GREY1-TSN10-DUTRC,10,2,0.0,0,2,1.0,random,0.14488896639009802,2.9,0.7,1.1
PZB-TSN670-ARC-CACWL,1,11,0.7754661772137302,2,1,1.0,core influence,0.7754661772137302,1.0,2.0,1.0
PZB1,2,10,0.7909180958612201,2,1,5.0,core influence,0.7831921365374752,1.0,2.0,3.0
PZB-TSN267-SAEON-GWFN,3,9,0.0,0,4,2.0,core influence,0.5221280910249835,2.0,1.3333333333333333,2.6666666666666665
PZB-TSN534-HSRC-SW,4,8,0.0,0,4,2.0,core influence,0.3915960682687376,2.5,1.0,2.5
PZB-GREY1-TSN385-CGSP,5,7,0.0,0,3,2.0,core influence,0.3132768546149901,2.6,0.8,2.4
PZB-GREY1-TSN193-UNISAP,6,6,0.0,1,4,2.0,core influence,0.26106404551249174,2.8333333333333335,0.8333333333333334,2.3333333333333335
PZB-GREY1-TSN10-DUTRC,7,5,0.0,0,4,1.0,core influence,0.22376918186785005,3.0,0.7142857142857143,2.142857142857143
PZB-GREY1-TSN383-DUTI,8,4,0.0,0,3,1.0,core influence,0.1957980341343688,3.0,0.625,2.0
