node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
DUR,1,11,0.9832267217746302,1,1,6.0,random,0.9832267217746302,1.0,1.0,6.0
PZB-TSN267-SAEON-GWFN,2,10,0.9771081597823409,1,1,6.0,random,0.9801674407784855,1.0,1.0,6.0
PZB-GREY1-TSN383-DUTI,3,9,0.9664734211411233,1,1,5.0,random,0.9756027675660315,1.0,1.0,5.666666666666667
DUR3,4,8,0.944926823910275,1,1,4.0,random,0.9679337816520923,1.0,1.0,5.25
PZB-GREY1-TSN10-DUTRC,5,7,1.1891059711466165,0,1,4.0,random,1.0121682195509973,1.0,0.8,5.0
PZB-GREY1-TSN193-UNISAP,6,6,1.438447187191169,0,1,3.0,random,1.0832147141576927,1.0,0.6666666666666666,4.666666666666667
PZB-GREY1-TSN384-SANBIP,7,5,0.8299135133739659,0,1,1.0,random,1.0470288283314457,1.0,0.5714285714285714,4.142857142857143
PZB1,8,4,1.0,2,1,3.0,random,1.041150224790015,1.0,0.75,4.0
PZB-TSN670-ARC-CACWL,9,3,0.0,0,3,1.0,random,0.9254668664800134,1.2222222222222223,0.6666666666666666,3.6666666666666665
PZB-GREY1-TSN385-CGSP,10,2,0.0,0,2,1.0,random,0.832920179832012,1.3,0.6,3.4
PZB1,1,11,0.9832267217746302,1,1,6.0,core influence,0.9832267217746302,1.0,1.0,6.0
PZB-GREY1-TSN384-SANBIP,2,10,3.4472990419674904e-16,4,2,6.0,core influence,0.4916133608873153,1.5,2.5,6.0
PZB-GREY1-TSN193-UNISAP,3,9,0.0,1,7,2.0,core influence,0.3277422405915435,3.3333333333333335,2.0,4.666666666666667
PZB-GREY1-TSN385-CGSP,4,8,0.0,0,7,1.0,core influence,0.24580668044365764,4.25,1.5,3.75
DUR,5,7,0.0,0,7,1.0,core influence,0.19664534435492612,4.8,1.2,3.2
PZB-TSN534-HSRC-SW,6,6,0.0,0,6,1.0,core influence,0.16387112029577175,5.0,1.0,2.8333333333333335
PZB-GREY1-TSN383-DUTI,7,5,0.0,0,5,1.0,core influence,0.14046096025351865,5.0,0.8571428571428571,2.5714285714285716
PZB-TSN267-SAEON-GWFN,8,4,0.0,0,4,1.0,core influence,0.12290334022182882,4.875,0.75,2.375
PZB-GREY1-TSN10-DUTRC,9,3,0.0,0,3,1.0,core influence,0.10924741353051451,4.666666666666667,0.6666666666666666,2.2222222222222223
PZB-TSN670-ARC-CACWL,10,2,0.0,0,2,1.0,core influence,0.09832267217746306,4.4,0.6,2.1
PZB1,1,11,0.9832267217746302,1,1,6.0,degree,0.9832267217746302,1.0,1.0,6.0
PZB-GREY1-TSN384-SANBIP,2,10,3.4472990419674904e-16,4,2,6.0,degree,0.4916133608873153,1.5,2.5,6.0
PZB-GREY1-TSN385-CGSP,3,9,0.0,1,7,2.0,degree,0.3277422405915435,3.3333333333333335,2.0,4.666666666666667
PZB-GREY1-TSN193-UNISAP,4,8,0.0,0,8,1.0,degree,0.24580668044365764,4.5,1.5,3.75
DUR,5,7,0.0,0,7,1.0,degree,0.19664534435492612,5.0,1.2,3.2
PZB-GREY1-TSN10-DUTRC,6,6,0.0,0,6,1.0,degree,0.16387112029577175,5.166666666666667,1.0,2.8333333333333335
PZB-GREY1-TSN383-DUTI,7,5,0.0,0,5,1.0,degree,0.14046096025351865,5.142857142857143,0.8571428571428571,2.5714285714285716
PZB-TSN267-SAEON-GWFN,8,4,0.0,0,4,1.0,degree,0.12290334022182882,5.0,0.75,2.375
PZB-TSN534-HSRC-SW,9,3,0.0,0,3,1.0,degree,0.10924741353051451,4.777777777777778,0.6666666666666666,2.2222222222222223
PZB-TSN670-ARC-CACWL,10,2,0.0,0,2,1.0,degree,0.09832267217746306,4.5,0.6,2.1
PZB1,1,11,0.9832267217746302,1,1,6.0,betweeness,0.9832267217746302,1.0,1.0,6.0
PZB-GREY1-TSN384-SANBIP,2,10,3.4472990419674904e-16,4,2,6.0,betweeness,0.4916133608873153,1.5,2.5,6.0
PZB-GREY1-TSN193-UNISAP,3,9,0.0,1,7,2.0,betweeness,0.3277422405915435,3.3333333333333335,2.0,4.666666666666667
PZB-GREY1-TSN385-CGSP,4,8,0.0,0,7,1.0,betweeness,0.24580668044365764,4.25,1.5,3.75
DUR,5,7,0.0,0,7,1.0,betweeness,0.19664534435492612,4.8,1.2,3.2
PZB-GREY1-TSN383-DUTI,6,6,0.0,0,6,1.0,betweeness,0.16387112029577175,5.0,1.0,2.8333333333333335
PZB-TSN267-SAEON-GWFN,7,5,0.0,0,5,1.0,betweeness,0.14046096025351865,5.0,0.8571428571428571,2.5714285714285716
PZB-TSN534-HSRC-SW,8,4,0.0,0,4,1.0,betweeness,0.12290334022182882,4.875,0.75,2.375
PZB-TSN670-ARC-CACWL,9,3,0.0,0,3,1.0,betweeness,0.10924741353051451,4.666666666666667,0.6666666666666666,2.2222222222222223
DUR3,10,2,0.0,0,2,1.0,betweeness,0.09832267217746306,4.4,0.6,2.1
PZB1,1,11,0.9832267217746302,1,1,6.0,closeness,0.9832267217746302,1.0,1.0,6.0
PZB-GREY1-TSN384-SANBIP,2,10,3.4472990419674904e-16,4,2,6.0,closeness,0.4916133608873153,1.5,2.5,6.0
PZB-GREY1-TSN385-CGSP,3,9,0.0,1,7,2.0,closeness,0.3277422405915435,3.3333333333333335,2.0,4.666666666666667
PZB-GREY1-TSN193-UNISAP,4,8,0.0,0,8,1.0,closeness,0.24580668044365764,4.5,1.5,3.75
DUR,5,7,0.0,0,7,1.0,closeness,0.19664534435492612,5.0,1.2,3.2
PZB-GREY1-TSN383-DUTI,6,6,0.0,0,6,1.0,closeness,0.16387112029577175,5.166666666666667,1.0,2.8333333333333335
PZB-TSN267-SAEON-GWFN,7,5,0.0,0,5,1.0,closeness,0.14046096025351865,5.142857142857143,0.8571428571428571,2.5714285714285716
PZB-TSN534-HSRC-SW,8,4,0.0,0,4,1.0,closeness,0.12290334022182882,5.0,0.75,2.375
PZB-TSN670-ARC-CACWL,9,3,0.0,0,3,1.0,closeness,0.10924741353051451,4.777777777777778,0.6666666666666666,2.2222222222222223
PZB-GREY1-TSN10-DUTRC,10,2,0.0,0,2,1.0,closeness,0.09832267217746306,4.5,0.6,2.1
