graph,strategy,step,num_edges_added_this_step,edges_added,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
pzb,highest_degree_pair,1,1,PZB1--PZB-GREY1-TSN384-SANBIP,0.77547,1.0,0.22453,0.77547,0.1,4.8,0.6,1.4,-0.3,2.1,-1.5,-0.4,0.1,4.8,0.6,1.4,-0.3,2.1,-1.5,-0.4,0.1,4.9,0.6,1.4,-0.3,2.2,-1.5,-0.4,0.1,4.8,0.6,1.4,-0.3,2.1,-1.5,-0.4,0.4,2.7,2.1,1.8,0.0,0.0,0.0,0.0
pzb,highest_degree_pair,2,1,PZB-GREY1-TSN385-CGSP--PZB-GREY1-TSN384-SANBIP,1.0,1.0,-0.0,0.77547,0.1,4.9,0.6,1.1,-0.8,3.8,-2.6,-1.2,0.1,4.9,0.6,1.1,-0.8,3.8,-2.6,-1.2,0.2,4.2,1.0,1.3,-0.7,3.1,-2.2,-1.0,0.1,4.9,0.6,1.1,-0.8,3.8,-2.6,-1.2,0.9,1.1,3.2,2.3,0.0,0.0,0.0,0.0
pzb,highest_degree_pair,3,1,PZB-GREY1-TSN385-CGSP--PZB-GREY1-TSN383-DUTI,1.0,1.0,0.0,0.77547,0.1,4.9,0.7,1.3,-0.3,2.0,-1.1,-0.1,0.1,4.9,0.7,1.3,-0.3,2.0,-1.1,-0.1,0.3,3.8,1.8,1.9,-0.1,0.9,0.0,0.5,0.1,4.9,0.7,1.3,-0.3,2.0,-1.1,-0.1,0.4,2.9,1.8,1.4,0.0,0.0,0.0,0.0
pzb,highest_degree_pair,4,1,PZB-GREY1-TSN385-CGSP--DUR,1.0,1.0,-0.0,0.77547,0.1,4.8,0.7,1.3,-1.0,3.8,-2.1,-0.7,0.1,4.8,0.7,1.3,-1.0,3.8,-2.1,-0.7,0.1,4.8,0.7,1.3,-1.0,3.8,-2.1,-0.7,0.1,4.8,0.7,1.3,-1.0,3.8,-2.1,-0.7,1.1,1.0,2.8,2.0,0.0,0.0,0.0,0.0
pzb,highest_degree_pair,5,1,PZB-GREY1-TSN385-CGSP--DUR3,1.0,1.0,0.0,0.77547,0.1,4.7,0.7,1.3,0.0,0.6,-0.3,-0.1,0.1,4.7,0.7,1.3,0.0,0.6,-0.3,-0.1,0.1,4.4,1.0,1.6,0.0,0.3,0.0,0.2,0.1,4.7,0.7,1.3,0.0,0.6,-0.3,-0.1,0.1,4.1,1.0,1.4,0.0,0.0,0.0,0.0
pzb,highest_degree_pair,6,1,PZB-GREY1-TSN385-CGSP--PZB-TSN267-SAEON-GWFN,1.0,1.0,-0.0,0.77547,0.1,4.6,0.7,1.3,0.0,2.0,-1.2,-0.7,0.1,4.6,0.7,1.3,0.0,2.0,-1.2,-0.7,0.2,4.0,0.9,2.1,0.1,1.4,-1.0,0.1,0.1,4.6,0.7,1.3,0.0,2.0,-1.2,-0.7,0.1,2.6,1.9,2.0,0.0,0.0,0.0,0.0
pzb,highest_degree_pair,7,1,PZB-GREY1-TSN385-CGSP--PZB-TSN534-HSRC-SW,1.0,1.0,-0.0,0.77547,0.1,4.5,0.7,1.3,-0.5,2.5,-0.2,-1.0,0.1,4.5,0.7,1.3,-0.5,2.5,-0.2,-1.0,0.3,3.8,1.4,1.9,-0.3,1.8,0.5,-0.4,0.1,4.5,0.7,1.3,-0.5,2.5,-0.2,-1.0,0.6,2.0,0.9,2.3,0.0,0.0,0.0,0.0
pzb,highest_degree_pair,8,1,PZB-GREY1-TSN385-CGSP--PZB-TSN670-ARC-CACWL,1.0,2.0,1.0,0.77547,0.3,4.4,0.7,1.3,-1.1,3.4,-1.3,-1.4,0.3,4.4,0.7,1.3,-1.1,3.4,-1.3,-1.4,0.3,4.4,0.7,1.3,-1.1,3.4,-1.3,-1.4,0.3,4.4,0.7,1.3,-1.1,3.4,-1.3,-1.4,1.4,1.0,2.0,2.7,0.0,0.0,0.0,0.0
pzb,highest_degree_pair,9,1,PZB-GREY1-TSN384-SANBIP--DUR,2.0,2.0,0.0,0.77547,0.3,4.3,0.7,1.6,-1.1,3.3,-1.0,-1.1,0.3,4.3,0.7,1.6,-1.1,3.3,-1.0,-1.1,0.4,3.8,1.2,2.1,-1.0,2.8,-0.5,-0.6,0.3,4.3,0.7,1.6,-1.1,3.3,-1.0,-1.1,1.4,1.0,1.7,2.7,0.0,0.0,0.0,0.0
pzb,highest_degree_pair,10,1,PZB-GREY1-TSN384-SANBIP--DUR3,2.0,2.0,-0.0,0.77547,0.3,4.2,0.7,1.9,0.0,1.2,-0.6,-0.6,0.3,4.2,0.7,1.9,0.0,1.2,-0.6,-0.6,0.4,3.8,1.1,2.3,0.1,0.8,-0.2,-0.2,0.3,4.2,0.7,1.9,0.0,1.2,-0.6,-0.6,0.3,3.0,1.3,2.5,0.0,0.0,0.0,0.0
