node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
PZB1,1,11,1.9999999999999973,0,1,4.0,random,1.9999999999999973,1.0,0.0,4.0
PZB-GREY1-TSN385-CGSP,2,10,0.9999999999999996,4,1,4.0,random,1.4999999999999984,1.0,2.0,4.0
PZB-GREY1-TSN383-DUTI,3,9,0.0,3,5,4.0,random,0.999999999999999,2.3333333333333335,2.3333333333333335,4.0
PZB-TSN670-ARC-CACWL,4,8,0.0,2,5,3.0,random,0.7499999999999992,3.0,2.25,3.75
DUR3,5,7,0.0,2,4,3.0,random,0.5999999999999994,3.2,2.2,3.6
PZB-TSN534-HSRC-SW,6,6,0.0,1,4,2.0,random,0.4999999999999995,3.3333333333333335,2.0,3.3333333333333335
PZB-GREY1-TSN193-UNISAP,7,5,0.0,1,3,2.0,random,0.4285714285714281,3.2857142857142856,1.8571428571428572,3.142857142857143
PZB-TSN267-SAEON-GWFN,8,4,0.0,0,3,1.0,random,0.3749999999999996,3.25,1.625,2.875
DUR,9,3,0.0,0,2,1.0,random,0.333333333333333,3.111111111111111,1.4444444444444444,2.6666666666666665
PZB-GREY1-TSN10-DUTRC,10,2,0.0,0,2,1.0,random,0.2999999999999997,3.0,1.3,2.5
PZB-GREY1-TSN385-CGSP,1,11,1.9999999999999973,0,1,4.0,core influence,1.9999999999999973,1.0,0.0,4.0
PZB-GREY1-TSN384-SANBIP,2,10,0.999999999999999,4,1,4.0,core influence,1.4999999999999982,1.0,2.0,4.0
PZB1,3,9,0.9999999999999989,7,1,8.0,core influence,1.3333333333333317,1.0,3.6666666666666665,5.333333333333333
PZB-GREY1-TSN193-UNISAP,4,8,0.0,0,8,1.0,core influence,0.9999999999999988,2.75,2.75,4.25
DUR,5,7,0.0,0,7,1.0,core influence,0.799999999999999,3.6,2.2,3.6
PZB-GREY1-TSN383-DUTI,6,6,0.0,0,6,1.0,core influence,0.6666666666666659,4.0,1.8333333333333333,3.1666666666666665
DUR3,7,5,0.0,0,5,1.0,core influence,0.5714285714285707,4.142857142857143,1.5714285714285714,2.857142857142857
PZB-TSN534-HSRC-SW,8,4,0.0,0,4,1.0,core influence,0.4999999999999994,4.125,1.375,2.625
PZB-TSN267-SAEON-GWFN,9,3,0.0,0,3,1.0,core influence,0.4444444444444439,4.0,1.2222222222222223,2.4444444444444446
PZB-TSN670-ARC-CACWL,10,2,0.0,0,2,1.0,core influence,0.3999999999999995,3.8,1.1,2.3
PZB1,1,11,1.9999999999999973,0,1,4.0,degree,1.9999999999999973,1.0,0.0,4.0
PZB-GREY1-TSN385-CGSP,2,10,0.9999999999999996,4,1,4.0,degree,1.4999999999999984,1.0,2.0,4.0
PZB-GREY1-TSN384-SANBIP,3,9,0.0,3,5,4.0,degree,0.999999999999999,2.3333333333333335,2.3333333333333335,4.0
DUR,4,8,0.0,0,8,1.0,degree,0.7499999999999992,3.75,1.75,3.25
DUR3,5,7,0.0,0,7,1.0,degree,0.5999999999999994,4.4,1.4,2.8
PZB-GREY1-TSN193-UNISAP,6,6,0.0,0,6,1.0,degree,0.4999999999999995,4.666666666666667,1.1666666666666667,2.5
PZB-GREY1-TSN383-DUTI,7,5,0.0,0,5,1.0,degree,0.4285714285714281,4.714285714285714,1.0,2.2857142857142856
PZB-GREY1-TSN10-DUTRC,8,4,0.0,0,4,1.0,degree,0.3749999999999996,4.625,0.875,2.125
PZB-TSN267-SAEON-GWFN,9,3,0.0,0,3,1.0,degree,0.333333333333333,4.444444444444445,0.7777777777777778,2.0
PZB-TSN534-HSRC-SW,10,2,0.0,0,2,1.0,degree,0.2999999999999997,4.2,0.7,1.9
PZB1,1,11,1.9999999999999973,0,1,4.0,betweeness,1.9999999999999973,1.0,0.0,4.0
PZB-GREY1-TSN385-CGSP,2,10,0.9999999999999996,4,1,4.0,betweeness,1.4999999999999984,1.0,2.0,4.0
PZB-GREY1-TSN384-SANBIP,3,9,0.0,3,5,4.0,betweeness,0.999999999999999,2.3333333333333335,2.3333333333333335,4.0
DUR,4,8,0.0,0,8,1.0,betweeness,0.7499999999999992,3.75,1.75,3.25
DUR3,5,7,0.0,0,7,1.0,betweeness,0.5999999999999994,4.4,1.4,2.8
PZB-GREY1-TSN10-DUTRC,6,6,0.0,0,6,1.0,betweeness,0.4999999999999995,4.666666666666667,1.1666666666666667,2.5
PZB-GREY1-TSN193-UNISAP,7,5,0.0,0,5,1.0,betweeness,0.4285714285714281,4.714285714285714,1.0,2.2857142857142856
