graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
pzb,mrkc_heuristic,1,1,DUR--PZB-GREY1-TSN193-UNISAP,0.77547,1,4,2.5,0.77547,1,4,2.5,0.82735,1,3,3.5,0.80141,1.0,3.5,3.0,0.77547,0.82735,0.05188,0.77547,0.08273,4.7,0.3,1.45,-0.21287,2.2,-1.2,-0.6,0.08273,4.6,0.3,1.45,-0.21287,2.1,-1.2,-0.6,0.08273,4.6,0.3,1.45,-0.21287,2.1,-1.2,-0.6,0.08273,4.5,0.3,1.45,-0.21287,2.0,-1.2,-0.6,0.29561,2.5,1.5,2.05,0.0,0.0,0.0,0.0
pzb,mrkc_heuristic,2,1,DUR3--PZB-GREY1-TSN193-UNISAP,0.77547,1,4,2.5,0.82735,1,3,3.5,0.87048,1,2,4.5,0.82443,1.0,3.0,3.5,0.82735,0.87048,0.04314,0.77547,0.08705,4.6,0.3,1.65,-0.62227,3.5,-2.3,-2.5,0.08705,4.4,0.3,1.65,-0.62227,3.3,-2.3,-2.5,0.08705,4.4,0.3,1.65,-0.62227,3.3,-2.3,-2.5,0.08705,4.3,0.3,1.65,-0.62227,3.2,-2.3,-2.5,0.70932,1.1,2.6,4.15,0.0,0.0,0.0,0.0
pzb,mrkc_heuristic,3,1,PZB-TSN267-SAEON-GWFN--PZB-GREY1-TSN193-UNISAP,0.77547,1,4,2.5,0.87048,1,2,4.5,0.90963,1,2,5.5,0.84573,1.0,2.75,4.0,0.87048,0.90963,0.03914,0.77547,0.09096,4.5,0.4,1.85,-0.23839,1.5,-0.8,-0.1,0.09096,4.3,0.4,1.85,-0.23839,1.3,-0.8,-0.1,0.09096,4.5,0.4,1.85,-0.23839,1.5,-0.8,-0.1,0.09096,4.2,0.4,1.85,-0.23839,1.2,-0.8,-0.1,0.32935,3.0,1.2,1.95,0.0,0.0,0.0,0.0
pzb,mrkc_heuristic,4,1,PZB-TSN534-HSRC-SW--PZB-GREY1-TSN193-UNISAP,0.77547,1,4,2.5,0.90963,1,2,5.5,0.94915,1,1,6.5,0.86641,1.0,2.4,4.5,0.90963,0.94915,0.03952,0.77547,0.09491,4.4,0.4,2.05,-1.08744,3.4,-0.2,-1.4,0.09491,4.2,0.4,2.05,-1.08744,3.2,-0.2,-1.4,0.09491,4.3,0.4,2.05,-1.08744,3.3,-0.2,-1.4,0.09491,4.1,0.4,2.05,-1.08744,3.1,-0.2,-1.4,1.18235,1.0,0.6,3.45,0.0,0.0,0.0,0.0
pzb,mrkc_heuristic,5,1,PZB-TSN670-ARC-CACWL--PZB-GREY1-TSN193-UNISAP,0.77547,1,4,2.5,0.94915,1,1,6.5,1.08624,1,1,7.5,0.90305,1.0,2.16667,5.0,0.94915,1.08624,0.13709,0.77547,0.14682,4.3,0.5,2.25,-0.0382,1.9,-1.2,-1.5,0.14682,4.1,0.5,2.25,-0.0382,1.7,-1.2,-1.5,0.14682,4.2,0.5,2.25,-0.0382,1.8,-1.2,-1.5,0.14682,4.0,0.5,2.25,-0.0382,1.6,-1.2,-1.5,0.18502,2.4,1.7,3.75,0.0,0.0,0.0,0.0
pzb,mrkc_heuristic,6,1,DUR--PZB-GREY1-TSN385-CGSP,0.77547,1,4,2.5,1.08624,1,1,7.5,1.08985,1,1,1.0,0.92974,1.0,2.0,4.42857,1.08624,1.08985,0.00361,0.77547,0.14976,4.2,0.5,1.1,-0.17863,2.4,-1.1,-1.6,0.14976,4.0,0.5,1.1,-0.17863,2.2,-1.1,-1.6,0.2933,2.8,1.1,2.6,-0.03508,1.0,-0.5,-0.1,0.14976,3.9,0.5,1.1,-0.17863,2.1,-1.1,-1.6,0.32838,1.8,1.6,2.7,0.0,0.0,0.0,0.0
pzb,mrkc_heuristic,7,1,DUR3--PZB-GREY1-TSN385-CGSP,0.77547,1,4,2.5,1.08985,1,1,1.0,1.09158,1,1,2.0,0.94997,1.0,1.875,4.125,1.08985,1.09158,0.00173,0.77547,0.15063,4.1,0.5,1.4,-0.41278,2.1,-0.8,-0.8,0.15063,3.9,0.5,1.4,-0.41278,1.9,-0.8,-0.8,0.24822,3.2,0.7,2.2,-0.31518,1.2,-0.6,0.0,0.15063,3.8,0.5,1.4,-0.41278,1.8,-0.8,-0.8,0.56341,2.0,1.3,2.2,0.0,0.0,0.0,0.0
pzb,mrkc_heuristic,8,1,PZB-GREY1-TSN10-DUTRC--PZB-GREY1-TSN193-UNISAP,0.77547,1,4,2.5,1.09158,1,1,2.0,1.11252,1,0,3.0,0.96803,1.0,1.66667,4.0,1.09158,1.11252,0.02093,0.77547,0.1548,4.1,0.5,1.6,-0.76916,2.9,-1.0,-1.7,0.1548,3.8,0.5,1.6,-0.76916,2.6,-1.0,-1.7,0.1548,3.7,0.5,1.6,-0.76916,2.5,-1.0,-1.7,0.1548,3.8,0.5,1.6,-0.76916,2.6,-1.0,-1.7,0.92395,1.2,1.5,3.3,0.0,0.0,0.0,0.0
pzb,mrkc_heuristic,9,1,PZB-GREY1-TSN383-DUTI--PZB-GREY1-TSN193-UNISAP,0.77547,1,4,2.5,1.11252,1,0,3.0,1.43546,1,0,3.0,1.01477,1.0,1.5,3.9,1.11252,1.43546,0.32294,0.77547,0.18709,4.1,0.5,1.6,-0.64598,2.8,-0.4,-0.8,0.18709,3.8,0.5,1.6,-0.64598,2.5,-0.4,-0.8,0.24355,3.9,0.6,1.8,-0.58953,2.6,-0.3,-0.6,0.18709,3.8,0.5,1.6,-0.64598,2.5,-0.4,-0.8,0.83308,1.3,0.9,2.4,0.0,0.0,0.0,0.0
pzb,mrkc_heuristic,10,1,PZB-GREY1-TSN384-SANBIP--PZB1,0.77547,1,4,2.5,1.43546,1,0,3.0,2.0,1,0,5.0,1.10434,1.0,1.36364,4.0,1.43546,2.0,0.56454,0.77547,0.3,3.8,0.6,2.0,-0.5,2.2,-2.2,-1.6,0.3,3.8,0.6,2.0,-0.5,2.2,-2.2,-1.6,0.3,3.9,0.6,2.0,-0.5,2.3,-2.2,-1.6,0.3,3.8,0.6,2.0,-0.5,2.2,-2.2,-1.6,0.8,1.6,2.8,3.6,0.0,0.0,0.0,0.0
