node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
PZB-TSN534-HSRC-SW,1,11,0.9096250374673884,2,1,5.5,random,0.9096250374673884,1.0,2.0,5.5
PZB-GREY1-TSN193-UNISAP,2,10,0.9410806123523143,1,1,6.0,random,0.9253528249098514,1.0,1.5,5.75
PZB-GREY1-TSN384-SANBIP,3,9,0.4427980834572257,4,1,1.0,random,0.7645012444256428,1.0,2.3333333333333335,4.166666666666667
PZB1,4,8,0.9999999999999998,5,1,1.0,random,0.8233759333192321,1.0,3.0,3.375
PZB-GREY1-TSN385-CGSP,5,7,0.0,0,6,1.0,random,0.6587007466553857,2.0,2.4,2.9
DUR,6,6,0.0,0,6,1.0,random,0.5489172888794881,2.6666666666666665,2.0,2.5833333333333335
PZB-GREY1-TSN383-DUTI,7,5,0.0,0,5,1.0,random,0.47050053332527547,3.0,1.7142857142857142,2.357142857142857
DUR3,8,4,0.0,0,4,1.0,random,0.41168796665961604,3.125,1.5,2.1875
PZB-GREY1-TSN10-DUTRC,9,3,0.0,0,3,1.0,random,0.365944859252992,3.111111111111111,1.3333333333333333,2.0555555555555554
PZB-TSN267-SAEON-GWFN,10,2,0.0,0,2,1.0,random,0.32935037332769285,3.0,1.2,1.95
PZB1,1,11,0.9096250374673884,2,1,5.5,core influence,0.9096250374673884,1.0,2.0,5.5
PZB-GREY1-TSN193-UNISAP,2,10,0.0,2,3,5.0,core influence,0.4548125187336942,2.0,2.0,5.25
PZB-GREY1-TSN385-CGSP,3,9,0.0,0,7,1.0,core influence,0.3032083458224628,3.6666666666666665,1.3333333333333333,3.8333333333333335
PZB-GREY1-TSN384-SANBIP,4,8,0.0,0,7,1.0,core influence,0.2274062593668471,4.5,1.0,3.125
PZB-GREY1-TSN383-DUTI,5,7,0.0,0,7,1.0,core influence,0.18192500749347768,5.0,0.8,2.7
DUR,6,6,0.0,0,6,1.0,core influence,0.1516041729112314,5.166666666666667,0.6666666666666666,2.4166666666666665
PZB-TSN267-SAEON-GWFN,7,5,0.0,0,5,1.0,core influence,0.12994643392391264,5.142857142857143,0.5714285714285714,2.2142857142857144
DUR3,8,4,0.0,0,4,1.0,core influence,0.11370312968342355,5.0,0.5,2.0625
PZB-GREY1-TSN10-DUTRC,9,3,0.0,0,3,1.0,core influence,0.10106944860748761,4.777777777777778,0.4444444444444444,1.9444444444444444
PZB-TSN534-HSRC-SW,10,2,0.0,0,2,1.0,core influence,0.09096250374673884,4.5,0.4,1.85
PZB1,1,11,0.9096250374673884,2,1,5.5,degree,0.9096250374673884,1.0,2.0,5.5
PZB-GREY1-TSN193-UNISAP,2,10,0.0,2,3,5.0,degree,0.4548125187336942,2.0,2.0,5.25
PZB-GREY1-TSN385-CGSP,3,9,0.0,0,7,1.0,degree,0.3032083458224628,3.6666666666666665,1.3333333333333333,3.8333333333333335
DUR,4,8,0.0,0,7,1.0,degree,0.2274062593668471,4.5,1.0,3.125
DUR3,5,7,0.0,0,6,1.0,degree,0.18192500749347768,4.8,0.8,2.7
PZB-GREY1-TSN10-DUTRC,6,6,0.0,0,5,1.0,degree,0.1516041729112314,4.833333333333333,0.6666666666666666,2.4166666666666665
PZB-GREY1-TSN384-SANBIP,7,5,0.0,0,4,1.0,degree,0.12994643392391264,4.714285714285714,0.5714285714285714,2.2142857142857144
PZB-GREY1-TSN383-DUTI,8,4,0.0,0,4,1.0,degree,0.11370312968342355,4.625,0.5,2.0625
PZB-TSN267-SAEON-GWFN,9,3,0.0,0,3,1.0,degree,0.10106944860748761,4.444444444444445,0.4444444444444444,1.9444444444444444
PZB-TSN534-HSRC-SW,10,2,0.0,0,2,1.0,degree,0.09096250374673884,4.2,0.4,1.85
PZB1,1,11,0.9096250374673884,2,1,5.5,betweeness,0.9096250374673884,1.0,2.0,5.5
PZB-GREY1-TSN193-UNISAP,2,10,0.0,2,3,5.0,betweeness,0.4548125187336942,2.0,2.0,5.25
PZB-GREY1-TSN383-DUTI,3,9,0.0,0,7,1.0,betweeness,0.3032083458224628,3.6666666666666665,1.3333333333333333,3.8333333333333335
PZB-GREY1-TSN385-CGSP,4,8,0.0,0,7,1.0,betweeness,0.2274062593668471,4.5,1.0,3.125
PZB-GREY1-TSN384-SANBIP,5,7,0.0,0,7,1.0,betweeness,0.18192500749347768,5.0,0.8,2.7
DUR,6,6,0.0,0,6,1.0,betweeness,0.1516041729112314,5.166666666666667,0.6666666666666666,2.4166666666666665
DUR3,7,5,0.0,0,5,1.0,betweeness,0.12994643392391264,5.142857142857143,0.5714285714285714,2.2142857142857144
PZB-GREY1-TSN10-DUTRC,8,4,0.0,0,4,1.0,betweeness,0.11370312968342355,5.0,0.5,2.0625
PZB-TSN267-SAEON-GWFN,9,3,0.0,0,3,1.0,betweeness,0.10106944860748761,4.777777777777778,0.4444444444444444,1.9444444444444444
PZB-TSN534-HSRC-SW,10,2,0.0,0,2,1.0,betweeness,0.09096250374673884,4.5,0.4,1.85
PZB1,1,11,0.9096250374673884,2,1,5.5,closeness,0.9096250374673884,1.0,2.0,5.5
PZB-GREY1-TSN193-UNISAP,2,10,0.0,2,3,5.0,closeness,0.4548125187336942,2.0,2.0,5.25
