node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
PZB-TSN670-ARC-CACWL,1,11,0.9821513845918252,1,1,2.0,random,0.9821513845918252,1.0,1.0,2.0
PZB-GREY1-TSN10-DUTRC,2,10,0.9776599168255061,1,1,2.0,random,0.9799056507086656,1.0,1.0,2.0
PZB-GREY1-TSN385-CGSP,3,9,0.9705749441022695,1,1,5.0,random,0.9767954151732002,1.0,1.0,3.0
PZB1,4,8,0.8377223398316204,2,1,2.0,random,0.9420271463378053,1.0,1.25,2.75
PZB-GREY1-TSN384-SANBIP,5,7,0.0,2,4,3.0,random,0.7536217170702442,1.6,1.4,2.8
DUR,6,6,0.0,0,6,1.0,random,0.6280180975585369,2.3333333333333335,1.1666666666666667,2.5
PZB-TSN267-SAEON-GWFN,7,5,0.0,0,5,1.0,random,0.5383012264787459,2.7142857142857144,1.0,2.2857142857142856
PZB-TSN534-HSRC-SW,8,4,0.0,0,4,1.0,random,0.47101357316890263,2.875,0.875,2.125
DUR3,9,3,0.0,0,3,1.0,random,0.41867873170569125,2.888888888888889,0.7777777777777778,2.0
PZB-GREY1-TSN193-UNISAP,10,2,0.0,0,2,1.0,random,0.3768108585351221,2.8,0.7,1.9
PZB-GREY1-TSN385-CGSP,1,11,0.9821513845918252,1,1,2.0,core influence,0.9821513845918252,1.0,1.0,2.0
PZB1,2,10,0.8992597778447042,2,1,4.0,core influence,0.9407055812182648,1.0,1.5,3.0
PZB-GREY1-TSN10-DUTRC,3,9,0.0,2,4,3.0,core influence,0.6271370541455098,2.0,1.6666666666666667,3.0
PZB-GREY1-TSN193-UNISAP,4,8,0.0,1,4,3.0,core influence,0.4703527906091324,2.5,1.5,3.0
PZB-GREY1-TSN384-SANBIP,5,7,0.0,0,4,2.0,core influence,0.3762822324873059,2.8,1.2,2.8
DUR,6,6,0.0,0,5,1.0,core influence,0.3135685270727549,3.1666666666666665,1.0,2.5
PZB-TSN267-SAEON-GWFN,7,5,0.0,0,5,1.0,core influence,0.2687730232052185,3.4285714285714284,0.8571428571428571,2.2857142857142856
PZB-GREY1-TSN383-DUTI,8,4,0.0,0,4,1.0,core influence,0.2351763953045662,3.5,0.75,2.125
PZB-TSN534-HSRC-SW,9,3,0.0,0,3,1.0,core influence,0.20904568471516993,3.4444444444444446,0.6666666666666666,2.0
PZB-TSN670-ARC-CACWL,10,2,0.0,0,2,1.0,core influence,0.18814111624365296,3.3,0.6,1.9
PZB1,1,11,0.9821513845918252,1,1,2.0,degree,0.9821513845918252,1.0,1.0,2.0
PZB-GREY1-TSN385-CGSP,2,10,6.320238393811402e-16,1,2,2.0,degree,0.4910756922959129,1.5,1.0,2.0
DUR,3,9,0.0,2,4,3.0,degree,0.3273837948639419,2.3333333333333335,1.3333333333333333,2.3333333333333335
PZB-GREY1-TSN384-SANBIP,4,8,0.0,1,6,2.0,degree,0.24553784614795646,3.25,1.25,2.25
PZB-GREY1-TSN10-DUTRC,5,7,0.0,0,7,1.0,degree,0.19643027691836518,4.0,1.0,2.0
PZB-GREY1-TSN193-UNISAP,6,6,0.0,0,6,1.0,degree,0.16369189743197096,4.333333333333333,0.8333333333333334,1.8333333333333333
PZB-GREY1-TSN383-DUTI,7,5,0.0,0,5,1.0,degree,0.1403073406559751,4.428571428571429,0.7142857142857143,1.7142857142857142
PZB-TSN267-SAEON-GWFN,8,4,0.0,0,4,1.0,degree,0.12276892307397823,4.375,0.625,1.625
PZB-TSN534-HSRC-SW,9,3,0.0,0,3,1.0,degree,0.10912793162131398,4.222222222222222,0.5555555555555556,1.5555555555555556
PZB-TSN670-ARC-CACWL,10,2,0.0,0,2,1.0,degree,0.09821513845918259,4.0,0.5,1.5
PZB1,1,11,0.9821513845918252,1,1,2.0,betweeness,0.9821513845918252,1.0,1.0,2.0
PZB-GREY1-TSN385-CGSP,2,10,6.320238393811402e-16,1,2,2.0,betweeness,0.4910756922959129,1.5,1.0,2.0
DUR,3,9,0.0,2,4,3.0,betweeness,0.3273837948639419,2.3333333333333335,1.3333333333333333,2.3333333333333335
