node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
VDP-GREY1-TSN90-VUTMC,1,8,0.7029294556367246,2,1,3.0,random,0.7029294556367246,1.0,2.0,3.0
VDP-GREY2-TSN484-DFA-VDBP,2,7,0.7269271369323326,2,1,1.0,random,0.7149282962845286,1.0,2.0,2.0
VDP-GREY2-TSN598-VUT-EMF,3,6,0.4858630706647095,2,1,4.0,random,0.6385732210779222,1.0,2.0,2.6666666666666665
JOBURG,4,5,1.1102230246251565e-16,2,2,3.0,random,0.4789299158084417,1.25,2.0,2.75
VDP1,5,4,7.104272765076778e-17,1,2,2.0,random,0.3831439326467534,1.4,1.8,2.6
ZEH1,6,3,0.0,0,3,1.0,random,0.3192866105389612,1.6666666666666667,1.5,2.3333333333333335
POTCH,7,2,0.0,0,2,1.0,random,0.27367423760482384,1.7142857142857142,1.2857142857142858,2.142857142857143
VDP1,1,8,0.7029294556367246,2,1,3.0,core influence,0.7029294556367246,1.0,2.0,3.0
VDP-GREY2-TSN139-NWUFAR,2,7,0.0,1,4,1.0,core influence,0.3514647278183623,2.5,1.5,2.0
VDP-GREY2-TSN598-VUT-EMF,3,6,0.0,0,5,1.0,core influence,0.23430981854557487,3.3333333333333335,1.0,1.6666666666666667
VDP-GREY2-TSN484-DFA-VDBP,4,5,0.0,0,4,1.0,core influence,0.17573236390918115,3.5,0.75,1.5
JOBURG,5,4,0.0,0,3,1.0,core influence,0.14058589112734493,3.4,0.6,1.4
VDP-GREY1-TSN90-VUTMC,6,3,0.0,0,3,1.0,core influence,0.11715490927278743,3.3333333333333335,0.5,1.3333333333333333
ZEH1,7,2,0.0,0,2,1.0,core influence,0.10041849366238922,3.142857142857143,0.42857142857142855,1.2857142857142858
VDP1,1,8,0.7029294556367246,2,1,3.0,degree,0.7029294556367246,1.0,2.0,3.0
JOBURG,2,7,0.0,1,4,1.0,degree,0.3514647278183623,2.5,1.5,2.0
VDP-GREY1-TSN90-VUTMC,3,6,0.0,1,4,2.0,degree,0.23430981854557487,3.0,1.3333333333333333,2.0
VDP-GREY2-TSN139-NWUFAR,4,5,0.0,1,3,2.0,degree,0.17573236390918115,3.0,1.25,2.0
VDP-GREY2-TSN484-DFA-VDBP,5,4,0.0,0,4,1.0,degree,0.14058589112734493,3.2,1.0,1.8
VDP-GREY2-TSN598-VUT-EMF,6,3,0.0,0,3,1.0,degree,0.11715490927278743,3.1666666666666665,0.8333333333333334,1.6666666666666667
POTCH,7,2,0.0,0,2,1.0,degree,0.10041849366238922,3.0,0.7142857142857143,1.5714285714285714
VDP1,1,8,0.7029294556367246,2,1,3.0,betweeness,0.7029294556367246,1.0,2.0,3.0
VDP-GREY2-TSN484-DFA-VDBP,2,7,0.0,1,4,1.0,betweeness,0.3514647278183623,2.5,1.5,2.0
VDP-GREY2-TSN598-VUT-EMF,3,6,0.0,0,4,1.0,betweeness,0.23430981854557487,3.0,1.0,1.6666666666666667
VDP-GREY2-TSN139-NWUFAR,4,5,0.0,0,4,1.0,betweeness,0.17573236390918115,3.25,0.75,1.5
JOBURG,5,4,0.0,0,3,1.0,betweeness,0.14058589112734493,3.2,0.6,1.4
VDP-GREY1-TSN90-VUTMC,6,3,0.0,0,3,1.0,betweeness,0.11715490927278743,3.1666666666666665,0.5,1.3333333333333333
POTCH,7,2,0.0,0,2,1.0,betweeness,0.10041849366238922,3.0,0.42857142857142855,1.2857142857142858
VDP1,1,8,0.7029294556367246,2,1,3.0,closeness,0.7029294556367246,1.0,2.0,3.0
VDP-GREY2-TSN484-DFA-VDBP,2,7,0.0,1,4,1.0,closeness,0.3514647278183623,2.5,1.5,2.0
VDP-GREY2-TSN598-VUT-EMF,3,6,0.0,0,4,1.0,closeness,0.23430981854557487,3.0,1.0,1.6666666666666667
JOBURG,4,5,0.0,0,4,1.0,closeness,0.17573236390918115,3.25,0.75,1.5
VDP-GREY1-TSN90-VUTMC,5,4,0.0,0,4,1.0,closeness,0.14058589112734493,3.4,0.6,1.4
POTCH,6,3,0.0,0,3,1.0,closeness,0.11715490927278743,3.3333333333333335,0.5,1.3333333333333333
ZEH1,7,2,0.0,0,2,1.0,closeness,0.10041849366238922,3.142857142857143,0.42857142857142855,1.2857142857142858
