node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
VDP-GREY2-TSN139-NWUFAR,1,8,1.9999999999999982,0,1,3.0,random,1.9999999999999982,1.0,0.0,3.0
VDP-GREY2-TSN484-DFA-VDBP,2,7,0.9999999999999987,2,1,4.0,random,1.4999999999999984,1.0,1.0,3.5
VDP1,3,6,1.0,2,1,3.0,random,1.3333333333333324,1.0,1.3333333333333333,3.3333333333333335
VDP-GREY2-TSN598-VUT-EMF,4,5,0.0,0,3,1.0,random,0.9999999999999992,1.5,1.0,2.75
VDP-GREY1-TSN90-VUTMC,5,4,0.0,0,3,1.0,random,0.7999999999999994,1.8,0.8,2.4
POTCH,6,3,0.0,0,3,1.0,random,0.6666666666666662,2.0,0.6666666666666666,2.1666666666666665
JOBURG,7,2,0.0,0,2,1.0,random,0.571428571428571,2.0,0.5714285714285714,2.0
VDP1,1,8,1.9999999999999982,0,1,3.0,core influence,1.9999999999999982,1.0,0.0,3.0
VDP-GREY2-TSN139-NWUFAR,2,7,0.9999999999999989,2,1,4.0,core influence,1.4999999999999987,1.0,1.0,3.5
VDP-GREY2-TSN598-VUT-EMF,3,6,0.0,1,3,1.0,core influence,0.9999999999999991,1.6666666666666667,1.0,2.6666666666666665
VDP-GREY2-TSN484-DFA-VDBP,4,5,0.0,0,4,1.0,core influence,0.7499999999999993,2.25,0.75,2.25
ZEH1,5,4,0.0,0,3,1.0,core influence,0.5999999999999994,2.4,0.6,2.0
VDP-GREY1-TSN90-VUTMC,6,3,0.0,0,3,1.0,core influence,0.49999999999999956,2.5,0.5,1.8333333333333333
POTCH,7,2,0.0,0,2,1.0,core influence,0.4285714285714282,2.4285714285714284,0.42857142857142855,1.7142857142857142
VDP1,1,8,1.9999999999999982,0,1,3.0,degree,1.9999999999999982,1.0,0.0,3.0
VDP-GREY2-TSN139-NWUFAR,2,7,0.9999999999999989,2,1,4.0,degree,1.4999999999999987,1.0,1.0,3.5
VDP-GREY2-TSN598-VUT-EMF,3,6,0.0,1,3,1.0,degree,0.9999999999999991,1.6666666666666667,1.0,2.6666666666666665
VDP-GREY1-TSN90-VUTMC,4,5,0.0,0,4,1.0,degree,0.7499999999999993,2.25,0.75,2.25
VDP-GREY2-TSN484-DFA-VDBP,5,4,0.0,0,4,1.0,degree,0.5999999999999994,2.6,0.6,2.0
POTCH,6,3,0.0,0,3,1.0,degree,0.49999999999999956,2.6666666666666665,0.5,1.8333333333333333
ZEH1,7,2,0.0,0,2,1.0,degree,0.4285714285714282,2.5714285714285716,0.42857142857142855,1.7142857142857142
VDP1,1,8,1.9999999999999982,0,1,3.0,betweeness,1.9999999999999982,1.0,0.0,3.0
VDP-GREY2-TSN139-NWUFAR,2,7,0.9999999999999989,2,1,4.0,betweeness,1.4999999999999987,1.0,1.0,3.5
VDP-GREY2-TSN598-VUT-EMF,3,6,0.0,1,3,1.0,betweeness,0.9999999999999991,1.6666666666666667,1.0,2.6666666666666665
JOBURG,4,5,0.0,0,4,1.0,betweeness,0.7499999999999993,2.25,0.75,2.25
VDP-GREY1-TSN90-VUTMC,5,4,0.0,0,3,1.0,betweeness,0.5999999999999994,2.4,0.6,2.0
VDP-GREY2-TSN484-DFA-VDBP,6,3,0.0,0,3,1.0,betweeness,0.49999999999999956,2.5,0.5,1.8333333333333333
POTCH,7,2,0.0,0,2,1.0,betweeness,0.4285714285714282,2.4285714285714284,0.42857142857142855,1.7142857142857142
VDP1,1,8,1.9999999999999982,0,1,3.0,closeness,1.9999999999999982,1.0,0.0,3.0
VDP-GREY2-TSN139-NWUFAR,2,7,0.9999999999999989,2,1,4.0,closeness,1.4999999999999987,1.0,1.0,3.5
VDP-GREY2-TSN598-VUT-EMF,3,6,0.0,1,3,1.0,closeness,0.9999999999999991,1.6666666666666667,1.0,2.6666666666666665
VDP-GREY1-TSN90-VUTMC,4,5,0.0,0,4,1.0,closeness,0.7499999999999993,2.25,0.75,2.25
VDP-GREY2-TSN484-DFA-VDBP,5,4,0.0,0,4,1.0,closeness,0.5999999999999994,2.6,0.6,2.0
POTCH,6,3,0.0,0,3,1.0,closeness,0.49999999999999956,2.6666666666666665,0.5,1.8333333333333333
ZEH1,7,2,0.0,0,2,1.0,closeness,0.4285714285714282,2.5714285714285716,0.42857142857142855,1.7142857142857142
