graph,strategy,step,num_edges_added_this_step,edges_added,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
vdp,highest_degree_pair,1,1,VDP1--VDP-GREY2-TSN139-NWUFAR,0.70293,1.0,0.29707,0.70293,0.14286,3.71429,0.71429,1.28571,-0.42857,2.0,-1.14286,0.14286,0.14286,3.71429,0.71429,1.28571,-0.42857,2.0,-1.14286,0.14286,0.14286,3.71429,0.71429,1.28571,-0.42857,2.0,-1.14286,0.14286,0.14286,3.71429,0.71429,1.28571,-0.42857,2.0,-1.14286,0.14286,0.57143,1.71429,1.85714,1.14286,0.0,0.0,0.0,0.0
vdp,highest_degree_pair,2,1,VDP-GREY2-TSN139-NWUFAR--JOBURG,1.0,1.0,0.0,0.70293,0.14286,3.57143,0.71429,1.57143,-0.42857,1.71429,-1.14286,-0.85714,0.14286,3.57143,0.71429,1.57143,-0.42857,1.71429,-1.14286,-0.85714,0.28571,3.14286,1.14286,2.0,-0.28571,1.28571,-0.71429,-0.42857,0.14286,3.57143,0.71429,1.57143,-0.42857,1.71429,-1.14286,-0.85714,0.57143,1.85714,1.85714,2.42857,0.0,0.0,0.0,0.0
vdp,highest_degree_pair,3,1,VDP-GREY2-TSN139-NWUFAR--VDP-GREY1-TSN90-VUTMC,1.0,1.0,-0.0,0.70293,0.14286,3.42857,0.71429,1.85714,-0.42857,1.57143,-1.28571,-1.28571,0.14286,3.42857,0.71429,1.85714,-0.42857,1.57143,-1.28571,-1.28571,0.14286,3.42857,0.71429,1.85714,-0.42857,1.57143,-1.28571,-1.28571,0.14286,3.42857,0.71429,1.85714,-0.42857,1.57143,-1.28571,-1.28571,0.57143,1.85714,2.0,3.14286,0.0,0.0,0.0,0.0
vdp,highest_degree_pair,4,1,VDP-GREY2-TSN139-NWUFAR--POTCH,1.0,1.0,0.0,0.70293,0.14286,3.28571,0.71429,2.14286,-1.28571,2.28571,0.0,-0.28571,0.14286,3.28571,0.71429,2.14286,-1.28571,2.28571,0.0,-0.28571,0.14286,3.28571,0.71429,2.14286,-1.28571,2.28571,0.0,-0.28571,0.14286,3.28571,0.71429,2.14286,-1.28571,2.28571,0.0,-0.28571,1.42857,1.0,0.71429,2.42857,0.0,0.0,0.0,0.0
vdp,highest_degree_pair,5,1,VDP-GREY2-TSN139-NWUFAR--ZEH1,1.0,2.0,1.0,0.70293,0.42857,3.14286,0.71429,2.42857,-0.28571,0.71429,0.14286,-0.42857,0.42857,3.14286,0.71429,2.42857,-0.28571,0.71429,0.14286,-0.42857,0.42857,3.14286,0.71429,2.42857,-0.28571,0.71429,0.14286,-0.42857,0.42857,3.14286,0.71429,2.42857,-0.28571,0.71429,0.14286,-0.42857,0.71429,2.42857,0.57143,2.85714,0.0,0.0,0.0,0.0
vdp,highest_degree_pair,6,1,JOBURG--VDP-GREY1-TSN90-VUTMC,2.0,2.0,-0.0,0.70293,0.42857,3.0,0.57143,1.0,-0.42857,1.57143,-1.14286,-0.71429,0.42857,3.0,0.57143,1.0,-0.42857,1.57143,-1.14286,-0.71429,0.57143,2.42857,1.14286,1.57143,-0.28571,1.0,-0.57143,-0.14286,0.42857,3.0,0.57143,1.0,-0.42857,1.57143,-1.14286,-0.71429,0.85714,1.42857,1.71429,1.71429,0.0,0.0,0.0,0.0
vdp,highest_degree_pair,7,1,JOBURG--VDP-GREY2-TSN484-DFA-VDBP,2.0,2.0,0.0,0.70293,0.42857,2.85714,0.57143,1.42857,-0.85714,1.42857,0.28571,0.28571,0.42857,2.85714,0.57143,1.42857,-0.85714,1.42857,0.28571,0.28571,0.57143,2.42857,1.0,1.85714,-0.71429,1.0,0.71429,0.71429,0.42857,2.85714,0.57143,1.42857,-0.85714,1.42857,0.28571,0.28571,1.28571,1.42857,0.28571,1.14286,0.0,0.0,0.0,0.0
vdp,highest_degree_pair,8,1,JOBURG--VDP-GREY2-TSN598-VUT-EMF,2.0,2.0,0.0,0.70293,0.42857,2.71429,0.57143,1.85714,-2.0,1.71429,0.57143,0.28571,0.42857,2.71429,0.57143,1.85714,-2.0,1.71429,0.57143,0.28571,0.42857,2.71429,0.57143,1.85714,-2.0,1.71429,0.57143,0.28571,0.42857,2.71429,0.57143,1.85714,-2.0,1.71429,0.57143,0.28571,2.42857,1.0,0.0,1.57143,0.0,0.0,0.0,0.0
vdp,highest_degree_pair,9,1,JOBURG--POTCH,2.0,2.0,0.0,0.70293,0.42857,2.57143,0.57143,2.28571,-0.57143,0.71429,0.14286,-0.57143,0.42857,2.57143,0.57143,2.28571,-0.57143,0.71429,0.14286,-0.57143,0.57143,2.42857,0.71429,2.42857,-0.42857,0.57143,0.28571,-0.42857,0.42857,2.57143,0.57143,2.28571,-0.57143,0.71429,0.14286,-0.57143,1.0,1.85714,0.42857,2.85714,0.0,0.0,0.0,0.0
vdp,highest_degree_pair,10,1,JOBURG--ZEH1,2.0,3.0,1.0,0.70293,0.85714,2.42857,0.57143,2.71429,-0.71429,1.42857,-0.85714,-0.85714,0.85714,2.42857,0.57143,2.71429,-0.71429,1.42857,-0.85714,-0.85714,0.85714,2.42857,0.57143,2.71429,-0.71429,1.42857,-0.85714,-0.85714,0.85714,2.42857,0.57143,2.71429,-0.71429,1.42857,-0.85714,-0.85714,1.57143,1.0,1.42857,3.57143,0.0,0.0,0.0,0.0
