graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
vdp,mrkc_heuristic,1,1,JOBURG--VDP-GREY2-TSN139-NWUFAR,0.70293,1,3,1.0,0.70293,1,3,1.0,0.83772,1,2,2.0,0.77033,1.0,2.5,1.5,0.70293,0.83772,0.13479,0.70293,0.11967,3.57143,0.57143,1.42857,-0.33154,2.0,-0.28571,0.14286,0.11967,3.14286,0.71429,1.57143,-0.33154,1.57143,-0.14286,0.28571,0.26253,3.14286,1.0,1.85714,-0.18868,1.57143,0.14286,0.57143,0.11967,3.57143,0.57143,1.42857,-0.33154,2.0,-0.28571,0.14286,0.45121,1.57143,0.85714,1.28571,0.0,0.0,0.0,0.0
vdp,mrkc_heuristic,2,1,POTCH--VDP-GREY2-TSN139-NWUFAR,0.70293,1,3,1.0,0.83772,1,2,2.0,0.91613,1,2,3.0,0.81893,1.0,2.33333,2.0,0.83772,0.91613,0.07841,0.70293,0.13088,3.42857,0.71429,1.71429,-0.40962,1.57143,-0.71429,-0.71429,0.13088,3.0,1.0,2.0,-0.40962,1.14286,-0.42857,-0.42857,0.27373,3.14286,1.0,2.0,-0.26677,1.28571,-0.42857,-0.42857,0.13088,3.42857,0.71429,1.71429,-0.40962,1.57143,-0.71429,-0.71429,0.5405,1.85714,1.42857,2.42857,0.0,0.0,0.0,0.0
vdp,mrkc_heuristic,3,1,VDP-GREY1-TSN90-VUTMC--VDP-GREY2-TSN139-NWUFAR,0.70293,1,3,1.0,0.91613,1,2,3.0,0.96596,1,1,4.0,0.85568,1.0,2.0,2.5,0.91613,0.96596,0.04983,0.70293,0.13799,3.28571,0.71429,2.0,-0.42857,1.42857,-1.14286,-1.14286,0.13799,3.28571,0.71429,2.0,-0.42857,1.42857,-1.14286,-1.14286,0.28085,3.14286,0.85714,2.14286,-0.28571,1.28571,-1.0,-1.0,0.13799,3.28571,0.71429,2.0,-0.42857,1.42857,-1.14286,-1.14286,0.56657,1.85714,1.85714,3.14286,0.0,0.0,0.0,0.0
vdp,mrkc_heuristic,4,1,ZEH1--VDP-GREY2-TSN139-NWUFAR,0.70293,1,3,1.0,0.96596,1,1,4.0,2.0,1,0,5.0,1.08455,1.0,1.6,3.0,0.96596,2.0,1.03404,0.70293,0.42857,3.14286,0.71429,2.28571,-1.42857,2.14286,0.57143,-0.28571,0.42857,3.14286,0.71429,2.28571,-1.42857,2.14286,0.57143,-0.28571,0.42857,3.14286,0.71429,2.28571,-1.42857,2.14286,0.57143,-0.28571,0.42857,3.14286,0.71429,2.28571,-1.42857,2.14286,0.57143,-0.28571,1.85714,1.0,0.14286,2.57143,0.0,0.0,0.0,0.0
vdp,mrkc_heuristic,5,1,JOBURG--POTCH,0.70293,1,3,1.0,2.0,1,0,5.0,2.0,1,0,5.0,1.23712,1.0,1.33333,3.33333,2.0,2.0,0.0,0.70293,0.42857,3.0,0.57143,1.57143,-0.28571,0.71429,0.14286,-0.42857,0.42857,3.0,0.57143,1.57143,-0.28571,0.71429,0.14286,-0.42857,0.42857,3.0,0.57143,1.57143,-0.28571,0.71429,0.14286,-0.42857,0.42857,3.0,0.57143,1.57143,-0.28571,0.71429,0.14286,-0.42857,0.71429,2.28571,0.42857,2.0,0.0,0.0,0.0,0.0
vdp,mrkc_heuristic,6,1,VDP-GREY1-TSN90-VUTMC--JOBURG,0.70293,1,3,1.0,2.0,1,0,5.0,2.0,1,0,2.0,1.34611,1.0,1.14286,3.14286,2.0,2.0,0.0,0.70293,0.42857,2.85714,0.57143,1.42857,-0.42857,1.42857,-0.85714,-0.71429,0.42857,2.85714,0.57143,1.42857,-0.42857,1.42857,-0.85714,-0.71429,1.0,1.42857,1.28571,2.85714,0.14286,0.0,-0.14286,0.71429,0.42857,2.85714,0.57143,1.42857,-0.42857,1.42857,-0.85714,-0.71429,0.85714,1.42857,1.42857,2.14286,0.0,0.0,0.0,0.0
vdp,mrkc_heuristic,7,1,VDP-GREY2-TSN484-DFA-VDBP--JOBURG,0.70293,1,3,1.0,2.0,1,0,2.0,2.0,1,0,3.0,1.42784,1.0,1.0,3.125,2.0,2.0,-0.0,0.70293,0.42857,2.71429,0.57143,1.85714,-1.0,1.57143,0.14286,-0.14286,0.42857,2.71429,0.57143,1.85714,-1.0,1.57143,0.14286,-0.14286,0.71429,2.42857,0.57143,2.28571,-0.71429,1.28571,0.14286,0.28571,0.42857,2.71429,0.57143,1.85714,-1.0,1.57143,0.14286,-0.14286,1.42857,1.14286,0.42857,2.0,0.0,0.0,0.0,0.0
vdp,mrkc_heuristic,8,1,VDP-GREY2-TSN598-VUT-EMF--JOBURG,0.70293,1,3,1.0,2.0,1,0,3.0,2.0,1,0,4.0,1.49142,1.0,0.88889,3.22222,2.0,2.0,0.0,0.70293,0.42857,2.57143,0.57143,2.28571,-1.71429,1.57143,0.57143,0.14286,0.57143,2.42857,0.71429,2.42857,-1.57143,1.42857,0.71429,0.28571,0.71429,2.42857,0.57143,2.42857,-1.42857,1.42857,0.57143,0.28571,0.57143,2.42857,0.71429,2.42857,-1.57143,1.42857,0.71429,0.28571,2.14286,1.0,0.0,2.14286,0.0,0.0,0.0,0.0
vdp,mrkc_heuristic,9,1,ZEH1--JOBURG,0.70293,1,3,1.0,2.0,1,0,4.0,3.0,1,0,5.0,1.64227,1.0,0.8,3.4,2.0,3.0,1.0,0.70293,0.85714,2.42857,0.57143,2.57143,-0.28571,0.57143,0.14286,-0.14286,0.85714,2.42857,0.57143,2.57143,-0.28571,0.57143,0.14286,-0.14286,0.85714,2.42857,0.57143,2.57143,-0.28571,0.57143,0.14286,-0.14286,0.85714,2.42857,0.57143,2.57143,-0.28571,0.57143,0.14286,-0.14286,1.14286,1.85714,0.42857,2.71429,0.0,0.0,0.0,0.0
vdp,mrkc_heuristic,10,1,POTCH--VDP-GREY1-TSN90-VUTMC,0.70293,1,3,1.0,3.0,1,0,5.0,3.0,1,0,5.0,1.7657,1.0,0.72727,3.54545,3.0,3.0,-0.0,0.70293,0.85714,2.28571,0.42857,2.0,-0.71429,1.28571,-0.71429,0.0,0.85714,2.28571,0.42857,2.0,-0.71429,1.28571,-0.71429,0.0,0.85714,2.28571,0.42857,2.0,-0.71429,1.28571,-0.71429,0.0,0.85714,2.28571,0.42857,2.0,-0.71429,1.28571,-0.71429,0.0,1.57143,1.0,1.14286,2.0,0.0,0.0,0.0,0.0
