node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
POTCH,1,8,1.9999999999999984,0,1,5.0,random,1.9999999999999984,1.0,0.0,5.0
VDP-GREY2-TSN598-VUT-EMF,2,7,1.999999999999999,0,1,4.0,random,1.9999999999999987,1.0,0.0,4.5
VDP-GREY2-TSN484-DFA-VDBP,3,6,1.999999999999998,0,1,3.0,random,1.9999999999999984,1.0,0.0,4.0
JOBURG,4,5,2.0,0,1,2.0,random,1.999999999999999,1.0,0.0,3.5
ZEH1,5,4,2.0,0,1,1.0,random,1.999999999999999,1.0,0.0,3.0
VDP1,6,3,0.9999999999999997,1,1,2.0,random,1.8333333333333324,1.0,0.16666666666666666,2.8333333333333335
VDP-GREY2-TSN139-NWUFAR,7,2,2.0,0,1,1.0,random,1.8571428571428563,1.0,0.14285714285714285,2.5714285714285716
VDP-GREY2-TSN139-NWUFAR,1,8,1.9999999999999984,0,1,5.0,core influence,1.9999999999999984,1.0,0.0,5.0
VDP1,2,7,0.9999999999999993,5,1,6.0,core influence,1.499999999999999,1.0,2.5,5.5
VDP-GREY2-TSN598-VUT-EMF,3,6,0.0,0,6,1.0,core influence,0.9999999999999992,2.6666666666666665,1.6666666666666667,4.0
POTCH,4,5,0.0,0,5,1.0,core influence,0.7499999999999994,3.25,1.25,3.25
ZEH1,5,4,0.0,0,4,1.0,core influence,0.5999999999999995,3.4,1.0,2.8
JOBURG,6,3,0.0,0,3,1.0,core influence,0.4999999999999996,3.3333333333333335,0.8333333333333334,2.5
VDP-GREY2-TSN484-DFA-VDBP,7,2,0.0,0,2,1.0,core influence,0.42857142857142827,3.142857142857143,0.7142857142857143,2.2857142857142856
VDP1,1,8,1.9999999999999984,0,1,5.0,degree,1.9999999999999984,1.0,0.0,5.0
VDP-GREY2-TSN139-NWUFAR,2,7,0.9999999999999999,5,1,6.0,degree,1.4999999999999991,1.0,2.5,5.5
JOBURG,3,6,0.0,0,6,1.0,degree,0.9999999999999994,2.6666666666666665,1.6666666666666667,4.0
VDP-GREY1-TSN90-VUTMC,4,5,0.0,0,5,1.0,degree,0.7499999999999996,3.25,1.25,3.25
VDP-GREY2-TSN484-DFA-VDBP,5,4,0.0,0,4,1.0,degree,0.5999999999999996,3.4,1.0,2.8
VDP-GREY2-TSN598-VUT-EMF,6,3,0.0,0,3,1.0,degree,0.4999999999999997,3.3333333333333335,0.8333333333333334,2.5
POTCH,7,2,0.0,0,2,1.0,degree,0.4285714285714283,3.142857142857143,0.7142857142857143,2.2857142857142856
VDP1,1,8,1.9999999999999984,0,1,5.0,betweeness,1.9999999999999984,1.0,0.0,5.0
VDP-GREY2-TSN139-NWUFAR,2,7,0.9999999999999999,5,1,6.0,betweeness,1.4999999999999991,1.0,2.5,5.5
JOBURG,3,6,0.0,0,6,1.0,betweeness,0.9999999999999994,2.6666666666666665,1.6666666666666667,4.0
VDP-GREY1-TSN90-VUTMC,4,5,0.0,0,5,1.0,betweeness,0.7499999999999996,3.25,1.25,3.25
VDP-GREY2-TSN484-DFA-VDBP,5,4,0.0,0,4,1.0,betweeness,0.5999999999999996,3.4,1.0,2.8
VDP-GREY2-TSN598-VUT-EMF,6,3,0.0,0,3,1.0,betweeness,0.4999999999999997,3.3333333333333335,0.8333333333333334,2.5
POTCH,7,2,0.0,0,2,1.0,betweeness,0.4285714285714283,3.142857142857143,0.7142857142857143,2.2857142857142856
VDP1,1,8,1.9999999999999984,0,1,5.0,closeness,1.9999999999999984,1.0,0.0,5.0
VDP-GREY2-TSN139-NWUFAR,2,7,0.9999999999999999,5,1,6.0,closeness,1.4999999999999991,1.0,2.5,5.5
JOBURG,3,6,0.0,0,6,1.0,closeness,0.9999999999999994,2.6666666666666665,1.6666666666666667,4.0
VDP-GREY1-TSN90-VUTMC,4,5,0.0,0,5,1.0,closeness,0.7499999999999996,3.25,1.25,3.25
VDP-GREY2-TSN484-DFA-VDBP,5,4,0.0,0,4,1.0,closeness,0.5999999999999996,3.4,1.0,2.8
VDP-GREY2-TSN598-VUT-EMF,6,3,0.0,0,3,1.0,closeness,0.4999999999999997,3.3333333333333335,0.8333333333333334,2.5
POTCH,7,2,0.0,0,2,1.0,closeness,0.4285714285714283,3.142857142857143,0.7142857142857143,2.2857142857142856
