node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
ZEH1,1,8,0.7931222928450364,2,1,2.0,random,0.7931222928450364,1.0,2.0,2.0
POTCH,2,7,0.8265991849765675,1,1,2.0,random,0.8098607389108019,1.0,1.5,2.0
VDP-GREY1-TSN90-VUTMC,3,6,0.8817161344229556,0,1,2.0,random,0.8338125374148532,1.0,1.0,2.0
VDP-GREY2-TSN484-DFA-VDBP,4,5,1.381966011250105,0,1,2.0,random,0.9708509058736662,1.0,0.75,2.0
VDP1,5,4,0.5857864376269045,0,1,2.0,random,0.8938380122243139,1.0,0.6,2.0
VDP-GREY2-TSN598-VUT-EMF,6,3,0.0,0,2,1.0,random,0.7448650101869282,1.1666666666666667,0.5,1.8333333333333333
JOBURG,7,2,0.0,0,2,1.0,random,0.6384557230173671,1.2857142857142858,0.42857142857142855,1.7142857142857142
VDP1,1,8,0.7931222928450364,2,1,2.0,core influence,0.7931222928450364,1.0,2.0,2.0
VDP-GREY2-TSN484-DFA-VDBP,2,7,0.0,0,4,2.0,core influence,0.3965611464225182,2.5,1.0,2.0
VDP-GREY2-TSN139-NWUFAR,3,6,0.0,0,5,1.0,core influence,0.2643740976150121,3.3333333333333335,0.6666666666666666,1.6666666666666667
VDP-GREY2-TSN598-VUT-EMF,4,5,0.0,0,5,1.0,core influence,0.1982805732112591,3.75,0.5,1.5
JOBURG,5,4,0.0,0,4,1.0,core influence,0.15862445856900728,3.8,0.4,1.4
VDP-GREY1-TSN90-VUTMC,6,3,0.0,0,3,1.0,core influence,0.13218704880750606,3.6666666666666665,0.3333333333333333,1.3333333333333333
POTCH,7,2,0.0,0,2,1.0,core influence,0.11330318469214806,3.4285714285714284,0.2857142857142857,1.2857142857142858
VDP1,1,8,0.7931222928450364,2,1,2.0,degree,0.7931222928450364,1.0,2.0,2.0
VDP-GREY2-TSN484-DFA-VDBP,2,7,0.0,0,4,2.0,degree,0.3965611464225182,2.5,1.0,2.0
JOBURG,3,6,0.0,0,5,1.0,degree,0.2643740976150121,3.3333333333333335,0.6666666666666666,1.6666666666666667
VDP-GREY2-TSN139-NWUFAR,4,5,0.0,0,4,1.0,degree,0.1982805732112591,3.5,0.5,1.5
VDP-GREY2-TSN598-VUT-EMF,5,4,0.0,0,4,1.0,degree,0.15862445856900728,3.6,0.4,1.4
VDP-GREY1-TSN90-VUTMC,6,3,0.0,0,3,1.0,degree,0.13218704880750606,3.5,0.3333333333333333,1.3333333333333333
POTCH,7,2,0.0,0,2,1.0,degree,0.11330318469214806,3.2857142857142856,0.2857142857142857,1.2857142857142858
VDP1,1,8,0.7931222928450364,2,1,2.0,betweeness,0.7931222928450364,1.0,2.0,2.0
VDP-GREY2-TSN484-DFA-VDBP,2,7,0.0,0,4,2.0,betweeness,0.3965611464225182,2.5,1.0,2.0
VDP-GREY2-TSN598-VUT-EMF,3,6,0.0,0,5,1.0,betweeness,0.2643740976150121,3.3333333333333335,0.6666666666666666,1.6666666666666667
VDP-GREY2-TSN139-NWUFAR,4,5,0.0,0,5,1.0,betweeness,0.1982805732112591,3.75,0.5,1.5
JOBURG,5,4,0.0,0,4,1.0,betweeness,0.15862445856900728,3.8,0.4,1.4
VDP-GREY1-TSN90-VUTMC,6,3,0.0,0,3,1.0,betweeness,0.13218704880750606,3.6666666666666665,0.3333333333333333,1.3333333333333333
POTCH,7,2,0.0,0,2,1.0,betweeness,0.11330318469214806,3.4285714285714284,0.2857142857142857,1.2857142857142858
VDP1,1,8,0.7931222928450364,2,1,2.0,closeness,0.7931222928450364,1.0,2.0,2.0
VDP-GREY2-TSN484-DFA-VDBP,2,7,0.0,0,4,2.0,closeness,0.3965611464225182,2.5,1.0,2.0
JOBURG,3,6,0.0,0,5,1.0,closeness,0.2643740976150121,3.3333333333333335,0.6666666666666666,1.6666666666666667
VDP-GREY2-TSN598-VUT-EMF,4,5,0.0,0,4,1.0,closeness,0.1982805732112591,3.5,0.5,1.5
VDP-GREY1-TSN90-VUTMC,5,4,0.0,0,4,1.0,closeness,0.15862445856900728,3.6,0.4,1.4
POTCH,6,3,0.0,0,3,1.0,closeness,0.13218704880750606,3.5,0.3333333333333333,1.3333333333333333
ZEH1,7,2,0.0,0,2,1.0,closeness,0.11330318469214806,3.2857142857142856,0.2857142857142857,1.2857142857142858
