step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.024682839418308497,1.0,23.0,4.25,1.917857142857143,0.05254078378499626,0.11903179813218435,0.23351463484909474,0.024682839418308497,1.0,23.0,4.25,1.917857142857143,0.05254078378499626,0.11903179813218435,0.23351463484909474
1,10,AMS1-IR1-AMS1-PR1--CPT3-PE1;AMS1-IR1-AMS1-PR1--PTA1-PE1;AMS1-IR1-AMS1-PR1--CPT1-IR1;AMS1-IR1-AMS1-PR1--DUR3-PE1;AMS1-IR1-AMS1-PR1--ISD1-PE1;AMS1-IR1-AMS1-PR1--JNB2-PE1;AMS1-IR1-AMS1-PR1--PTA2-PE1;AMS1-IR1-AMS1-PR1--MTZ1-IR1;AMS1-IR1-AMS1-PR1--BFN1-PE1;AMS1-IR1-AMS1-PR1--ELS1-PE1,0.02786057701633835,1.0,23.0,3.5714285714285716,1.95,0.053112125649153456,0.11375680957168778,0.23673715758743244,0.02627170821732342,1.0,23.0,3.9107142857142856,1.9339285714285714,0.05282645471707486,0.11639430385193607,0.23512589621826357
2,10,BFN-GREY1-TSN173-UNISAB--CPT3-PE1;BFN-GREY1-TSN173-UNISAB--CPT1-IR1;BFN-GREY1-TSN173-UNISAB--DUR3-PE1;BFN-GREY1-TSN173-UNISAB--ISD1-PE1;BFN-GREY1-TSN173-UNISAB--JNB2-PE1;BFN-GREY1-TSN173-UNISAB--AMS1-IR1-AMS1-PR1;BFN-GREY1-TSN173-UNISAB--MTZ1-IR1;BFN-GREY1-TSN246-UFSPSY--CPT3-PE1;BFN-GREY1-TSN246-UFSPSY--CPT1-IR1;BFN-GREY1-TSN246-UFSPSY--DUR3-PE1,0.02798076184016555,1.0,23.0,3.4285714285714284,2.0142857142857142,0.05277624282368877,0.11719761389076697,0.2299163596297872,0.0268413927582708,1.0,23.0,3.75,1.9607142857142856,0.0528097174192795,0.1166620738648797,0.23338938402210477
3,10,CPT-GREYSLB1-TSN103-CSIR--CPT3-PE1;CPT-GREYSLB1-TSN103-CSIR--CPT1-IR1;CPT-GREYSLB1-TSN103-CSIR--DUR3-PE1;CPT-GREYSLB1-TSN103-CSIR--ISD1-PE1;CPT-GREYSLB1-TSN103-CSIR--JNB2-PE1;CPT-GREYSLB1-TSN103-CSIR--AMS1-IR1-AMS1-PR1;CPT-GREYSLB1-TSN103-CSIR--MTZ1-IR1;CPT-GREYSLB1-TSN103-CSIR--BFN-GREY1-TSN173-UNISAB;CPT-GREYSLB1-TSN292-ARCINFR--CPT3-PE1;CPT-GREYSLB1-TSN292-ARCINFR--CPT1-IR1,0.028161921122508846,1.0,22.0,3.5,2.0642857142857145,0.05215000420194543,0.12139602153827737,0.22124246341581463,0.02717152484933031,1.0,22.75,3.6875,1.9866071428571428,0.05264478911494598,0.11784556078322912,0.23035265387053225
4,10,CPT-GREYSS1-TSN495-UCTVH--CPT3-PE1;CPT-GREYSS1-TSN495-UCTVH--CPT1-IR1;CPT-GREYSS1-TSN495-UCTVH--DUR3-PE1;CPT-GREYSS1-TSN495-UCTVH--ISD1-PE1;CPT-GREYSS1-TSN495-UCTVH--JNB2-PE1;CPT-GREYSS1-TSN495-UCTVH--AMS1-IR1-AMS1-PR1;CPT-GREYSS1-TSN495-UCTVH--MTZ1-IR1;CPT-GREYSS1-TSN495-UCTVH--BFN-GREY1-TSN173-UNISAB;CPT-GREYSS1-TSN495-UCTVH--CPT-GREYSLB1-TSN103-CSIR;CPT-GREYSS1-TSN500-CPUTSPR--CPT3-PE1,0.0283318333020503,1.0,23.0,3.607142857142857,2.1214285714285714,0.0512742006670185,0.12577988634943285,0.21169513421184513,0.02740358653987431,1.0,22.8,3.6714285714285717,2.013571428571429,0.052370671425360484,0.11943242589646985,0.2266211499387948
5,10,CPT-TSN943-DHA-WYNBERG--CPT1-IR1;CPT-TSN943-DHA-WYNBERG--DUR3-PE1;CPT-TSN943-DHA-WYNBERG--ISD1-PE1;CPT-TSN943-DHA-WYNBERG--JNB2-PE1;CPT-TSN943-DHA-WYNBERG--AMS1-IR1-AMS1-PR1;CPT-TSN943-DHA-WYNBERG--MTZ1-IR1;CPT-TSN943-DHA-WYNBERG--BFN-GREY1-TSN173-UNISAB;CPT-TSN943-DHA-WYNBERG--CPT-GREYSLB1-TSN103-CSIR;CPT-TSN943-DHA-WYNBERG--CPT-GREYSS1-TSN495-UCTVH;CPT1-IR1-CPT1-PR1--CPT3-PE1,0.02838864462463128,1.0,21.0,3.607142857142857,2.1857142857142855,0.050181810316103775,0.13036789488649994,0.20177545064709904,0.027567762887333803,1.0,22.5,3.660714285714286,2.042261904761905,0.05200586124048437,0.12125500406147488,0.22248020005684555
6,10,CPT1-IR1-CPT1-RR1--CPT3-PE1;CPT1-IR1-CPT1-RR1--DUR3-PE1;CPT1-IR1-CPT1-RR1--ISD1-PE1;CPT1-IR1-CPT1-RR1--JNB2-PE1;CPT1-IR1-CPT1-RR1--AMS1-IR1-AMS1-PR1;CPT1-IR1-CPT1-RR1--MTZ1-IR1;CPT1-IR1-CPT1-RR1--BFN-GREY1-TSN173-UNISAB;CPT1-IR1-CPT1-RR1--CPT-GREYSLB1-TSN103-CSIR;CPT1-IR1-CPT1-RR1--CPT-GREYSS1-TSN495-UCTVH;CPT1-IR1-CPT1-RR1--CPT-TSN943-DHA-WYNBERG,0.028436479693650044,1.0,21.0,3.607142857142857,2.2535714285714286,0.04890602801747361,0.1348489069808931,0.19139847187720643,0.027691865288236122,1.0,22.285714285714285,3.653061224489796,2.0724489795918366,0.051563027922911404,0.12319699019282034,0.21803995317403996
7,10,CPT1-LG1--CPT3-PE1;CPT1-LG1--DUR3-PE1;CPT1-LG1--ISD1-PE1;CPT1-LG1--JNB2-PE1;CPT1-LG1--AMS1-IR1-AMS1-PR1;CPT1-LG1--MTZ1-IR1;CPT1-LG1--BFN-GREY1-TSN173-UNISAB;CPT1-LG1--CPT-GREYSLB1-TSN103-CSIR;CPT1-LG1--CPT-GREYSS1-TSN495-UCTVH;CPT1-LG1--CPT-TSN943-DHA-WYNBERG,0.02847776577797553,1.0,20.0,3.5,2.3285714285714287,0.047725467836534585,0.13821486900854485,0.1984623875899129,0.02779010284945355,1.0,22.0,3.6339285714285716,2.1044642857142857,0.051083332912114296,0.1250742250447859,0.21559275747602408
8,10,CPT3-PE1-CPT3-PR1--CPT1-IR1;CPT3-PE1-CPT3-PR1--DUR3-PE1;CPT3-PE1-CPT3-PR1--ISD1-PE1;CPT3-PE1-CPT3-PR1--JNB2-PE1;CPT3-PE1-CPT3-PR1--AMS1-IR1-AMS1-PR1;CPT3-PE1-CPT3-PR1--MTZ1-IR1;CPT3-PE1-CPT3-PR1--BFN-GREY1-TSN173-UNISAB;CPT3-PE1-CPT3-PR1--CPT-GREYSLB1-TSN103-CSIR;CPT3-PE1-CPT3-PR1--CPT-GREYSS1-TSN495-UCTVH;CPT3-PE1-CPT3-PR1--CPT-TSN943-DHA-WYNBERG,0.028514462258539614,1.0,20.0,3.3214285714285716,2.4107142857142856,0.046632620274353935,0.14119181010839962,0.20475631622625162,0.02787058722824089,1.0,21.77777777777778,3.5992063492063497,2.1384920634920634,0.05058880928569648,0.12686506782963186,0.21438870844827157
9,10,CPT3-PE1-CPT3-PR2--CPT1-IR1;CPT3-PE1-CPT3-PR2--DUR3-PE1;CPT3-PE1-CPT3-PR2--ISD1-PE1;CPT3-PE1-CPT3-PR2--JNB2-PE1;CPT3-PE1-CPT3-PR2--AMS1-IR1-AMS1-PR1;CPT3-PE1-CPT3-PR2--MTZ1-IR1;CPT3-PE1-CPT3-PR2--BFN-GREY1-TSN173-UNISAB;CPT3-PE1-CPT3-PR2--CPT-GREYSLB1-TSN103-CSIR;CPT3-PE1-CPT3-PR2--CPT-GREYSS1-TSN495-UCTVH;CPT3-PE1-CPT3-PR2--CPT-TSN943-DHA-WYNBERG,0.02854681531816267,1.0,19.0,3.607142857142857,2.4464285714285716,0.04562018124154565,0.14383779518453751,0.21038962466665748,0.02793821003723307,1.0,21.5,3.6,2.1692857142857145,0.0500919464812814,0.12856234056512245,0.21398880007011015
10,10,CPT9-PE2--CPT3-PE1;CPT9-PE2--CPT1-IR1;CPT9-PE2--DUR3-PE1;CPT9-PE2--ISD1-PE1;CPT9-PE2--JNB2-PE1;CPT9-PE2--AMS1-IR1-AMS1-PR1;CPT9-PE2--MTZ1-IR1;CPT9-PE2--BFN-GREY1-TSN173-UNISAB;CPT9-PE2--CPT-GREYSLB1-TSN103-CSIR;CPT9-PE2--CPT-GREYSS1-TSN495-UCTVH,0.02857691372981499,1.0,19.0,3.5,2.482142857142857,0.04559632127490938,0.14491035698401253,0.20807642752602862,0.02799627400928597,1.0,21.272727272727273,3.590909090909091,2.1977272727272728,0.04968325328070212,0.1300485238759306,0.21345131165701184
