step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.387319351243301,1.0,8.0,2.0,1.3529411764705883,0.21922235073527352,0.4472135954999578,0.44721359549995787,0.387319351243301,1.0,8.0,2.0,1.3529411764705883,0.21922235073527352,0.4472135954999578,0.44721359549995787
1,1,ELSIS--POTCH,0.4695366610162582,1.0,7.0,2.5,1.4705882352941178,0.21492097484838416,0.4409585518440986,0.5039526306789696,0.4284280061297796,1.0,7.5,2.25,1.411764705882353,0.21707166279182882,0.44408607367202824,0.4755831130894637
2,1,BFN-GREY1-TSN246-UFSPSY--CAPE,0.48493185957177193,1.0,6.0,3.5,1.588235294117647,0.21055015023575446,0.4880935300919765,0.5423261445466404,0.4472626239437771,1.0,7.0,2.6666666666666665,1.4705882352941178,0.2148978252731374,0.45875522581201095,0.49783079024185595
3,1,BFN-GREY1-TSN245-UFSPELH--ISANDO,0.5756701589969346,1.0,5.0,3.5,1.6470588235294117,0.21176470588235294,0.4500000000000003,0.5000000000000003,0.47936450770706646,1.0,6.5,2.875,1.5147058823529411,0.21411454542544128,0.4565664193590083,0.49837309268139207
4,1,BFN-GREY1-TSN173-UNISAB--CAPE2,0.6153323457935772,1.0,4.0,4.5,1.7647058823529411,0.20961666032347015,0.48997894350611154,0.5345224838248487,0.5065580753243686,1.0,6.0,3.2,1.5647058823529412,0.21321496840504706,0.4632489241884289,0.5056029709100833
5,1,ELS--WITS,0.7043490046271156,1.0,3.0,5.0,1.8823529411764706,0.20856594363009842,0.4834937784152282,0.5640760748177658,0.5395232302081597,1.0,5.5,3.5,1.6176470588235292,0.21244013094255562,0.46662306655956215,0.5153484882280305
6,1,KIM-TSN760-SPUC--BFN-GREY1-TSN245-UFSPELH,0.7503111022260801,1.0,3.0,5.5,1.9411764705882353,0.20664381976082935,0.4858328102887586,0.5979480742015485,0.5696357833535769,1.0,5.142857142857143,3.7857142857142856,1.6638655462184873,0.2116120864880233,0.4693673156637331,0.5271484290813901
7,1,WITS--CAPE2,0.8282624544559438,1.0,2.0,5.5,1.9411764705882353,0.20966032591301229,0.47280542884465,0.5819143739626462,0.6019641172413728,1.0,4.75,4.0,1.6985294117647058,0.21136811641614692,0.46979707981134766,0.5339941721915472
8,1,BFN-GREY1-TSN245-UFSPELH--WEL1,0.8605677157761886,1.0,1.0,6.0,2.0,0.20716967056992353,0.4740998230350184,0.6095569153307377,0.630697850411908,1.0,4.333333333333333,4.222222222222222,1.7320261437908497,0.2109016224332332,0.47027516239175554,0.5423900325403461
9,1,ELSIS--BFN-GREY1-TSN246-UFSPSY,0.8655272105129546,1.0,1.0,5.333333333333333,2.0,0.21036690376915404,0.4635863249727653,0.5960395606792696,0.6541807864220126,1.0,4.0,4.333333333333334,1.7588235294117645,0.2108481505668253,0.46960627864985655,0.5477549853542385
10,1,BFN-GREY1-TSN245-UFSPELH--WITS,0.9526651909752037,1.0,1.0,6.5,2.0,0.21002527018557035,0.47818253479750333,0.573819041757004,0.6813157322904845,1.0,3.727272727272727,4.53030303030303,1.780748663101604,0.21077334325943847,0.47038593829964265,0.5501244450272171
