step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.387319351243301,1.0,8.0,2.0,1.3529411764705883,0.21922235073527352,0.4472135954999578,0.44721359549995787,0.387319351243301,1.0,8.0,2.0,1.3529411764705883,0.21922235073527352,0.4472135954999578,0.44721359549995787
1,1,BFN-GREY1-TSN173-UNISAB--BFN2,0.40383240453785935,1.0,7.0,3.0,1.411764705882353,0.20917667976501966,0.5080005080007619,0.508000508000762,0.3955758778905802,1.0,7.5,2.5,1.3823529411764706,0.21419951525014658,0.4776070517503599,0.47760705175035995
2,1,BFN-GREY1-TSN246-UFSPSY--BFN1,0.4046442770923826,1.0,6.0,4.0,1.4705882352941178,0.20015835645178834,0.5488212999484516,0.548821299948452,0.39859867762451434,1.0,7.0,3.0,1.411764705882353,0.20951912898402716,0.5013451344830572,0.5013451344830573
3,1,CAPE--BFN2,0.40866633354206516,1.0,5.0,5.0,1.5294117647058822,0.1924500897298753,0.5773502691896257,0.577350269189626,0.40111559160390203,1.0,6.5,3.5,1.4411764705882353,0.2052518691704892,0.5203464181596993,0.5203464181596995
4,1,CAPE2--BFN1,0.5192185761187634,1.0,4.0,5.5,1.588235294117647,0.19162755020028288,0.5722930891116556,0.6163156344279367,0.42473618850687433,1.0,6.0,3.9,1.4705882352941178,0.20252700537644794,0.5307357523500905,0.5395402614133469
5,1,ELS--BFN2,0.5192339796463349,1.0,3.0,6.5,1.6470588235294117,0.1860163329510811,0.5929270612815711,0.6324555320336761,0.440485820363451,1.0,5.5,4.333333333333333,1.5,0.1997752266388868,0.5411009705053372,0.5550261398500684
6,1,ELSIS--BFN1,0.5992372207500188,1.0,2.0,7.0,1.7058823529411764,0.18496890727921544,0.5850179393017045,0.6581451817144177,0.4631645918472465,1.0,5.0,4.714285714285714,1.5294117647058822,0.19766003815893374,0.5473748231905325,0.5697574315449755
7,1,ISANDO--BFN1,0.6274949411608208,1.0,3.0,7.5,1.7647058823529411,0.1832654778118555,0.5756926422568069,0.6772854614785965,0.4837058855114433,1.0,4.75,5.0625,1.5588235294117647,0.19586071811554898,0.5509145505738169,0.5831984352866781
8,1,KIM-TSN760-SPUC--BFN2,0.6400836919563725,1.0,2.0,8.5,1.8235294117647058,0.1797962365649322,0.5925937184742149,0.6861611477069858,0.5010811973386576,1.0,4.444444444444445,5.444444444444445,1.588235294117647,0.194075775721036,0.5555455692294167,0.5946387366667123
9,1,POTCH--BFN2,0.6490717725373891,1.0,1.0,9.5,1.8823529411764706,0.17660125881094432,0.6062177826491069,0.6928203230275513,0.5158802548585307,1.0,4.1,5.85,1.6176470588235294,0.1923283240300268,0.5606127905713857,0.6044568953027962
10,1,WEL1--BFN2,0.6556326100645432,1.0,1.0,10.5,1.9411764705882353,0.1736796881778002,0.617352346159272,0.697876565223525,0.5285850144227138,1.0,3.8181818181818183,6.2727272727272725,1.6470588235294117,0.19063299349800625,0.5657709319884663,0.612949592568317
