step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.387319351243301,1.0,8.0,2.0,1.3529411764705883,0.21922235073527352,0.4472135954999578,0.44721359549995787,0.387319351243301,1.0,8.0,2.0,1.3529411764705883,0.21922235073527352,0.4472135954999578,0.44721359549995787
1,1,ISANDO--BFN-GREY1-TSN173-UNISAB,0.46953666101625846,1.0,7.0,2.5,1.4705882352941178,0.21492097484838413,0.4409585518440986,0.5039526306789697,0.4284280061297797,1.0,7.5,2.25,1.411764705882353,0.21707166279182882,0.44408607367202824,0.47558311308946377
2,1,POTCH--BFN-GREY1-TSN244-UFSNATH,0.4891334154689114,1.0,6.0,3.0,1.5294117647058822,0.21045345670586257,0.4472135954999582,0.5590169943749477,0.44866314257615697,1.0,7.0,2.5,1.450980392156863,0.21486559409650674,0.44512858094800484,0.5033944068512918
3,1,CAPE2--ELSIS,0.4891334154689112,1.0,5.0,4.0,1.6470588235294117,0.2096783032185898,0.4950737714883372,0.4950737714883372,0.4587807107993455,1.0,6.5,2.875,1.5,0.2135687713770275,0.45761487858308797,0.5013142480105531
4,1,CAPE2--CAPE,0.5407851378556925,1.0,4.0,4.5,1.7058823529411764,0.20855614973262024,0.5000000000000002,0.5454545454545462,0.4751815962106149,1.0,6.0,3.2,1.5411764705882354,0.21256624704814606,0.4660919028664704,0.5101423074993517
5,1,BFN-GREY1-TSN242-UFSSC--BFN3,0.5512881911144095,1.0,4.0,5.0,1.7058823529411764,0.20605096450816004,0.5126145946300567,0.5126145946300567,0.4878660286945807,1.0,5.666666666666667,3.5,1.5686274509803921,0.21148036662481506,0.47384568482706807,0.5105543553544692
6,1,KIM-TSN760-SPUC--BFN-GREY1-TSN245-UFSPELH,0.5665820465739547,1.0,4.0,5.5,1.7647058823529411,0.20590894413960073,0.5171122347142246,0.5568900989230112,0.4991111741059199,1.0,5.428571428571429,3.7857142857142856,1.5966386554621848,0.2106844491269273,0.48002662052523337,0.5171737472928324
7,1,ISANDO--POTCH,0.5769983649751068,1.0,3.0,5.5,1.7647058823529411,0.20876335583106553,0.5014858873767988,0.5400617248673218,0.5088470729645682,1.0,5.125,4.0,1.6176470588235294,0.21044431246494458,0.482709028881679,0.5200347444896436
8,1,BFN-GREY1-TSN242-UFSSC--WEL1,0.5807394173829996,1.0,2.0,6.0,1.8235294117647058,0.20747630462756494,0.5038710255240864,0.5758526005989549,0.5168351112332829,1.0,4.777777777777778,4.222222222222222,1.6405228758169934,0.21011453381634684,0.48506036184194656,0.5262367285017893
9,1,BFN-GREY1-TSN246-UFSPSY--ELS,0.6835126469984557,1.0,1.0,6.5,1.9411764705882353,0.20877308882157952,0.5022371476368188,0.6026845771641824,0.5335028648098001,1.0,4.4,4.45,1.6705882352941177,0.20998038931687008,0.48677804042143374,0.5338815133680286
10,1,POTCH--ELSIS,0.7001036642270453,1.0,2.0,6.5,1.9411764705882353,0.21104731775258426,0.4892460547900816,0.5870952657480978,0.5486483920295497,1.0,4.181818181818182,4.636363636363637,1.6951871657754012,0.21007738281102595,0.48700240536403805,0.5387191272207622
