step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.07630552919285967,1.0,12.0,5.285714285714286,1.7681159420289856,0.09833961421559784,0.2632796259978648,0.41885394821005434,0.07630552919285967,1.0,12.0,5.285714285714286,1.7681159420289856,0.09833961421559784,0.2632796259978648,0.41885394821005434
1,1,AMLIGHT--CPT1,0.07721119729143201,1.0,11.0,5.571428571428571,1.7826086956521738,0.09658387744433083,0.26541753897322684,0.4442857909770247,0.07675836324214584,1.0,11.5,5.428571428571429,1.7753623188405796,0.09746174582996434,0.2643485824855458,0.4315698695935395
2,1,BAAI--CPT1,0.07783061175381442,1.0,10.0,5.857142857142857,1.7971014492753623,0.09477378721428001,0.2669139643380101,0.4670994300715493,0.07711577941270203,1.0,11.0,5.571428571428572,1.7826086956521738,0.09656575962473624,0.2652037097697006,0.4434130564195428
3,1,BLOEM--CPT3,0.07836770036490556,1.0,9.0,6.142857142857143,1.8115942028985508,0.09294205104234034,0.2678780956225035,0.48753814108677623,0.07742875965075291,1.0,10.5,5.714285714285714,1.789855072463768,0.09565983247913726,0.2658723062329013,0.4544443275863511
4,1,BLOEM2--CPT1,0.07869517315741462,1.0,8.0,6.428571428571429,1.826086956521739,0.09111414542537286,0.26840524679658656,0.5058405856828598,0.07768204235208526,1.0,10.0,5.857142857142857,1.7971014492753625,0.09475069506838438,0.26637889434563833,0.4647235792056529
5,1,CPT-GREYSLB1-TSN103-CSIR--CPT3,0.07920301501620627,1.0,7.0,6.571428571428571,1.8405797101449275,0.09041204560415626,0.26685779479829075,0.5286806092584057,0.07793553779610542,1.0,9.5,5.976190476190475,1.8043478260869563,0.09402758682434635,0.2664587110877471,0.47538308421444503
6,1,CPT-GREYSLB1-TSN292-ARCINFR--CPT3,0.07942868921948004,1.0,8.0,6.857142857142857,1.855072463768116,0.08958298401452174,0.2698153812296762,0.5494423569541459,0.0781488451423018,1.0,9.285714285714286,6.1020408163265305,1.8115942028985508,0.09339264356579999,0.26693823539373696,0.48596298032011653
7,1,CPT-GREYSS1-TSN495-UCTVH--CPT3,0.0907086079309379,1.0,8.0,7.0,1.8695652173913044,0.08895106964287615,0.2683113859597833,0.5701616513368025,0.0797188154908813,1.0,9.125,6.214285714285714,1.818840579710145,0.0928374468254345,0.26710987921449275,0.49648781419720234
8,1,CPT-GREYSS1-TSN500-CPUTSPR--CPT3,0.09798083691054336,1.0,8.0,7.142857142857143,1.8840579710144927,0.08829902711363245,0.26672816633092217,0.5896095486941644,0.08174792898195488,1.0,9.0,6.317460317460317,1.8260869565217392,0.0923331779685676,0.2670674666718738,0.5068346735857536
9,1,CPT-TSN943-DHA-WYNBERG--CPT1,0.09887972208193395,1.0,7.0,7.428571428571429,1.8985507246376812,0.08666225423789325,0.26666820611890085,0.6011333607876342,0.08346110829195277,1.0,8.8,6.428571428571429,1.8333333333333333,0.09176608559550017,0.2670275406165765,0.5162645423059418
10,1,DUR--CPT1,0.09962015711921833,1.0,6.0,7.714285714285714,1.9130434782608696,0.0850668316699628,0.26640349367003807,0.6114178162294432,0.08493011273079511,1.0,8.545454545454545,6.545454545454546,1.8405797101449275,0.09115706251136041,0.26697080907598214,0.5249148399353509
