step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.07630552919285967,1.0,12.0,5.285714285714286,1.7681159420289856,0.09833961421559784,0.2632796259978648,0.41885394821005434,0.07630552919285967,1.0,12.0,5.285714285714286,1.7681159420289856,0.09833961421559784,0.2632796259978648,0.41885394821005434
1,1,ISANDO--BAAI,0.0763055291928608,1.0,11.0,5.571428571428571,1.7971014492753623,0.09661914600031402,0.2639149826678425,0.4819316380807195,0.07630552919286024,1.0,11.5,5.428571428571429,1.7826086956521738,0.09747938010795593,0.26359730433285367,0.45039279314538694
2,1,CPT-GREYSS1-TSN169-UCTRHR--BLOEM,0.09350978616607354,1.0,10.0,5.714285714285714,1.8115942028985508,0.09629093837499005,0.263965821621352,0.4717691792774374,0.08204028151726467,1.0,11.0,5.523809523809523,1.7922705314009661,0.09708323286363396,0.2637201434290198,0.4575182551894037
3,1,CPT-GREYSS1-TSN463-DFA-PLN--CPT-GREYSS2-TSN165-UCTLGR,0.09400991780694852,1.0,10.0,5.714285714285714,1.8115942028985508,0.09653933741855372,0.26155144123120344,0.4674536583181296,0.08503269058968563,1.0,10.75,5.571428571428571,1.7971014492753623,0.09694725900236391,0.2631779678795657,0.4600021059715852
4,1,CPT-GREYSLB1-TSN235-ILABS-FAURE--CPT-GREYCBD1-TSN4-CPUTCPT,0.1141252743917254,1.0,10.0,5.714285714285714,1.8115942028985508,0.0967911758310957,0.2592021313569835,0.4632548327233752,0.09085120735009358,1.0,10.6,5.6,1.8,0.09691604236811027,0.26238280057504926,0.4606526513219432
5,1,CPT-GREYSS1-TSN768-UCTCAN--CPT-GREYSS1-TSN169-UCTRHR,0.11547801506613985,1.0,9.0,5.714285714285714,1.8115942028985508,0.09704621685141945,0.2569150070139797,0.45916723706745005,0.09495567530276795,1.0,10.333333333333334,5.6190476190476195,1.8019323671497585,0.09693773811532846,0.2614715016482043,0.46040508227952764
6,1,CPT7--CPT-GREYSS2-TSN168-UCTRCCH,0.11549212242936611,1.0,10.0,5.714285714285714,1.8115942028985508,0.09730424179745326,0.2546873843441093,0.4551859290539572,0.09788945346371056,1.0,10.285714285714286,5.63265306122449,1.803312629399586,0.09699009578420344,0.2605023420333336,0.4596594889615891
7,1,CPT-GREYSS2-TSN800-UWC-CASAS--AMLIGHT,0.11579399736849577,1.0,9.0,5.857142857142857,1.826086956521739,0.09668469274375259,0.25414263161348116,0.4818120539091005,0.10012752145180871,1.0,10.125,5.660714285714286,1.806159420289855,0.09695192040414707,0.25970737823085205,0.462428559580028
8,1,CPT-GREYCBD1-TSN490-CPGR--CPT-GREYCBD1-TSN276-CPUTOPT,0.11585384050078097,1.0,10.0,5.857142857142857,1.826086956521739,0.0970943850362486,0.25241492259000736,0.4785366070750367,0.10187489023502785,1.0,10.11111111111111,5.682539682539682,1.8083735909822864,0.09696774980771392,0.25889710538186933,0.464218342635029
9,1,CPT-GREYCBD1-TSN641-SAEON--CPT-GREYBEL1-TSN487-MRCN,0.1230721993197043,1.0,10.0,5.857142857142857,1.826086956521739,0.09750298963678047,0.25072197770168114,0.47532707137301755,0.10399462114349549,1.0,10.1,5.7,1.810144927536232,0.09702127379062056,0.2580795926138505,0.4653292155088278
10,1,CPT-GREYCBD1-TSN163-UCT-HID--CPT-GREYCBD1-TSN650-NLSA-CFB,0.1234323169416987,1.0,9.0,5.857142857142857,1.826086956521739,0.09778158138005014,0.2487347171783195,0.47155955708904795,0.1057616843978776,1.0,10.0,5.714285714285714,1.8115942028985508,0.09709039266238689,0.2572300584833477,0.4658956101979387
