step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.2159093314955836,1.0,5.0,5.666666666666667,1.7777777777777777,0.15908884285709982,0.44743736816833635,0.4698092519145018,0.2159093314955836,1.0,5.0,5.666666666666667,1.7777777777777777,0.15908884285709982,0.44743736816833635,0.4698092519145018
1,1,DBN-GREY1-TSN497-CAPRISA-DDMRI--DBN-GREY1-TSN132-MRC,0.317154416391886,1.0,6.0,5.666666666666667,1.7777777777777777,0.1604856444964591,0.4376880964330156,0.45957246652014144,0.2665318739437348,1.0,5.5,5.666666666666667,1.7777777777777777,0.15978724367677946,0.442562732300676,0.4646908592173216
2,1,DBN-GREY1-TSN498-CAPRISA-ECRS--CAPE2,0.4146862691015101,1.0,5.0,6.0,1.8148148148148149,0.16003505910208146,0.4383571489658184,0.5009795760935158,0.31591667232965986,1.0,5.333333333333333,5.777777777777779,1.7901234567901234,0.1598698488185468,0.4411608711890567,0.4767870981760531
3,1,DBN-GREY1-TSN11-DUTS--DBN-GREY1-TSN13-CAO,0.4701312450400361,1.0,4.0,6.0,1.8148148148148149,0.1615368659395486,0.43000656144449306,0.4914359980472505,0.35447031550725394,1.0,5.0,5.833333333333334,1.7962962962962963,0.16028660309879725,0.43837229375291586,0.4804493231438524
4,1,DBN-GREY1-TSN497-CAPRISA-DDMRI--ISANDO,0.5562577811050758,1.0,3.0,6.333333333333333,1.8518518518518519,0.16038971681128114,0.4291508991620378,0.5266851132097167,0.3948278086268183,1.0,4.6,5.933333333333334,1.8074074074074074,0.16030722584129403,0.43652801483474024,0.48969648115702524
5,1,DBN-GREY1-TSN151-DUTC--DBN-GREY1-TSN11-DUTS,0.5864794163945535,1.0,4.0,6.333333333333333,1.8518518518518519,0.16144070087558196,0.4205955118416132,0.5161853816596194,0.4267697432547742,1.0,4.5,6.0,1.8148148148148149,0.16049613834700868,0.43387259766921904,0.49411129790745756
6,1,ELS--DBN-TSN935-DHA-UMGENI,0.6224939951159097,1.0,3.0,7.0,1.9259259259259258,0.16021869243515138,0.43259045614621616,0.5407380248552198,0.4547303506635078,1.0,4.285714285714286,6.142857142857143,1.8306878306878307,0.16045650321674335,0.4336894345945043,0.5007722588999951
7,1,PHU--DBN-GREY1-TSN232-NMMS,0.668570987297573,1.0,2.0,7.333333333333333,1.962962962962963,0.15959797205086665,0.4326451261630531,0.5710915902372329,0.48146043024276597,1.0,4.0,6.291666666666667,1.8472222222222223,0.16034918682100877,0.43355889604057296,0.5095621753171498
8,1,DBN-GREY1-TSN176-UNISAM--UTT,0.692442864706187,1.0,2.0,7.666666666666667,2.0,0.1588626130019366,0.4322539624664124,0.5985054851176547,0.5049029229609239,1.0,3.7777777777777777,6.444444444444445,1.8641975308641976,0.16018401195222298,0.4334139034212218,0.5194447652949836
9,1,DBN-GREY1-TSN132-MRC--DBN-TSN935-DHA-UMGENI,0.7317679348736253,1.0,2.0,7.666666666666667,2.0,0.16018385930297832,0.425943395237845,0.5897677989371793,0.527589424152194,1.0,3.6,6.566666666666667,1.8777777777777778,0.1601839966872985,0.4326668526028842,0.5264770686592033
10,1,DBN-GREY1-TSN97-CSIR--DBN-GREY1-TSN150-DUTB,0.7927874907281213,1.0,2.0,7.666666666666667,2.0,0.16188097303958948,0.4208905747017444,0.5827714635952191,0.5516983392954601,1.0,3.4545454545454546,6.666666666666666,1.888888888888889,0.1603382672647795,0.4315962818845987,0.5315947409261138
