step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS
0,0,,0.2159093314955836,1.0,5.0,5.666666666666667,0.2159093314955836,1.0,5.0,5.666666666666667
1,1,CAPE2--DUR1,0.2183443732107187,1.0,4.0,6.333333333333333,0.21712685235315116,1.0,4.5,6.0
2,1,DBN-TSN935-DHA-UMGENI--DUR3,0.21856978033756297,1.0,3.0,7.0,0.21760782834795508,1.0,4.0,6.333333333333333
3,1,ELS--DUR1,0.21987009787091608,1.0,2.0,7.666666666666667,0.21817339572869535,1.0,3.5,6.666666666666667
4,1,ISANDO--DUR1,0.22080937300868064,1.0,1.0,8.333333333333334,0.21870059118469237,1.0,3.0,7.0
5,1,PHU--DUR1,0.22151845126956862,1.0,0.0,9.0,0.21917023453217177,1.0,2.5,7.333333333333333
6,1,UTT--DUR1,0.22207217850585778,1.0,1.0,9.666666666666666,0.21958479795698405,1.0,2.2857142857142856,7.666666666666666
7,1,CAPE2--DUR2,0.2240132634010361,1.0,1.0,1.4,0.22013835613749055,1.0,2.125,6.883333333333333
8,1,DBN-GREY1-TSN11-DUTS--DUR3,0.2261975906671971,1.0,1.0,1.4,0.22081160441856906,1.0,2.0,6.274074074074075
9,1,DBN-GREY1-TSN13-CAO--DUR3,0.22655796687832055,1.0,1.0,1.6666666666666667,0.2213862406645442,1.0,1.9,5.8133333333333335
10,1,DBN-GREY1-TSN132-MRC--DUR3,0.2303428839399268,1.0,0.0,2.0,0.22220048096230627,1.0,1.7272727272727273,5.466666666666667
