step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.2159093314955836,1.0,5.0,5.666666666666667,1.7777777777777777,0.15908884285709982,0.44743736816833635,0.4698092519145018,0.2159093314955836,1.0,5.0,5.666666666666667,1.7777777777777777,0.15908884285709982,0.44743736816833635,0.4698092519145018
1,1,DBN-GREY1-TSN232-NMMS--DBN-GREY1-TSN366-UKZNE-PE,0.28447068534416403,1.0,5.0,5.666666666666667,1.7777777777777777,0.15979833354923903,0.43581361900633664,0.45760434209722173,0.2501900084198738,1.0,5.0,5.666666666666667,1.7777777777777777,0.15944358820316942,0.4416254935873365,0.46370679700586176
2,1,DUR3--DBN-GREY1-TSN97-CSIR,0.3081968960420061,1.0,5.0,6.0,1.7777777777777777,0.15802590602212976,0.4392190613913911,0.5019646431155972,0.26952563762725124,1.0,5.0,5.777777777777779,1.7777777777777777,0.1589710274761562,0.44082334952202135,0.47645941237577355
3,1,DBN-GREY1-TSN132-MRC--MTZ,0.31985666492180204,1.0,5.0,6.0,1.7777777777777777,0.1595630419106811,0.4308202251095879,0.4923659658903611,0.282108394450889,1.0,5.0,5.833333333333334,1.7777777777777777,0.15911903108478742,0.438322568418913,0.4804360507544204
4,1,ELS--DBN-GREY1-TSN366-UKZNE-PE,0.327446423129553,1.0,4.0,6.333333333333333,1.8148148148148149,0.15795205516133026,0.42841791426678427,0.5257856228246595,0.29117600018662176,1.0,4.8,5.933333333333334,1.7851851851851852,0.158885635900096,0.43634163758848726,0.4895059651684683
5,1,DBN-TSN935-DHA-UMGENI--DUR-TSN19-MUT,0.32748686578945263,1.0,4.0,6.666666666666667,1.8518518518518519,0.15884920184779164,0.4326550506303737,0.5078990851598578,0.2972278111204269,1.0,4.666666666666667,6.055555555555556,1.796296296296296,0.15887956355804525,0.43572720642880164,0.49257148516703314
6,1,DBN-TSN935-DHA-UMGENI--DBN-GREY1-TSN97-CSIR,0.33019303953271767,1.0,3.0,2.6666666666666665,2.074074074074074,0.17894118335579925,0.3220941300404389,0.371647073123583,0.30193712946503987,1.0,4.428571428571429,5.571428571428571,1.8359788359788358,0.1617455092434387,0.41949390980189266,0.475296569160826
7,1,DUR1--CAPE2,0.33275026343367753,1.0,2.0,2.6666666666666665,2.111111111111111,0.1802068353004298,0.3194575716689439,0.3686048903872433,0.3057887712111196,1.0,4.125,5.208333333333333,1.8703703703703702,0.16405317500056257,0.4069893675352741,0.4619601093141282
8,1,DBN-GREY1-TSN13-CAO--ISANDO,0.3349810872091651,1.0,3.0,2.6666666666666665,2.1481481481481484,0.18175841807821558,0.3127313958110472,0.3608439182435153,0.3090323618775691,1.0,4.0,4.9259259259259265,1.9012345679012346,0.16602042423141292,0.3965162595659156,0.450724976972949
9,1,DBN-GREY1-TSN232-NMMS--DUR1,0.35360032450371703,1.0,2.0,2.6666666666666665,2.1481481481481484,0.1811585301687969,0.3071818555036125,0.35444060250416876,0.31348915814018385,1.0,3.8,4.7,1.925925925925926,0.1675342348251513,0.38758281915968523,0.441096539526071
10,1,DBN-GREY1-TSN132-MRC--PZB,0.3543719218279417,1.0,3.0,2.75,2.1481481481481484,0.18103116943825007,0.2983189693559895,0.344214195410757,0.3172057730208891,1.0,3.727272727272727,4.5227272727272725,1.9461279461279462,0.16876122888088754,0.3794679237229856,0.43228905369740606
