step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.5340408632573866,1.0,5.0,3.0,1.5,0.22887931979452888,0.47471266327754147,0.4747126632775415,0.5340408632573866,1.0,5.0,3.0,1.5,0.22887931979452888,0.47471266327754147,0.4747126632775415
1,1,BAAIIS--UTE-TSN12-WSU-B-PE,0.6188544868978819,1.0,4.0,4.0,1.6428571428571428,0.22718092081885558,0.5129891760425769,0.512989176042577,0.5764476750776343,1.0,4.5,3.5,1.5714285714285714,0.22803012030669223,0.4938509196600592,0.49385091966005923
2,1,UTT--BLOEM,0.6889771748541839,1.0,3.0,4.5,1.7857142857142858,0.22727272727272735,0.5000000000000004,0.5454545454545452,0.6139575083364841,1.0,4.0,3.8333333333333335,1.642857142857143,0.22777765596203725,0.49590061310670625,0.5110521282582212
3,1,BLOEM2--BIY-TSN65-UFH-BHISHO-PE,0.8034457434557929,1.0,2.0,5.5,1.9285714285714286,0.226698213514823,0.5289624982012537,0.5696519211398112,0.6613295671163113,1.0,3.5,4.25,1.7142857142857144,0.2275077953502337,0.5041660843803432,0.5257020764786188
4,1,ELS-GREY1-TSN177-UNISAE--PTD-TSN216-WSU-PTD-PE,0.8235999874430557,1.0,2.0,6.0,2.0,0.22742941307367096,0.5306686305052322,0.6064784348631233,0.6937836511816602,1.0,3.2,4.6,1.7714285714285716,0.22749211889492113,0.5094665936053209,0.5418573481555196
5,1,UTT--BAAIIS,0.9409663579916903,1.0,2.0,6.0,2.0,0.231694502529124,0.5160468465421401,0.5897678246195891,0.7349807689833319,1.0,3.0,4.833333333333333,1.8095238095238095,0.2281925161672883,0.5105633024281241,0.5498424275661978
6,1,ELS-GREY1-TSN177-UNISAE--BLOEM2,0.9799884985323973,1.0,1.0,6.0,2.0,0.23469387755102036,0.4999999999999999,0.5714285714285712,0.769981873204627,1.0,2.7142857142857144,5.0,1.836734693877551,0.22912128207925003,0.5090542592241064,0.5529261624036798
7,1,BLOEM--ELS-GREY1-TSN108-WSU-CHS,1.1385349985711488,1.0,0.0,6.0,2.0,0.238879890614269,0.4877131100041317,0.5573864114332939,0.8160510138754422,1.0,2.375,5.125,1.8571428571428572,0.2303411081461274,0.5063866155716096,0.5534836935323816
8,1,UTE-TSN12-WSU-B-PE--BIY-TSN65-UFH-BHISHO-PE,1.4078767990066061,1.0,0.0,3.0,2.7857142857142856,0.25661321114871394,0.40824829046386296,0.40824829046386313,0.8818094344455715,1.0,2.111111111111111,4.888888888888889,1.9603174603174602,0.23326023070197033,0.4954823572263043,0.5373464265247684
9,1,BAAIIS--PTD-TSN216-WSU-PTD-PE,1.5070009573433845,1.0,0.0,3.5,2.857142857142857,0.25555062599997597,0.40994579587496144,0.4472135954999575,0.9443285867353527,1.0,1.9,4.75,2.05,0.23548927023177088,0.4869287010911701,0.5283331434222873
10,1,BIY-TSN65-UFH-BHISHO-PE--BLOEM,1.6074945821390718,1.0,0.0,3.5,2.857142857142857,0.25641362807776363,0.394876987239756,0.43077489517064294,1.004616404499327,1.0,1.7272727272727273,4.636363636363637,2.1233766233766236,0.2373914845814066,0.4785603634683142,0.5194642117630469
