step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.5340408632573866,1.0,5.0,3.0,1.5,0.22887931979452888,0.47471266327754147,0.4747126632775415,0.5340408632573866,1.0,5.0,3.0,1.5,0.22887931979452888,0.47471266327754147,0.4747126632775415
1,1,BAAIIS--ELS1,0.5991299448654376,1.0,4.0,4.0,1.5714285714285714,0.22340830077543725,0.5212860351426869,0.5212860351426872,0.5665854040614121,1.0,4.5,3.5,1.5357142857142856,0.22614381028498307,0.4979993492101142,0.49799934921011435
2,1,BIY-TSN65-UFH-BHISHO-PE--ELS3,0.6496763950281842,1.0,3.0,5.0,1.6428571428571428,0.21791793423134004,0.5547001962252291,0.5547001962252293,0.5942824010503361,1.0,4.0,4.0,1.5714285714285714,0.22340185160043538,0.5168996315484858,0.5168996315484861
3,1,BLOEM--ELS3,0.6844893942831829,1.0,2.0,6.0,1.7142857142857142,0.21281294278346602,0.5793241220216575,0.5793241220216575,0.6168341493585479,1.0,3.5,4.5,1.6071428571428572,0.22075462439619303,0.5325057541667788,0.5325057541667789
4,1,BLOEM2--ELS1,0.6844961101752606,1.0,2.0,7.0,1.7857142857142858,0.20821406155232497,0.5979480742015486,0.5979480742015487,0.6303665415218903,1.0,3.2,5.0,1.6428571428571428,0.21824651182741944,0.5455942181737328,0.5455942181737329
5,1,PTD-TSN216-WSU-PTD-PE--ELS3,0.7094928248440822,1.0,1.0,8.0,1.8571428571428572,0.20412414523193162,0.6123724356957945,0.6123724356957946,0.6435542554089223,1.0,2.8333333333333335,5.5,1.6785714285714286,0.2158927840615048,0.5567239210940763,0.5567239210940765
6,1,UTE-TSN12-WSU-B-PE--ELS3,0.7317662276006486,1.0,1.0,9.0,1.9285714285714286,0.20050163407022326,0.6237828615518051,0.6237828615518056,0.6561559657220261,1.0,2.5714285714285716,6.0,1.7142857142857142,0.2136940483484646,0.5663037697308947,0.5663037697308949
7,1,UTT--ELS1,0.9532581690733386,1.0,1.0,9.5,2.0,0.2013326466907555,0.6165812304904386,0.6459422414661737,0.6932937411409401,1.0,2.375,6.4375,1.75,0.21214887314125094,0.5725884523258378,0.5762585786978047
8,1,BAAIIS--ELS2,0.9897842298256894,1.0,1.0,1.0,2.2857142857142856,0.2621894101377849,0.3441236008058426,0.3441236008058426,0.726237128772579,1.0,2.2222222222222223,5.833333333333333,1.8095238095238093,0.21770893280753248,0.547203468823616,0.5504658033764757
9,1,BIY-TSN65-UFH-BHISHO-PE--ELS2,1.0137231003506504,1.0,1.0,2.0,2.357142857142857,0.25460936819400193,0.3960590171906698,0.3960590171906699,0.7549857259303862,1.0,2.1,5.45,1.8642857142857143,0.22139897634617944,0.5320890236603214,0.535025124757895
10,1,BLOEM--ELS2,1.0302171129271418,1.0,1.0,3.0,2.4285714285714284,0.24681955016610288,0.43193421279068017,0.43193421279068017,0.7800067611119094,1.0,2.0,5.2272727272727275,1.9155844155844155,0.2237099376025361,0.5229840408539904,0.5256532236699664
