step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.5340408632573866,1.0,5.0,3.0,1.5,0.22887931979452888,0.47471266327754147,0.4747126632775415,0.5340408632573866,1.0,5.0,3.0,1.5,0.22887931979452888,0.47471266327754147,0.4747126632775415
1,1,DUR--BIY-TSN65-UFH-BHISHO-PE,0.5687332168073139,1.0,4.0,3.5,1.5714285714285714,0.22842933895243972,0.4797016118001235,0.533001790889026,0.5513870400323503,1.0,4.5,3.25,1.5357142857142856,0.2286543293734843,0.4772071375388325,0.5038572270832837
2,1,UTE-TSN12-WSU-B-PE--BLOEM2,0.6453937264113351,1.0,3.0,4.5,1.7142857142857142,0.22745655424126848,0.5151221963699318,0.5619514869490168,0.5827226021586785,1.0,4.0,3.6666666666666665,1.5952380952380951,0.22825507099607903,0.48984549048253223,0.5232219803718614
3,1,BLOEM2--DUR,0.6455784522218936,1.0,3.0,4.5,1.7142857142857142,0.22908106449636376,0.48997894350611154,0.5345224838248489,0.5984365646744823,1.0,3.75,3.875,1.625,0.2284615693711502,0.4898788537384271,0.5260471062351083
4,1,BLOEM--BLOEM2,0.6597210161927357,1.0,2.0,5.0,1.7857142857142858,0.22821460643030408,0.4915391523114243,0.5734623443633283,0.610693454978133,1.0,3.4,4.1,1.657142857142857,0.22841217678298098,0.49021091345302653,0.5355301538607523
5,1,BIY-TSN65-UFH-BHISHO-PE--BAAIIS,0.6656289091964642,1.0,1.0,5.5,1.8571428571428572,0.23145502494313788,0.5014858873767989,0.540061724867322,0.6198493640145215,1.0,3.0,4.333333333333333,1.6904761904761905,0.22891931814300714,0.49209007577365527,0.5362854156951805
6,1,UTE-TSN12-WSU-B-PE--UTT,0.8154180997551104,1.0,1.0,5.5,1.9285714285714286,0.2363189856730096,0.47788950436097505,0.5146502354656658,0.6477877548346056,1.0,2.7142857142857144,4.5,1.7244897959183674,0.22997641350443604,0.49006142271470093,0.5331946756623928
7,1,ELS-GREY1-TSN393-WSU-CAM--UTE-TSN12-WSU-B-PE,0.8171136519813318,1.0,1.0,2.5,2.4285714285714284,0.25201510181171327,0.4178145108983665,0.46423834544262943,0.6689534919779464,1.0,2.5,4.25,1.8125,0.23273124954284571,0.48103055873765915,0.5245751343849223
8,1,ELS1--ELS-GREY1-TSN108-WSU-CHS,0.9388818223028416,1.0,2.0,2.5,2.4285714285714284,0.2532467532467532,0.40909090909090917,0.45454545454545464,0.6989455286807126,1.0,2.4444444444444446,4.055555555555555,1.8809523809523807,0.23501074995439097,0.4730372643324647,0.5167940588472038
9,1,PTD-TSN216-WSU-PTD-PE--UTE-TSN12-WSU-B-PE,1.072519199964996,1.0,1.0,2.5,2.5,0.2565790028953928,0.40411192956024333,0.44901325506693684,0.7363028958091409,1.0,2.3,3.9,1.9428571428571426,0.2371675752484912,0.46614473085524255,0.510015978469177
10,1,ELS-GREY1-TSN393-WSU-CAM--DUR,1.1540515935813913,1.0,0.0,2.3333333333333335,2.5,0.25537695922762466,0.38306543884143673,0.4256282653793739,0.7742800501520727,1.0,2.090909090909091,3.757575757575758,1.9935064935064934,0.23882297379204875,0.4585920679448966,0.5023443681882859
