step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.22359960790215574,1.0,8.0,5.5,1.71875,0.14277150534334104,0.3759047072230257,0.5204834528230112,0.22359960790215574,1.0,8.0,5.5,1.71875,0.14277150534334104,0.3759047072230257,0.5204834528230112
1,1,JNB-GREY1-TSN110-WITSE--UNISA,0.3366087972859117,1.0,7.0,5.75,1.75,0.1441518831139312,0.3797171925144833,0.5062896038014669,0.28010420259403374,1.0,7.5,5.625,1.734375,0.14346169422863614,0.3778109498687545,0.5133865283122391
2,1,JNB-GREY1-TSN112-WITSM--JNB-TSN949-GIBS-NORTH,0.36686521120256227,1.0,7.0,5.75,1.75,0.14538530211586398,0.3738479267972096,0.49846389766050747,0.3090245387968766,1.0,7.333333333333333,5.666666666666667,1.7395833333333333,0.14410289685771208,0.37648994217823956,0.5084123180949952
3,1,JNB-GREY-TSN284-WITS-HJH--DURBS,0.4428347947372973,1.0,6.0,6.0,1.78125,0.14637257985447266,0.37686733482450907,0.4845437035824411,0.34247710278198173,1.0,7.0,5.75,1.75,0.14467031760690222,0.3765842903398069,0.5024451644668567
4,1,JNB-GREY1-TSN112-WITSM--CAPE,0.5437813030424943,1.0,5.0,6.25,1.8125,0.14661170111472954,0.37793238455652944,0.46915742467897104,0.38273794283408424,1.0,6.6,5.85,1.7625,0.14505859430846768,0.3768539091831514,0.4957876165092795
5,1,BLOEM3--JNB-GREY2-TSN99-CSMI,0.5511639769434037,1.0,4.0,6.5,1.84375,0.14697537619608214,0.3792913306687336,0.45514954910737676,0.4108089485189708,1.0,6.166666666666667,5.958333333333333,1.7760416666666667,0.14537805795640343,0.37726014609741515,0.48901460527562907
6,1,BLOEM2--JNB-GREY2-TSN295-CSIR-CTF,0.5767821323925039,1.0,3.0,6.75,1.875,0.14673479343050128,0.3790649064068597,0.4891160327783173,0.43451940335804695,1.0,5.714285714285714,6.071428571428571,1.7901785714285714,0.14557187730984597,0.3775179689987644,0.4890290949188702
7,1,JNB-GREY-TSN285-WITS-RMH--SDT-TSN535-UCT-GSB,0.6280685913393645,1.0,3.0,6.75,1.875,0.14803152597816777,0.3746103850963374,0.4833682557129352,0.45871305185571165,1.0,5.375,6.15625,1.80078125,0.1458793333933862,0.377154521010961,0.48832149001812836
8,1,CPT1--JNB-TSN199-UNISA-SBL-PE,0.6933953996961469,1.0,2.0,7.25,1.9375,0.14671657925005838,0.37973703176559076,0.5063159720260166,0.4847888682824267,1.0,5.0,6.277777777777778,1.8159722222222223,0.14597236071079422,0.37744146665036427,0.4903208769078937
9,1,JNB-TSN44-UJ-DF-PE--THY-TSN87-UNIVEN-MC-PE,0.7305755258867263,1.0,1.0,7.5,1.96875,0.14659543555168053,0.37975201237808814,0.49144365195802364,0.5093675340428566,1.0,4.6,6.4,1.83125,0.14603466819488284,0.37767252122313666,0.4904331544129067
10,1,JNB-TSN949-GIBS-NORTH--VDP,0.7482664914825038,1.0,2.0,7.75,2.0,0.14605053331943912,0.37864951616320874,0.5192908558946022,0.5310856210828245,1.0,4.363636363636363,6.5227272727272725,1.8465909090909092,0.14603611047893342,0.3777613389449614,0.4930565818203336
