step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.22359960790215574,1.0,8.0,5.5,1.71875,0.14277150534334104,0.3759047072230257,0.5204834528230112,0.22359960790215574,1.0,8.0,5.5,1.71875,0.14277150534334104,0.3759047072230257,0.5204834528230112
1,1,BLOEM2--ISD1,0.229382206522781,1.0,7.0,6.0,1.75,0.14106098039065965,0.3853373120060011,0.5504818774887229,0.22649090721246837,1.0,7.5,5.75,1.734375,0.14191624286700033,0.3806210096145134,0.5354826651558671
2,1,BLOEM3--JNB2,0.23820438985446182,1.0,6.0,6.5,1.78125,0.13903447729262305,0.3925679816442965,0.5757662882694944,0.2303954014264662,1.0,7.0,6.0,1.75,0.14095565434220791,0.38460333362444105,0.5489105395270761
3,1,CAPE--JNB2,0.24424755748329144,1.0,5.0,7.0,1.8125,0.1368175968303169,0.3980149336850721,0.5970223709347926,0.2338584404406725,1.0,6.5,6.25,1.765625,0.13992113996423516,0.38795623363959886,0.5609384973790053
4,1,CPT1--ISD1,0.2451093230791432,1.0,4.0,7.5,1.84375,0.13450472030573885,0.40203630748098074,0.6148790425557012,0.23610861696836666,1.0,6.0,6.5,1.78125,0.1388378560325359,0.3907722484078752,0.5717266064143445
5,1,DURBS--JNB2,0.2489385742441666,1.0,3.0,8.0,1.875,0.1321643403973694,0.40492923278549986,0.6298898279867534,0.23824694318099995,1.0,5.5,6.75,1.796875,0.1377256034266748,0.39313174580414606,0.5814204766764126
6,1,JNB-TSN199-UNISA-SBL-PE--JNB2,0.2518961486169937,1.0,2.0,8.5,1.90625,0.12984446536213867,0.4069353608357711,0.6425293699847355,0.2401968296718562,1.0,5.0,7.0,1.8125,0.13659972656031252,0.39510369080866387,0.5901503185776017
7,1,THY-TSN87-UNIVEN-MC-PE--JNB2,0.2542370639399042,1.0,2.0,9.0,1.9375,0.12757759782449368,0.40824833852046793,0.6531971448706544,0.2419518589553622,1.0,4.625,7.25,1.828125,0.13547196046833515,0.3967467717726394,0.5980311718642333
8,1,UNISA--JNB2,0.25612946807142256,1.0,2.0,9.5,1.96875,0.12538472800915626,0.40902194959810306,0.6622257988323506,0.24352714885714669,1.0,4.333333333333333,7.5,1.84375,0.13435115686175972,0.3981106804199131,0.605163908194024
9,1,VDP--ISD1,0.2561304401882828,1.0,1.0,10.0,2.0,0.12327849267389263,0.4093776354411196,0.6698905816359242,0.2447874779902603,1.0,4.0,7.75,1.859375,0.13324389044297302,0.3992373759220338,0.611636575538214
10,1,BLOEM2--JNB1,0.2561406132012774,1.0,1.0,2.5,2.125,0.1674081878990122,0.274721125578225,0.4120816805159318,0.24581958119126188,1.0,3.727272727272727,7.2727272727272725,1.8835227272727273,0.1363497356662493,0.3879177167998693,0.5934952214452793
