step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.22359960790215574,1.0,8.0,5.5,1.71875,0.14277150534334104,0.3759047072230257,0.5204834528230112,0.22359960790215574,1.0,8.0,5.5,1.71875,0.14277150534334104,0.3759047072230257,0.5204834528230112
1,1,JNB-GREY2-TSN171-UJSO--JNB-GREY1-TSN690-NHLS-BRAAM,0.23445912156555157,1.0,8.0,5.5,1.71875,0.14399778628781076,0.3697720750199338,0.5119921309657556,0.22902936473385366,1.0,8.0,5.5,1.71875,0.14338464581557592,0.37283839112147976,0.5162377918943835
2,1,JNB-TSN949-GIBS-NORTH--JNB1,0.23553701217979897,1.0,8.0,5.75,1.71875,0.14299806798518655,0.37213954637715996,0.4961860705103817,0.23119858054916875,1.0,8.0,5.583333333333333,1.71875,0.14325578653877946,0.37260544287337316,0.5095538847663829
3,1,SDT-TSN535-UCT-GSB--ISD1,0.23878235609686094,1.0,8.0,6.0,1.71875,0.1434240195054323,0.3779644701623383,0.4859543265634762,0.2330945244360918,1.0,8.0,5.6875,1.71875,0.14329784478044266,0.37394519969561446,0.5036539952156562
4,1,JNB-GREY-TSN284-WITS-HJH--MTZ,0.25474354318727827,1.0,8.0,6.0,1.71875,0.14470446188617764,0.37257240648118173,0.479021663505338,0.23742432818632908,1.0,8.0,5.75,1.71875,0.14357916820158967,0.3736706410527279,0.4987275288735925
5,1,MTZ--JNB1,0.25489638055727903,1.0,8.0,3.0,1.84375,0.15957766059829281,0.276026224124205,0.4140393343310302,0.24033633691482073,1.0,8.0,5.291666666666667,1.7395833333333333,0.1462455836010402,0.3573965715646408,0.4846128297831655
6,1,THY-TSN87-UNIVEN-MC-PE--JNB-GREY2-TSN99-CSMI,0.29097564620675803,1.0,7.0,2.5,1.875,0.16085529790624237,0.2709141902285366,0.4063712765401596,0.24757052395652607,1.0,7.857142857142857,4.892857142857143,1.7589285714285714,0.1483326856446405,0.345041945659483,0.47343546503416467
7,1,JNB-GREY1-TSN110-WITSE--JNB-GREY2-TSN171-UJSO,0.3645250647978339,1.0,6.0,3.25,1.875,0.16072399040923768,0.2802367069633468,0.3956282802782881,0.26218984156168956,1.0,7.625,4.6875,1.7734375,0.14988159874021514,0.336941290822466,0.4637095669396801
8,1,JNB-TSN44-UJ-DF-PE--JNB-GREY-TSN284-WITS-HJH,0.3961612590334183,1.0,7.0,3.5,1.875,0.16004609940409603,0.28808298421754897,0.3841106435840112,0.2770755546141039,1.0,7.555555555555555,4.555555555555555,1.7847222222222223,0.15101098770286858,0.3315125900885863,0.45486524212238355
9,1,JNB-GREY2-TSN295-CSIR-CTF--JNB-TSN199-UNISA-SBL-PE,0.4924972486387251,1.0,6.0,3.5,1.90625,0.1614223261017373,0.2834733616437469,0.3779644763500565,0.298617724016566,1.0,7.4,4.45,1.796875,0.15205212154275544,0.32670866724410236,0.44717516554515085
10,1,JNB-GREY1-TSN112-WITSM--UNISA,0.5956140622632833,1.0,5.0,3.5,1.9375,0.1627955889882538,0.2790781542231582,0.37210420467980276,0.3256173911299039,1.0,7.181818181818182,4.363636363636363,1.8096590909090908,0.1530288004014371,0.3223786206058347,0.44035053273921004
