step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.05663163428322995,1.0,4.0,4.142857142857143,1.8524590163934427,0.10736377313674692,0.24406919942490846,0.4745789999879136,0.05663163428322995,1.0,4.0,4.142857142857143,1.8524590163934427,0.10736377313674692,0.24406919942490846,0.4745789999879136
1,1,PTA-GREYN1-TSN201-UNISA-SSW--JNB-TSN199-UNISA-SBL-PE,0.07894562044387476,1.0,5.0,4.285714285714286,1.8852459016393444,0.10789044330522393,0.24671666461475783,0.46675815236659574,0.06778862736355236,1.0,4.5,4.214285714285714,1.8688524590163935,0.10762710822098542,0.24539293201983314,0.47066857617725466
2,1,PTA-GREYS2-TSN262-ARCISCW--PTA-GREYN1-TSN203-UNISA-SN,0.09006405788383706,1.0,6.0,4.285714285714286,1.8852459016393444,0.10824797804146312,0.2440718162299145,0.46175655617577716,0.07521377087031393,1.0,5.0,4.238095238095238,1.8743169398907105,0.10783406482781133,0.24495256008986024,0.4676979028434289
3,1,PTA-GREYN1-TSN315-BREYTEN--NLP-TSN344-UMP-DC2-PE,0.11440636532096389,1.0,5.0,4.428571428571429,1.901639344262295,0.10725274019861505,0.24326008473776664,0.49292178025319333,0.08501191948297641,1.0,5.0,4.285714285714286,1.8811475409836067,0.10768873367051225,0.24452944125183684,0.4740038721958699
4,1,PTA-GREYN2-TSN395-TUT-ZET--PTA-GREYN1-TSN354-TUT-MONITOR,0.13948996383151238,1.0,5.0,4.571428571428571,1.9180327868852458,0.10742643382829394,0.24503115202905196,0.4837795121160552,0.09590752835268361,1.0,5.0,4.342857142857143,1.8885245901639345,0.10763627370206859,0.24462978340727987,0.47595900017990705
5,1,PTA-GREYS2-TSN299-ARCIAE--PTA-GREYS2-TSN16-HSRC-MC,0.1461998888007977,1.0,5.0,4.571428571428571,1.9180327868852458,0.10783054440784491,0.24269525187911195,0.4791675878429467,0.1042895884273693,1.0,5.0,4.3809523809523805,1.8934426229508194,0.1076686521530313,0.24430736148591856,0.47649376479041367
6,1,PTA-GREYS2-TSN509-UP-MAMC--PTA-TSN940-DHA-SOSH,0.15747790933959885,1.0,4.0,4.571428571428571,1.9508196721311475,0.10904404459821548,0.2390928993018025,0.47205517501650207,0.11188791998625923,1.0,4.857142857142857,4.408163265306123,1.901639344262295,0.10786513678805762,0.2435624383167591,0.4758596805369977
7,1,PTA-GREYS3-TSN403-ASSAF--PTA-GREYS2-TSN29-ZOO,0.1822239727569841,1.0,3.0,4.571428571428571,1.9508196721311475,0.10944785393871743,0.23692125266254832,0.4677676389723096,0.12067992658259984,1.0,4.625,4.428571428571429,1.9077868852459017,0.1080629764318901,0.24273229010998276,0.47484817534141166
8,1,PTA-GREYN1-TSN200-UNISA-SSE--PTA-TSN940-DHA-SOSH,0.19696605871599668,1.0,3.0,4.571428571428571,1.9508196721311475,0.10985329583615351,0.23480772506549327,0.46359473506181165,0.12915616348631062,1.0,4.444444444444445,4.444444444444445,1.9125683060109289,0.10826190081014159,0.24185178288281728,0.4735977930881228
9,1,PTA-GREYS2-TSN38-SAASTA--PTA-GREYN1-TSN49-TUT-ERC-GAR,0.23306528901961518,1.0,4.0,4.571428571428571,1.9508196721311475,0.1102602030257359,0.23274999821018544,0.45953171031922485,0.13954707603964106,1.0,4.4,4.457142857142857,1.916393442622951,0.10846173103170102,0.24094160441555407,0.472191184811233
10,1,PTA-GREYS1-TSN30-NRF--PTA-GREYS2-TSN40-USAF,0.2669893131319501,1.0,3.0,4.571428571428571,1.9508196721311475,0.11066837937726724,0.23074514101616142,0.4555736461423937,0.15113273395712368,1.0,4.2727272727272725,4.467532467532467,1.9195230998509687,0.1086623354267525,0.24001465319742749,0.47068049947770213
