step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.05663163428322995,1.0,4.0,4.142857142857143,1.8524590163934427,0.10736377313674692,0.24406919942490846,0.4745789999879136,0.05663163428322995,1.0,4.0,4.142857142857143,1.8524590163934427,0.10736377313674692,0.24406919942490846,0.4745789999879136
1,1,ISANDO--PTA1,0.05666774096844602,1.0,5.0,4.428571428571429,1.8688524590163935,0.10474294869250397,0.24599205295996263,0.49845758306508564,0.05664968762583798,1.0,4.5,4.2857142857142865,1.860655737704918,0.10605336091462544,0.24503062619243554,0.4865182915264996
2,1,JNB-TSN199-UNISA-SBL-PE--PTA1,0.057301624385217194,1.0,4.0,4.714285714285714,1.901639344262295,0.1035216022434473,0.25058800564480216,0.5262348119906135,0.05686699987896438,1.0,4.333333333333333,4.428571428571429,1.8743169398907105,0.10520944135756606,0.2468830860098911,0.4997571316812042
3,1,MTZ--PTA2,0.05735298427855667,1.0,3.0,5.0,1.9180327868852458,0.10102558336471608,0.25153308514470957,0.5449883495290975,0.056988495978862456,1.0,4.0,4.571428571428571,1.8852459016393444,0.10416347685935357,0.2480455857935957,0.5110649361431776
4,1,NLP-TSN344-UMP-DC2-PE--PTA2,0.05739098027499258,1.0,2.0,5.285714285714286,1.9344262295081966,0.09859757465006425,0.2520341812955746,0.5613488570327969,0.057068992838088486,1.0,3.6,4.714285714285714,1.8950819672131147,0.1030502964174957,0.24884330489399148,0.5211217203211014
5,1,PTA-GREYN1-TSN354-TUT-MONITOR--PTA1,0.08454666427389791,1.0,3.0,5.571428571428571,1.9508196721311475,0.09726381658476727,0.2548293643451471,0.5816739967762095,0.06164860474405672,1.0,3.5,4.857142857142857,1.9043715846994536,0.10208588311204096,0.24984098146918407,0.5312137663969527
6,1,PTA-GREYS2-TSN509-UP-MAMC--PTA1,0.0846704485087171,1.0,3.0,5.714285714285714,1.9672131147540983,0.09638476771061875,0.2530546433305679,0.6030219518915079,0.06493743956757962,1.0,3.4285714285714284,4.979591836734694,1.9133489461358315,0.10127143805469493,0.25030007602081034,0.5414720786104606
7,1,PTA-TSN397-ARCPPRI--PTA2,0.08477242172877382,1.0,2.0,6.0,1.9836065573770492,0.09424028110944895,0.25308553455324084,0.614636295339584,0.0674168123377289,1.0,3.25,5.107142857142858,1.9221311475409837,0.10039254343653918,0.25064825833736415,0.550617605701601
8,1,PTA-TSN940-DHA-SOSH--PTA1,0.08482656163203184,1.0,1.0,6.142857142857143,2.0,0.09342851467810379,0.2512850930013101,0.633237485032672,0.06935122892598479,1.0,3.0,5.222222222222222,1.9307832422586522,0.0996187624633797,0.25071901774446925,0.5597975922939422
9,1,ISANDO--PTA-GREYN1-TSN74-UP-MED-PE,0.08746808246359702,1.0,1.0,6.285714285714286,2.0,0.09354567795436125,0.2535026076282113,0.6263002002654909,0.07116291427974601,1.0,2.8,5.328571428571428,1.937704918032787,0.09901145401247785,0.25099737673284345,0.5664478530910971
10,1,JNB-TSN199-UNISA-SBL-PE--PTA2,0.08763704054860423,1.0,2.0,6.428571428571429,2.0,0.0929040426211205,0.25360739630978324,0.6145096075344609,0.07266056212236949,1.0,2.727272727272727,5.428571428571429,1.9433681073025335,0.09845623479508171,0.251234651239838,0.5708171034950392
