step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.05663163428322995,1.0,4.0,4.142857142857143,1.8524590163934427,0.10736377313674692,0.24406919942490846,0.4745789999879136,0.05663163428322995,1.0,4.0,4.142857142857143,1.8524590163934427,0.10736377313674692,0.24406919942490846,0.4745789999879136
1,1,JNB-TSN199-UNISA-SBL-PE--PTA-GREYS2-TSN158-TUT-ARCADIA,0.057106172135563835,1.0,5.0,4.285714285714286,1.8852459016393444,0.10789043253212187,0.24671601534238816,0.4667600302667738,0.05686890320939689,1.0,4.5,4.214285714285714,1.8688524590163935,0.10762710283443438,0.24539260738364832,0.4706695151273437
2,1,PTA-GREYS2-TSN159-TUT-ARTS--PTA-TSN455-SITA-CENT-PE,0.07562771463963494,1.0,5.0,4.428571428571429,1.8852459016393444,0.10778928899832048,0.24960649164445997,0.4598000936548731,0.06312184035280957,1.0,4.666666666666667,4.285714285714286,1.8743169398907105,0.1076811648890631,0.24679723547058552,0.46704637463652016
3,1,PTA-GREYN1-TSN354-TUT-MONITOR--PTA1,0.08461769100410302,1.0,6.0,4.714285714285714,1.901639344262295,0.10619182259180328,0.2535306268114689,0.48804629966550156,0.06849580301563293,1.0,5.0,4.392857142857143,1.8811475409836067,0.10730882931474814,0.24848058330580636,0.4722963558937655
4,1,PTA-GREYN1-TSN391-TUT-KOSMOS--PTA-GREYS2-TSN409-TUT-SKINNER-PE,0.11324252819572683,1.0,5.0,4.857142857142857,1.901639344262295,0.10639719558213448,0.2568527319619303,0.4823820016809612,0.07744514805165172,1.0,5.0,4.485714285714286,1.8852459016393444,0.1071265025682254,0.25015501303703114,0.47431348505120463
5,1,PTA-GREYS2-TSN263-MRC-MC-PE--PTA-GREYS2-TSN40-USAF,0.1210233184180758,1.0,5.0,5.0,1.901639344262295,0.10661188018672488,0.26013300145214735,0.47691060317100564,0.08470817644605573,1.0,5.0,4.571428571428572,1.8879781420765027,0.10704073217130865,0.2518180111062172,0.47474633807117145
6,1,PTA-GREYN1-TSN354-TUT-MONITOR--PTA-GREYS2-TSN262-ARCISCW,0.1220457344573893,1.0,5.0,5.0,1.901639344262295,0.10703211453337069,0.2577220744916363,0.4724905229183356,0.09004211330481768,1.0,5.0,4.63265306122449,1.8899297423887589,0.10703950108017465,0.25266144873270563,0.4744240787636235
7,1,PTA-GREYN1-TSN538-TUT-ADT--PTA-GREYN1-TSN27-NLSA-PTA,0.12435744662561693,1.0,5.0,5.0,1.901639344262295,0.10745369448969314,0.2553769598069056,0.46819109477221865,0.09433152996991757,1.0,5.0,4.678571428571429,1.8913934426229508,0.10709127525636447,0.25300088761698064,0.4736449557646979
8,1,PTA-GREYS2-TSN410-TUT-BAE--PTA-GREYS3-TSN259-SAWS,0.12543350689744143,1.0,5.0,5.0,1.901639344262295,0.1078764408370218,0.2530947267609464,0.46400699073382295,0.09778730518408689,1.0,5.0,4.714285714285714,1.8925318761384335,0.10717851587643751,0.2530113141885324,0.4725740707612674
9,1,PTA4--PTA-GREYS2-TSN262-ARCISCW,0.12669617253648513,1.0,5.0,5.142857142857143,1.901639344262295,0.10811135455147061,0.25639790011342856,0.4591311179894092,0.10067819191932673,1.0,5.0,4.757142857142857,1.8934426229508197,0.10727179974394081,0.253349972781022,0.4712297754840815
10,1,PTA-GREYS1-TSN301-DST--PTA-GREYN1-TSN74-UP-MED-PE,0.12683881968105765,1.0,4.0,5.285714285714286,1.901639344262295,0.1078026152112785,0.2583412641812388,0.4520972143130747,0.1030564308067568,1.0,4.909090909090909,4.805194805194805,1.894187779433681,0.10732005569551696,0.2538037265446781,0.46949045174126275
