step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.77546617721373,1.0,4.0,2.5,1.5454545454545454,0.26732619785989287,0.4900980294098034,0.560112033611204,0.77546617721373,1.0,4.0,2.5,1.5454545454545454,0.26732619785989287,0.4900980294098034,0.560112033611204
1,1,DUR--PZB-GREY1-TSN193-UNISAP,0.8273476035077468,1.0,3.0,3.5,1.6363636363636365,0.26077715112750405,0.5378528742004773,0.5976143046671967,0.8014068903607384,1.0,3.5,3.0,1.5909090909090908,0.2640516744936985,0.5139754518051404,0.5788631691392003
2,1,DUR3--PZB-GREY1-TSN193-UNISAP,0.8704836256957333,1.0,2.0,4.5,1.7272727272727273,0.25452450688837713,0.5703234321017341,0.6221710168382553,0.8244324688057367,1.0,3.0,3.5,1.6363636363636365,0.2608759519585913,0.5327581119040049,0.5932991183722186
3,1,PZB-TSN267-SAEON-GWFN--PZB-GREY1-TSN193-UNISAP,0.9096250374673884,1.0,2.0,5.5,1.8181818181818181,0.2489647988659846,0.5933661039639302,0.639009650422694,0.8457306109711497,1.0,2.75,4.0,1.6818181818181819,0.25789816368543966,0.5479101099189863,0.6047267513848374
4,1,PZB-TSN534-HSRC-SW--PZB-GREY1-TSN193-UNISAP,0.9491472708391342,1.0,1.0,6.5,1.9090909090909092,0.24413653763134782,0.6103413440783696,0.6510307670169275,0.8664139429447466,1.0,2.4,4.5,1.7272727272727273,0.2551458384746213,0.5603963567508629,0.6139875545112555
5,1,PZB-TSN670-ARC-CACWL--PZB-GREY1-TSN193-UNISAP,1.0862391149438133,1.0,1.0,7.5,2.0,0.23996800639857802,0.6232502388407518,0.6599120175960903,0.9030514716112577,1.0,2.1666666666666665,5.0,1.7727272727272727,0.25261619979528077,0.5708720037658445,0.6216416316920613
6,1,DUR--PZB-GREY1-TSN385-CGSP,1.0898502796539333,1.0,1.0,1.0,2.3636363636363638,0.29545454545454547,0.3750000000000002,0.3750000000000002,0.9297370156173541,1.0,2.0,4.428571428571429,1.8571428571428572,0.25873596346089,0.5428902889421524,0.5864071128789098
7,1,DUR3--PZB-GREY1-TSN385-CGSP,1.0915849273607767,1.0,1.0,2.0,2.4545454545454546,0.2874797872880344,0.4216370213557842,0.4216370213557842,0.9499680045852821,1.0,1.875,4.125,1.9318181818181819,0.26232894143928304,0.5277336304938564,0.5658108514385191
8,1,PZB-GREY1-TSN10-DUTRC--PZB-GREY1-TSN193-UNISAP,1.1125178063039396,1.0,0.0,3.0,2.5454545454545454,0.27983776049505726,0.45267873021259264,0.4526787302125927,0.9680290936651329,1.0,1.6666666666666667,4.0,2.0,0.2642743657788135,0.5193941971292715,0.5532406157467494
9,1,PZB-GREY1-TSN383-DUTI--PZB-GREY1-TSN193-UNISAP,1.4354627960043138,1.0,0.0,3.0,2.5454545454545454,0.2823407075414907,0.4436782547080569,0.443678254708057,1.014772463899051,1.0,1.5,3.9,2.0545454545454547,0.2660809999550812,0.5118226028871501,0.5422843796428801
10,1,PZB-GREY1-TSN384-SANBIP--PZB1,1.9999999999999996,1.0,0.0,5.0,2.727272727272727,0.27103854272724726,0.521749194749951,0.5217491947499511,1.1043386035445917,1.0,1.3636363636363635,4.0,2.115702479338843,0.26653168566164176,0.5127250203292228,0.5404175446526139
