step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.77546617721373,1.0,4.0,2.5,1.5454545454545454,0.26732619785989287,0.4900980294098034,0.560112033611204,0.77546617721373,1.0,4.0,2.5,1.5454545454545454,0.26732619785989287,0.4900980294098034,0.560112033611204
1,1,DUR3--PZB-GREY1-TSN10-DUTRC,0.7919409880772595,1.0,3.0,2.6666666666666665,1.6363636363636365,0.2645843182214542,0.48507125007266605,0.6063390625908325,0.7837035826454948,1.0,3.5,2.583333333333333,1.5909090909090908,0.26595525804067355,0.4875846397412347,0.5832255481010182
2,1,PZB-GREY1-TSN383-DUTI--PZB-TSN534-HSRC-SW,0.8683663608674788,1.0,2.0,3.5,1.7272727272727273,0.2631548949147315,0.482450640677008,0.6432675209026769,0.8119245087194894,1.0,3.0,2.888888888888889,1.6363636363636365,0.2650218036653595,0.4858733067198258,0.6032395390349045
3,1,PZB-GREY1-TSN193-UNISAP--PZB-TSN534-HSRC-SW,0.8684373224389309,1.0,2.0,4.0,1.7272727272727273,0.2649645149319741,0.502518907629606,0.6030226891555273,0.8260527121493498,1.0,2.75,3.1666666666666665,1.6590909090909092,0.26500748148201314,0.49003470694727086,0.6031853265650602
4,1,DUR--PZB-GREY1-TSN193-UNISAP,0.9152078049841693,1.0,2.0,5.0,1.8181818181818181,0.26124407567530894,0.5388159060803247,0.6286185570937118,0.8438837307163137,1.0,2.6,3.5333333333333328,1.690909090909091,0.2642548003206723,0.49979094677388164,0.6082719726707906
5,1,PZB-GREY1-TSN10-DUTRC--DUR,0.9227875900121632,1.0,2.0,1.5,2.272727272727273,0.2845904698636096,0.3913118960624633,0.44721359549995787,0.8570343739322887,1.0,2.5,3.194444444444444,1.7878787878787878,0.2676440785778285,0.4817111049886453,0.581428909808985
6,1,PZB1--PZB-GREY1-TSN384-SANBIP,0.9999999999999998,1.0,2.0,4.0,2.5454545454545454,0.26701387699787493,0.5183210553488161,0.6047078979069521,0.8774580347991046,1.0,2.4285714285714284,3.3095238095238093,1.8961038961038963,0.2675540497806923,0.4869410978972411,0.5847544795372661
7,1,PZB-GREY1-TSN385-CGSP--PZB-TSN534-HSRC-SW,1.0000000000000004,1.0,2.0,4.0,2.5454545454545454,0.26901652468149384,0.49319696191607193,0.5753964555687507,0.8927757804492165,1.0,2.375,3.395833333333333,1.9772727272727273,0.2677368591432925,0.48772308089959493,0.5835847265412016
8,1,DUR3--PZB-TSN534-HSRC-SW,0.9999999999999999,1.0,2.0,4.0,2.6363636363636362,0.26807628391799476,0.4791863575034157,0.5897678246195888,0.9046895826215258,1.0,2.3333333333333335,3.462962962962963,2.05050505050505,0.2677745730071483,0.48677455607779724,0.5842717374388002
9,1,PZB-TSN267-SAEON-GWFN--DUR3,0.9999999999999996,1.0,1.0,4.5,2.727272727272727,0.27256517626556687,0.475327075682635,0.5850179393017045,0.9142206243593731,1.0,2.2,3.5666666666666664,2.118181818181818,0.2682536333329902,0.48562980803828104,0.5843463576250907
10,1,PZB-GREY1-TSN385-CGSP--PZB-GREY1-TSN384-SANBIP,0.9999999999999977,1.0,1.0,4.5,2.727272727272727,0.27436439520704226,0.4562105641233377,0.5614899250748772,0.9220187494176116,1.0,2.090909090909091,3.6515151515151514,2.1735537190082646,0.26880915713972214,0.48295533131874074,0.5822685001205258
