step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.7029294556367258,1.0,3.0,1.0,1.5,0.33541019662496846,0.4472135954999582,0.4472135954999582,0.7029294556367258,1.0,3.0,1.0,1.5,0.33541019662496846,0.4472135954999582,0.4472135954999582
1,1,VDP-GREY2-TSN139-NWUFAR--POTCH,0.8377223398316201,1.0,2.0,2.0,1.625,0.3263956049169334,0.5222329678670937,0.5222329678670937,0.7703258977341729,1.0,2.5,1.5,1.5625,0.33090290077095097,0.48472328168352596,0.48472328168352596
2,1,VDP-GREY2-TSN139-NWUFAR--JOBURG,0.9161276405643929,1.0,2.0,3.0,1.75,0.3181980515339464,0.5656854249492381,0.5656854249492381,0.8189264786775796,1.0,2.3333333333333335,2.0,1.625,0.3266679510252828,0.5117106627720966,0.5117106627720966
3,1,VDP-GREY2-TSN139-NWUFAR--VDP-GREY1-TSN90-VUTMC,0.9659581641965082,1.0,1.0,4.0,1.875,0.3115301852758865,0.5933908290969268,0.5933908290969268,0.8556844000573117,1.0,2.0,2.5,1.6875,0.3228835095879337,0.5321307043533042,0.5321307043533042
4,1,VDP-GREY2-TSN139-NWUFAR--ZEH1,1.9999999999999984,1.0,0.0,5.0,2.0,0.30618621784789724,0.6123724356957947,0.6123724356957947,1.0845475200458492,1.0,1.6,3.0,1.75,0.3195440512399264,0.5481790506218023,0.5481790506218023
5,1,VDP-GREY1-TSN90-VUTMC--ZEH1,1.999999999999998,1.0,0.0,5.0,2.0,0.3156679052661109,0.5827715174143586,0.5827715174143586,1.2371229333715406,1.0,1.3333333333333333,3.3333333333333335,1.7916666666666667,0.31889802691095714,0.553944461753895,0.553944461753895
6,1,VDP-GREY2-TSN484-DFA-VDBP--VDP-GREY1-TSN90-VUTMC,1.9999999999999996,1.0,0.0,2.0,2.625,0.34375,0.5,0.5,1.3461053714613205,1.0,1.1428571428571428,3.142857142857143,1.9107142857142858,0.3224483087808204,0.5462381100747672,0.5462381100747672
7,1,JOBURG--VDP-GREY1-TSN90-VUTMC,1.9999999999999982,1.0,0.0,3.0,2.75,0.3388359228427465,0.5212860351426869,0.5212860351426869,1.4278422000286553,1.0,1.0,3.125,2.015625,0.3244967605385612,0.5431191007082571,0.5431191007082571
8,1,JOBURG--VDP-GREY2-TSN598-VUT-EMF,2.0,1.0,0.0,3.0,2.875,0.3395090476594445,0.4526787302125928,0.4526787302125928,1.4914152889143601,1.0,0.8888888888888888,3.111111111111111,2.111111111111111,0.32616479244088153,0.5330701706531833,0.5330701706531833
9,1,ZEH1--POTCH,2.381966011250106,1.0,0.0,4.0,3.0,0.3402723268358102,0.48038446141526137,0.48038446141526137,1.5804703611479347,1.0,0.8,3.2,2.2,0.3275755458803744,0.5278015997293911,0.5278015997293911
10,1,VDP-GREY2-TSN598-VUT-EMF--POTCH,2.697224362268005,1.0,0.0,2.0,3.875,0.34987793349298807,0.4240944648399855,0.4240944648399855,1.6819934521588502,1.0,0.7272727272727273,3.090909090909091,2.352272727272727,0.32960303566333926,0.5183736783758088,0.5183736783758088
