step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.7029294556367258,1.0,3.0,1.0,1.5,0.33541019662496846,0.4472135954999582,0.4472135954999582,0.7029294556367258,1.0,3.0,1.0,1.5,0.33541019662496846,0.4472135954999582,0.4472135954999582
1,1,JOBURG--VDP-GREY2-TSN139-NWUFAR,0.8377223398316206,1.0,2.0,2.0,1.625,0.3263956049169334,0.5222329678670936,0.5222329678670936,0.7703258977341731,1.0,2.5,1.5,1.5625,0.33090290077095097,0.4847232816835259,0.4847232816835259
2,1,POTCH--VDP-GREY2-TSN139-NWUFAR,0.9161276405643929,1.0,2.0,3.0,1.75,0.3181980515339464,0.5656854249492381,0.5656854249492381,0.8189264786775797,1.0,2.3333333333333335,2.0,1.625,0.3266679510252828,0.5117106627720966,0.5117106627720966
3,1,VDP-GREY1-TSN90-VUTMC--VDP-GREY2-TSN139-NWUFAR,0.9659581641965082,1.0,1.0,4.0,1.875,0.3115301852758865,0.5933908290969268,0.5933908290969268,0.8556844000573118,1.0,2.0,2.5,1.6875,0.3228835095879337,0.5321307043533041,0.5321307043533041
4,1,ZEH1--VDP-GREY2-TSN139-NWUFAR,1.9999999999999984,1.0,0.0,5.0,2.0,0.30618621784789724,0.6123724356957947,0.6123724356957947,1.0845475200458492,1.0,1.6,3.0,1.75,0.3195440512399264,0.5481790506218023,0.5481790506218023
5,1,JOBURG--POTCH,1.9999999999999991,1.0,0.0,5.0,2.0,0.3156679052661109,0.5827715174143587,0.5827715174143587,1.237122933371541,1.0,1.3333333333333333,3.3333333333333335,1.7916666666666667,0.31889802691095714,0.553944461753895,0.553944461753895
6,1,VDP-GREY1-TSN90-VUTMC--JOBURG,2.0000000000000004,1.0,0.0,2.0,2.625,0.34375,0.5,0.5,1.3461053714613207,1.0,1.1428571428571428,3.142857142857143,1.9107142857142858,0.3224483087808204,0.5462381100747672,0.5462381100747672
7,1,VDP-GREY2-TSN484-DFA-VDBP--JOBURG,1.9999999999999996,1.0,0.0,3.0,2.75,0.3388359228427465,0.5212860351426869,0.5212860351426869,1.4278422000286557,1.0,1.0,3.125,2.015625,0.3244967605385612,0.5431191007082571,0.5431191007082571
8,1,VDP-GREY2-TSN598-VUT-EMF--JOBURG,2.0,1.0,0.0,4.0,2.875,0.33407655239053047,0.534522483824849,0.534522483824849,1.4914152889143606,1.0,0.8888888888888888,3.2222222222222223,2.111111111111111,0.32556118185544664,0.5421639210545451,0.5421639210545451
9,1,ZEH1--JOBURG,2.9999999999999982,1.0,0.0,5.0,3.0,0.32986397342519147,0.5433053679944331,0.5433053679944331,1.6422737600229245,1.0,0.8,3.4,2.2,0.32599146101242116,0.542278065748534,0.542278065748534
10,1,POTCH--VDP-GREY1-TSN90-VUTMC,2.9999999999999973,1.0,0.0,5.0,3.0,0.3354101966249685,0.5217491947499511,0.5217491947499511,1.7657034182026583,1.0,0.7272727272727273,3.5454545454545454,2.272727272727273,0.3268477097044709,0.5404118047486628,0.5404118047486628
