step,num_edges_added,edges_added,aG,e0_mult,e1_mult,CIS,CS_mean,CI_mean,CI_top10_mean,CI_max,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,AUC_CS_mean,AUC_CI_mean,AUC_CI_top10_mean,AUC_CI_max
0,0,,0.7029294556367258,1.0,3.0,1.0,1.5,0.33541019662496846,0.4472135954999582,0.4472135954999582,0.7029294556367258,1.0,3.0,1.0,1.5,0.33541019662496846,0.4472135954999582,0.4472135954999582
1,1,POTCH--JOBURG,0.7029294556367248,1.0,2.0,3.0,1.75,0.3244428422615251,0.6488856845230502,0.6488856845230502,0.7029294556367254,1.0,2.5,2.0,1.625,0.3299265194432468,0.5480496400115042,0.5480496400115042
2,1,VDP-GREY2-TSN139-NWUFAR--POTCH,0.9009733274913043,1.0,2.0,3.0,1.75,0.3247595264191645,0.5773502691896256,0.5773502691896256,0.7689440795882517,1.0,2.3333333333333335,2.3333333333333335,1.6666666666666667,0.32820418843521937,0.5578165164042114,0.5578165164042114
3,1,POTCH--ZEH1,0.951884350886607,1.0,1.0,4.0,1.875,0.3206947914353012,0.6108472217815265,0.6108472217815265,0.8146791474128405,1.0,2.0,2.75,1.71875,0.3263268391852398,0.5710741927485401,0.5710741927485401
4,1,JOBURG--VDP-GREY2-TSN139-NWUFAR,0.9621206461185637,1.0,1.0,4.0,1.875,0.3234627715162319,0.5625439504630119,0.5625439504630119,0.8441674471539852,1.0,1.8,3.0,1.75,0.32575402565143824,0.5693681442914345,0.5693681442914345
5,1,VDP-GREY1-TSN90-VUTMC--POTCH,1.4771349767169246,1.0,0.0,5.0,2.0,0.3217979514674192,0.5940885257860045,0.5940885257860045,0.949662035414475,1.0,1.5,3.3333333333333335,1.7916666666666667,0.32509467995410174,0.5734882078738628,0.5734882078738628
6,1,VDP-GREY2-TSN598-VUT-EMF--JOBURG,1.5330037344216654,1.0,0.0,2.0,2.625,0.34375000000000006,0.4999999999999999,0.4999999999999999,1.0329965638440737,1.0,1.2857142857142858,3.142857142857143,1.9107142857142858,0.3277597256749444,0.562989892463311,0.562989892463311
7,1,ZEH1--VDP-GREY2-TSN484-DFA-VDBP,1.7853430949194644,1.0,0.0,3.0,2.875,0.34320323649182205,0.49029033784546017,0.49029033784546017,1.1270398802284975,1.0,1.125,3.125,2.03125,0.3296901645270541,0.5539024481360796,0.5539024481360796
8,1,VDP-GREY1-TSN90-VUTMC--ZEH1,1.9249497036741097,1.0,0.0,4.0,3.0,0.3429971702850177,0.5144957554275266,0.5144957554275266,1.21569652727801,1.0,1.0,3.2222222222222223,2.138888888888889,0.33116872072238335,0.5495239267240182,0.5495239267240182
9,1,VDP-GREY2-TSN484-DFA-VDBP--JOBURG,2.00789821207211,1.0,0.0,4.0,3.0,0.3447205199028704,0.4866642633922875,0.4866642633922875,1.2949166957574199,1.0,0.9,3.3,2.225,0.332523900640432,0.5432379603908452,0.5432379603908452
10,1,VDP-GREY2-TSN484-DFA-VDBP--VDP-GREY1-TSN90-VUTMC,2.2215428817416107,1.0,0.0,4.0,3.0,0.3471825374147068,0.4629100498862756,0.4629100498862756,1.379155439937801,1.0,0.8181818181818182,3.3636363636363638,2.2954545454545454,0.33385650398354794,0.5359354230722478,0.5359354230722478
