graph,strategy,steps,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,Delta_aG_vs_random,Delta_e0_mult_vs_random,Delta_e1_mult_vs_random,Delta_CIS_vs_random
bfn.tgf,betweeness,16,0.02421,7.4375,0.9375,1.3125,-0.2319,5.5625,-2.0625,-0.6875
bfn.tgf,closeness,16,0.02421,7.0625,0.9375,1.36458,-0.2319,5.1875,-2.0625,-0.63542
bfn.tgf,core influence,16,0.02421,7.0,1.25,1.47917,-0.2319,5.125,-1.75,-0.52083
bfn.tgf,degree,16,0.02421,7.4375,0.9375,1.3125,-0.2319,5.5625,-2.0625,-0.6875
bfn.tgf,random,16,0.25611,1.875,3.0,2.0,0.0,0.0,0.0,0.0
cpt.tgf,betweeness,68,0.00112,21.13235,2.02941,1.33053,-0.00199,7.54412,-1.52941,-0.54377
cpt.tgf,closeness,68,0.00112,11.61765,1.92647,1.60028,-0.00199,-1.97059,-1.63235,-0.27402
cpt.tgf,core influence,68,0.00112,19.19118,2.73529,1.71894,-0.00199,5.60294,-0.82353,-0.15536
cpt.tgf,degree,68,0.00112,21.39706,2.45588,1.47409,-0.00199,7.80882,-1.10294,-0.40021
cpt.tgf,random,68,0.00312,13.58824,3.55882,1.8743,0.0,0.0,0.0,0.0
dur.tgf,betweeness,26,0.0083,9.26923,1.11538,1.42949,-0.02532,3.07692,-0.23077,-0.42308
dur.tgf,closeness,26,0.08523,6.73077,1.11538,1.79487,0.05161,0.53846,-0.23077,-0.05769
dur.tgf,core influence,26,0.0083,9.57692,0.96154,1.55128,-0.02532,3.38462,-0.38462,-0.30128
dur.tgf,degree,26,0.0083,9.19231,1.07692,1.64744,-0.02532,3.0,-0.26923,-0.20513
dur.tgf,random,26,0.03362,6.19231,1.34615,1.85256,0.0,0.0,0.0,0.0
els.tgf,betweeness,13,0.04108,6.0,0.76923,1.26923,-0.13068,2.53846,-1.30769,-0.65385
els.tgf,closeness,13,0.04108,5.69231,0.76923,1.26923,-0.13068,2.23077,-1.30769,-0.65385
els.tgf,core influence,13,0.04108,5.84615,0.76923,1.26923,-0.13068,2.38462,-1.30769,-0.65385
els.tgf,degree,13,0.04108,5.92308,0.76923,1.26923,-0.13068,2.46154,-1.30769,-0.65385
els.tgf,random,13,0.17176,3.46154,2.07692,1.92308,0.0,0.0,0.0,0.0
jnb.tgf,betweeness,31,0.00721,11.19355,0.6129,1.3172,-0.04174,6.09677,-2.0,-1.46667
jnb.tgf,closeness,31,0.07173,8.29032,1.51613,1.63441,0.02277,3.19355,-1.09677,-1.14946
jnb.tgf,core influence,31,0.00721,10.67742,1.48387,1.44624,-0.04174,5.58065,-1.12903,-1.33763
jnb.tgf,degree,31,0.00721,11.35484,1.09677,1.55376,-0.04174,6.25806,-1.51613,-1.23011
jnb.tgf,random,31,0.04895,5.09677,2.6129,2.78387,0.0,0.0,0.0,0.0
pta.tgf,betweeness,60,0.00094,14.13333,1.58333,1.40071,-0.00329,6.65,-3.11667,-0.92952
pta.tgf,closeness,60,0.05094,6.06667,1.08333,1.63516,0.04671,-1.41667,-3.61667,-0.69508
pta.tgf,core influence,60,0.00094,14.43333,2.61667,1.39448,-0.00329,6.95,-2.08333,-0.93575
pta.tgf,degree,60,0.00094,16.18333,1.68333,1.44587,-0.00329,8.7,-3.01667,-0.88437
pta.tgf,random,60,0.00423,7.48333,4.7,2.33024,0.0,0.0,0.0,0.0
pzb.tgf,betweeness,10,0.07755,4.8,0.4,1.25,-0.22202,2.7,-1.2,-0.4
pzb.tgf,closeness,10,0.07755,4.8,0.5,1.35,-0.22202,2.7,-1.1,-0.3
pzb.tgf,core influence,10,0.07755,4.8,0.5,1.35,-0.22202,2.7,-1.1,-0.3
pzb.tgf,degree,10,0.07755,4.7,0.5,1.35,-0.22202,2.6,-1.1,-0.3
pzb.tgf,random,10,0.29956,2.1,1.6,1.65,0.0,0.0,0.0,0.0
vdp.tgf,betweeness,7,0.10042,3.57143,0.57143,1.14286,-0.42857,1.71429,-1.57143,-1.57143
vdp.tgf,closeness,7,0.10042,3.57143,0.57143,1.14286,-0.42857,1.71429,-1.57143,-1.57143
vdp.tgf,core influence,7,0.52899,1.85714,2.14286,2.71429,0.0,0.0,0.0,0.0
vdp.tgf,degree,7,0.10042,3.71429,0.57143,1.14286,-0.42857,1.85714,-1.57143,-1.57143
vdp.tgf,random,7,0.52899,1.85714,2.14286,2.71429,0.0,0.0,0.0,0.0
isis-links.json,betweeness,279,9e-05,73.81362,7.04301,1.2785,-0.00035,42.69892,-8.26165,-0.8052
isis-links.json,closeness,279,0.00965,39.91398,8.93907,1.65304,0.00921,8.79928,-6.36559,-0.43066
isis-links.json,core influence,279,0.00018,70.02509,11.39785,1.49995,-0.00027,38.91039,-3.90681,-0.58375
isis-links.json,degree,279,9e-05,77.47312,7.92473,1.31552,-0.00035,46.35842,-7.37993,-0.76818
isis-links.json,random,279,0.00044,31.1147,15.30466,2.0837,0.0,0.0,0.0,0.0
