node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
2,1,17,0.387319351243301,8,1,2.0,closeness,0.387319351243301,1.0,8.0,2.0
6,2,16,-1.17978817773144e-16,3,7,4.0,closeness,0.19365967562165046,4.0,5.5,3.0
8,3,15,-3.742048512559673e-17,3,10,2.5,closeness,0.1291064504144336,6.0,4.666666666666667,2.8333333333333335
3,4,14,0.0,1,12,1.3333333333333333,closeness,0.09682983781082521,7.5,3.75,2.4583333333333335
1,5,13,0.0,0,12,1.0,closeness,0.07746387024866017,8.4,3.0,2.166666666666667
9,6,12,0.0,0,11,1.0,closeness,0.0645532252072168,8.833333333333334,2.5,1.9722222222222223
10,7,11,0.0,0,10,1.0,closeness,0.055331335891900126,9.0,2.142857142857143,1.8333333333333335
11,8,10,0.0,0,9,1.0,closeness,0.04841491890541261,9.0,1.875,1.7291666666666667
12,9,9,0.0,0,8,1.0,closeness,0.04303548347147787,8.88888888888889,1.6666666666666667,1.6481481481481481
13,10,8,0.0,0,7,1.0,closeness,0.03873193512433008,8.7,1.5,1.5833333333333335
5,11,7,0.0,0,6,1.0,closeness,0.03521085011302735,8.454545454545455,1.3636363636363635,1.5303030303030303
7,12,6,0.0,0,6,1.0,closeness,0.0322766126036084,8.25,1.25,1.486111111111111
14,13,5,0.0,0,5,1.0,closeness,0.02979379624948468,8.0,1.1538461538461537,1.4487179487179487
15,14,4,0.0,0,4,1.0,closeness,0.027665667945950063,7.714285714285714,1.0714285714285714,1.4166666666666665
16,15,3,0.0,0,3,1.0,closeness,0.025821290082886725,7.4,1.0,1.3888888888888888
17,16,2,0.0,0,2,1.0,closeness,0.024207459452706304,7.0625,0.9375,1.3645833333333333
