node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
BFN1,1,17,0.387319351243301,8,1,2.0,core influence,0.387319351243301,1.0,8.0,2.0
BFN2,2,16,-1.17978817773144e-16,3,7,4.0,core influence,0.19365967562165046,4.0,5.5,3.0
BFN-GREY1-TSN242-UFSSC,3,15,-3.742048512559673e-17,3,10,2.5,core influence,0.1291064504144336,6.0,4.666666666666667,2.8333333333333335
BFN-GREY1-TSN245-UFSPELH,4,14,-1.0600960401397101e-17,2,10,2.0,core influence,0.09682983781082521,7.0,4.0,2.625
BFN3,5,13,-3.742048512559673e-17,2,10,2.0,core influence,0.07746387024866017,7.6,3.6,2.5
BFN-GREY1-TSN244-UFSNATH,6,12,0.0,0,12,1.0,core influence,0.0645532252072168,8.333333333333334,3.0,2.25
WEL1,7,11,0.0,0,11,1.0,core influence,0.05533133589190011,8.714285714285714,2.5714285714285716,2.0714285714285716
WITS,8,10,0.0,0,10,1.0,core influence,0.0484149189054126,8.875,2.25,1.9375
KIM-TSN760-SPUC,9,9,0.0,0,9,1.0,core influence,0.04303548347147787,8.88888888888889,2.0,1.8333333333333333
BFN-GREY1-TSN173-UNISAB,10,8,0.0,0,8,1.0,core influence,0.03873193512433008,8.8,1.8,1.75
POTCH,11,7,0.0,0,7,1.0,core influence,0.035210850113027346,8.636363636363637,1.6363636363636365,1.6818181818181819
CAPE2,12,6,0.0,0,6,1.0,core influence,0.0322766126036084,8.416666666666666,1.5,1.625
ISANDO,13,5,0.0,0,5,1.0,core influence,0.029793796249484677,8.153846153846153,1.3846153846153846,1.5769230769230769
BFN-GREY1-TSN246-UFSPSY,14,4,0.0,0,4,1.0,core influence,0.027665667945950056,7.857142857142857,1.2857142857142858,1.5357142857142858
CAPE,15,3,0.0,0,3,1.0,core influence,0.02582129008288672,7.533333333333333,1.2,1.5
ELS,16,2,0.0,0,2,1.0,core influence,0.0242074594527063,7.1875,1.125,1.46875
