removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
1,17,0.387319351243301,8,1,2.0,core number
2,16,-1.17978817773144e-16,3,7,4.0,core number
3,15,0.0,3,7,4.0,core number
4,14,-1.1390177139315115e-16,4,7,4.0,core number
5,13,0.0,3,7,3.5,core number
6,12,-1.0600960401397101e-17,2,9,2.0,core number
7,11,0.0,0,11,1.0,core number
8,10,0.0,0,10,1.0,core number
9,9,0.0,0,9,1.0,core number
10,8,0.0,0,8,1.0,core number
11,7,0.0,0,7,1.0,core number
12,6,0.0,0,6,1.0,core number
13,5,0.0,0,5,1.0,core number
14,4,0.0,0,4,1.0,core number
15,3,0.0,0,3,1.0,core number
16,2,0.0,0,2,1.0,core number
