removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
1,17,0.387319351243301,8,1,2.0,core strength
2,16,-1.17978817773144e-16,3,7,4.0,core strength
3,15,-3.742048512559673e-17,3,10,2.5,core strength
4,14,-1.0600960401397101e-17,3,9,2.5,core strength
5,13,-3.742048512559673e-17,2,9,1.0,core strength
6,12,-1.0600960401397101e-17,2,9,2.0,core strength
7,11,-3.742048512559673e-17,2,8,2.0,core strength
8,10,-1.0600960401397101e-17,2,7,3.0,core strength
9,9,0.0,0,9,1.0,core strength
10,8,0.0,0,8,1.0,core strength
11,7,0.0,0,7,1.0,core strength
12,6,0.0,0,6,1.0,core strength
13,5,0.0,0,5,1.0,core strength
14,4,0.0,0,4,1.0,core strength
15,3,0.0,0,3,1.0,core strength
16,2,0.0,0,2,1.0,core strength
