node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
10,1,17,0.387319351243301,8,1,2.0,random,0.387319351243301,1.0,8.0,2.0
13,2,16,0.399187634217327,7,1,2.0,random,0.393253492730314,1.0,7.5,2.0
11,3,15,0.4098776882028059,6,1,2.0,random,0.3987948912211447,1.0,7.0,2.0
17,4,14,0.41823321213525805,5,1,2.0,random,0.403654471449673,1.0,6.5,2.0
15,5,13,0.48028435877216086,4,1,2.0,random,0.4189804489141705,1.0,6.0,2.0
16,6,12,0.5292299716316565,3,1,2.0,random,0.4373553693670849,1.0,5.5,2.0
12,7,11,0.5298004988508653,3,1,2.0,random,0.4505618164361964,1.0,5.142857142857143,2.0
3,8,10,0.5763778600093005,2,1,2.0,random,0.4662888218828344,1.0,4.75,2.0
6,9,9,0.3673723141200384,2,1,1.0,random,0.4552980987980793,1.0,4.444444444444445,1.8888888888888888
7,10,8,-3.8944520870189387e-17,2,4,3.0,random,0.4097682889182714,1.3,4.2,2.0
4,11,7,0.0,2,3,3.0,random,0.3725166262893376,1.4545454545454546,4.0,2.090909090909091
14,12,6,0.0,2,3,3.0,random,0.3414735740985595,1.5833333333333333,3.8333333333333335,2.1666666666666665
2,13,5,7.641117179576302e-17,2,2,3.0,random,0.315206376090978,1.6153846153846154,3.6923076923076925,2.230769230769231
9,14,4,0.0,0,4,1.0,random,0.2926916349416224,1.7857142857142858,3.4285714285714284,2.142857142857143
1,15,3,0.0,0,3,1.0,random,0.2731788592788476,1.8666666666666667,3.2,2.066666666666667
5,16,2,0.0,0,2,1.0,random,0.2561051805739196,1.875,3.0,2.0
