node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
CPT3,1,69,0.07630552919285967,12,1,5.285714285714286,core influence,0.07630552919285967,1.0,12.0,5.285714285714286
CPT1,2,68,0.0,9,9,3.5714285714285716,core influence,0.038152764596429835,5.0,10.5,4.428571428571429
CPT2,3,67,0.0,4,17,2.857142857142857,core influence,0.02543517639761989,9.0,8.333333333333334,3.904761904761905
CPT-GREYBEL1-TSN22-MRCCPT-PE,4,66,-5.77166594621651e-16,5,20,2.2857142857142856,core influence,0.01907638229821477,11.75,7.5,3.5
CPT6,5,65,-2.447719360364306e-16,5,20,2.5714285714285716,core influence,0.01526110583857177,13.4,7.0,3.3142857142857145
CPT9,6,64,-6.050333833045802e-16,5,21,1.5714285714285714,core influence,0.012717588198809707,14.666666666666666,6.666666666666667,3.0238095238095237
CPT-GREYSS2-TSN236-SARAO-PE,7,63,-6.888408170957591e-16,6,22,1.7142857142857142,core influence,0.010900789884693937,15.714285714285714,6.571428571428571,2.8367346938775513
CPT-GREYBEL1-TSN207-USBS-PE,8,62,-5.598072317482437e-16,6,23,1.5714285714285714,core influence,0.009538191149107124,16.625,6.5,2.6785714285714284
CPT7,9,61,-5.598072317482437e-16,6,24,1.375,core influence,0.008478392132539604,17.444444444444443,6.444444444444445,2.5337301587301586
CPT5,10,60,-5.598072317482437e-16,6,24,1.5,core influence,0.007630552919285588,18.1,6.4,2.430357142857143
CPT-GREYBEL1-TSN147-CPUTT,11,59,-4.77040837813276e-16,4,26,1.3333333333333333,core influence,0.006936866290259581,18.818181818181817,6.181818181818182,2.330627705627706
CPT-GREYCBD1-TSN18-IZMU,12,58,-8.110368809783512e-16,4,27,1.8333333333333333,core influence,0.006358794099404549,19.5,6.0,2.289186507936508
CPT-GREYCBD1-TSN163-UCT-HID,13,57,-4.77040837813276e-16,4,28,1.0,core influence,0.005869656091758008,20.153846153846153,5.846153846153846,2.190018315018315
CPT-GREYSS2-TSN165-UCTLGR,14,56,-1.163654244421305e-16,5,28,1.6666666666666667,core influence,0.005450394942346714,20.714285714285715,5.785714285714286,2.1526360544217686
CPT-GREYCBD1-TSN24-NLSA,15,55,-4.77040837813276e-16,5,28,1.1428571428571428,core influence,0.0050870352795235685,21.2,5.733333333333333,2.0853174603174605
CPT-GREYCBD1-TSN4-CPUTCPT,16,54,-5.696294837289027e-17,5,28,1.3333333333333333,core influence,0.004769095574553341,21.625,5.6875,2.0383184523809526
CPT-GREYSS1-TSN39-SAAO,17,53,-4.4203324128594195e-16,5,29,1.5,core influence,0.0044885605407560605,22.058823529411764,5.647058823529412,2.0066526610644257
CPT-GREYSS1-TSN804-SKAO-BRP,18,52,-4.4203324128594195e-16,5,31,1.5,core influence,0.004239196066269588,22.555555555555557,5.611111111111111,1.9785052910052912
CPT8,19,51,-4.4203324128594195e-16,4,31,1.5,core influence,0.004016080483834322,23.0,5.526315789473684,1.9533208020050126
CPT-GREYSS1-TSN272-UCTDOR,20,50,-4.4203324128594195e-16,4,30,1.6,core influence,0.0038152764596425847,23.35,5.45,1.9356547619047617
CPT-GREYSS1-TSN768-UCTCAN,21,49,-4.4203324128594195e-16,5,30,1.2,core influence,0.0036335966282310117,23.666666666666668,5.428571428571429,1.90062358276644
CPT-GREYSS1-TSN463-DFA-PLN,22,48,-4.4203324128594195e-16,4,30,1.6,core influence,0.003468433145129582,23.954545454545453,5.363636363636363,1.8869588744588746
