removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
1,69,0.07630552919285967,12,1,5.285714285714286,core number
2,68,-2.875318304066318e-16,10,7,1.8571428571428572,core number
3,67,0.0,4,17,2.142857142857143,core number
4,66,-6.971882923867381e-17,5,17,1.2857142857142858,core number
5,65,-8.09221467668883e-16,5,17,2.4285714285714284,core number
6,64,-4.440892098500626e-16,5,17,1.4285714285714286,core number
7,63,-3.421019284692959e-16,5,17,2.0,core number
8,62,-7.766342672607349e-16,4,17,1.8571428571428572,core number
9,61,-2.0764219886430058e-16,4,18,2.7142857142857144,core number
10,60,0.0,4,18,2.5,core number
11,59,-8.587127320057689e-17,5,18,2.8333333333333335,core number
12,58,-2.2195735967459864e-16,4,18,2.0,core number
13,57,-5.598072317482437e-16,4,19,2.0,core number
14,56,-5.598072317482437e-16,4,18,1.6666666666666667,core number
15,55,-5.598072317482437e-16,4,18,2.5,core number
16,54,-5.598072317482437e-16,4,17,2.0,core number
17,53,-4.77040837813276e-16,5,18,1.6666666666666667,core number
18,52,-4.77040837813276e-16,5,18,2.0,core number
19,51,-4.77040837813276e-16,4,18,2.0,core number
20,50,-4.77040837813276e-16,5,19,2.0,core number
21,49,-4.77040837813276e-16,5,19,1.8,core number
22,48,-4.77040837813276e-16,5,18,1.8333333333333333,core number
23,47,-4.77040837813276e-16,4,19,2.8,core number
24,46,-4.77040837813276e-16,4,18,2.6,core number
25,45,-5.06271719364991e-16,4,17,2.6,core number
26,44,-4.77040837813276e-16,4,16,1.8,core number
27,43,-5.598072317482437e-16,4,17,1.8,core number
28,42,-4.123565426731621e-17,4,17,2.6,core number
29,41,-5.598072317482437e-16,4,16,2.8,core number
30,40,-4.123565426731621e-17,4,15,1.5,core number
31,39,0.0,2,17,2.5,core number
32,38,0.0,2,16,2.75,core number
33,37,0.0,2,17,1.8,core number
34,36,-1.3468535714917147e-17,1,18,2.5,core number
35,35,-5.551115123125783e-17,1,18,2.5,core number
36,34,-1.8921031747684888e-17,2,18,2.25,core number
37,33,-1.9130862895654032e-16,3,18,2.0,core number
38,32,-3.015626930704467e-16,2,18,1.75,core number
39,31,-3.253448529955636e-32,1,18,1.75,core number
40,30,-4.4203324128594195e-16,3,20,1.3333333333333333,core number
41,29,0.0,2,21,1.3333333333333333,core number
42,28,0.0,2,20,1.3333333333333333,core number
43,27,0.0,1,21,1.3333333333333333,core number
44,26,0.0,2,21,1.3333333333333333,core number
45,25,0.0,2,20,1.3333333333333333,core number
46,24,0.0,1,20,1.0,core number
47,23,0.0,1,20,1.3333333333333333,core number
48,22,0.0,1,19,1.3333333333333333,core number
49,21,0.0,0,19,1.0,core number
50,20,0.0,0,19,1.0,core number
51,19,0.0,0,18,1.0,core number
52,18,0.0,0,17,1.0,core number
53,17,0.0,0,17,1.0,core number
54,16,0.0,0,16,1.0,core number
55,15,0.0,0,15,1.0,core number
56,14,0.0,0,14,1.0,core number
57,13,0.0,0,13,1.0,core number
58,12,0.0,0,12,1.0,core number
59,11,0.0,0,11,1.0,core number
60,10,0.0,0,10,1.0,core number
61,9,0.0,0,9,1.0,core number
62,8,0.0,0,8,1.0,core number
63,7,0.0,0,7,1.0,core number
64,6,0.0,0,6,1.0,core number
65,5,0.0,0,5,1.0,core number
66,4,0.0,0,4,1.0,core number
67,3,0.0,0,3,1.0,core number
68,2,0.0,0,2,1.0,core number
