node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
68,1,69,0.07630552919285967,12,1,5.285714285714286,random,0.07630552919285967,1.0,12.0,5.285714285714286
43,2,68,0.07630866210057764,11,1,5.285714285714286,random,0.07630709564671866,1.0,11.5,5.285714285714286
12,3,67,0.029649174861656472,11,1,5.0,random,0.06075445538503126,1.0,11.333333333333334,5.190476190476191
37,4,66,0.029598868002978077,11,1,4.857142857142857,random,0.05296555853951797,1.0,11.25,5.107142857142857
3,5,65,-6.569219126638431e-16,11,3,4.571428571428571,random,0.042372446831614244,1.4,11.2,5.0
47,6,64,0.0,10,11,3.4285714285714284,random,0.03531037235967854,3.0,11.0,4.738095238095238
55,7,63,-1.3288158761915775e-16,9,11,3.2857142857142856,random,0.03026603345115301,4.142857142857143,10.714285714285714,4.530612244897958
58,8,62,-2.2448750153229987e-16,10,12,3.2857142857142856,random,0.026482779269758856,5.125,10.625,4.375
34,9,61,-2.683720634602679e-16,10,11,2.2857142857142856,random,0.023540248239785618,5.777777777777778,10.555555555555555,4.142857142857142
36,10,60,-4.4035186372792773e-16,9,11,3.0,random,0.021186223415807014,6.3,10.4,4.0285714285714285
7,11,59,-3.6598010562043626e-16,8,11,3.3333333333333335,random,0.01926020310527907,6.7272727272727275,10.181818181818182,3.9653679653679657
35,12,58,-2.542691332092863e-16,8,11,3.3333333333333335,random,0.017655186179839126,7.083333333333333,10.0,3.9126984126984126
1,13,57,-2.433812806490836e-16,7,11,2.3333333333333335,random,0.0162970949352361,7.384615384615385,9.76923076923077,3.791208791208791
6,14,56,-4.1063562012908624e-16,2,19,1.6666666666666667,random,0.015133016725576348,8.214285714285714,9.214285714285714,3.639455782312925
63,15,55,-4.488139646580546e-16,2,19,1.5,random,0.014124148943871227,8.933333333333334,8.733333333333333,3.4968253968253964
31,16,54,-4.1639912253483647e-16,2,19,1.6666666666666667,random,0.013241389634879249,9.5625,8.3125,3.3824404761904763
38,17,53,-1.0300116760516155e-16,3,19,2.5,random,0.012462484362239288,10.117647058823529,8.0,3.330532212885154
41,18,52,0.0,3,19,2.1666666666666665,random,0.011770124119892662,10.61111111111111,7.722222222222222,3.265873015873016
40,19,51,0.0,4,19,1.3333333333333333,random,0.011150643903056206,11.052631578947368,7.526315789473684,3.164160401002506
66,20,50,0.0,4,18,2.6,random,0.010593111707903394,11.4,7.35,3.135952380952381
53,21,49,0.0,4,17,2.0,random,0.010088677817050853,11.666666666666666,7.190476190476191,3.0818594104308388
39,22,48,0.0,4,17,1.6,random,0.00963010155263945,11.909090909090908,7.045454545454546,3.0145021645021646
18,23,47,-8.921861857763553e-17,4,16,1.1666666666666667,random,0.009211401485133384,12.08695652173913,6.913043478260869,2.9341614906832296
50,24,46,-3.0568769617098026e-16,5,17,1.4,random,0.00882759308991948,12.291666666666666,6.833333333333333,2.8702380952380953
8,25,45,-3.865294224216758e-17,5,17,2.2,random,0.008474489366322698,12.48,6.76,2.8434285714285714
10,26,44,-4.2462040642505515e-16,5,19,2.4,random,0.008148547467617962,12.73076923076923,6.6923076923076925,2.826373626373626
45,27,43,-1.1102230246251565e-16,5,20,1.6,random,0.007846749413261737,13.0,6.62962962962963,2.7809523809523813
42,28,42,-1.7802357993008624e-16,4,21,2.0,random,0.007566508362788098,13.285714285714286,6.535714285714286,2.753061224489796
32,29,41,-1.7802357993008624e-16,4,20,2.2,random,0.00730559428131264,13.517241379310345,6.448275862068965,2.7339901477832513
48,30,40,-4.4203324128594195e-16,3,20,1.25,random,0.007062074471935537,13.733333333333333,6.333333333333333,2.6845238095238098
13,31,39,-1.1102230246251565e-16,3,20,2.25,random,0.0068342656180021295,13.935483870967742,6.225806451612903,2.6705069124423964
60,32,38,-2.3161033596301957e-16,3,20,2.25,random,0.006620694817439556,14.125,6.125,2.6573660714285716
46,33,37,-1.898882772688673e-16,3,19,1.0,random,0.0064200677017595634,14.272727272727273,6.03030303030303,2.607142857142857
