removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
1,27,0.2159093314955836,5,1,5.666666666666667,core strength
2,26,0.0,2,6,2.3333333333333335,core strength
3,25,0.0,2,9,1.3333333333333333,core strength
4,24,-5.696294837289027e-17,3,12,2.0,core strength
5,23,0.0,3,13,1.3333333333333333,core strength
6,22,-4.1028272119953315e-16,2,14,1.3333333333333333,core strength
7,21,-4.1028272119953315e-16,2,13,1.3333333333333333,core strength
8,20,-4.1028272119953315e-16,2,13,2.0,core strength
9,19,-4.1028272119953315e-16,2,12,1.5,core strength
10,18,-4.1028272119953315e-16,2,11,1.3333333333333333,core strength
11,17,-7.759729469692427e-17,1,12,2.0,core strength
12,16,-7.759729469692427e-17,1,11,2.0,core strength
13,15,-7.759729469692427e-17,1,10,2.0,core strength
14,14,0.0,0,11,2.0,core strength
15,13,0.0,0,10,2.0,core strength
16,12,0.0,1,10,1.5,core strength
17,11,0.0,1,9,1.5,core strength
18,10,0.0,0,10,1.0,core strength
19,9,0.0,0,9,1.0,core strength
20,8,0.0,0,8,1.0,core strength
21,7,0.0,0,7,1.0,core strength
22,6,0.0,0,6,1.0,core strength
23,5,0.0,0,5,1.0,core strength
24,4,0.0,0,4,1.0,core strength
25,3,0.0,0,3,1.0,core strength
26,2,0.0,0,2,1.0,core strength
