node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
23,1,27,0.2159093314955836,5,1,5.666666666666667,random
20,2,26,0.21394964973728475,5,1,5.0,random
2,3,25,0.21440313647027798,4,1,5.0,random
4,4,24,0.21748567961753099,3,1,5.0,random
25,5,23,0.17466299389389373,3,1,4.0,random
16,6,22,0.17529626712861163,2,1,4.0,random
5,7,21,0.1725514699662161,2,1,3.6666666666666665,random
6,8,20,8.9237279668029e-16,2,2,4.0,random
8,9,19,7.082027815370687e-16,2,2,3.0,random
9,10,18,-1.9860207066444789e-16,4,3,1.0,random
14,11,17,-1.8606725290521372e-16,5,4,1.0,random
7,12,16,-3.50809507815843e-16,5,5,2.0,random
18,13,15,-2.1229597196467796e-16,5,4,1.3333333333333333,random
1,14,14,2.0546446339425563e-16,4,4,1.0,random
24,15,13,0.0,0,9,1.0,random
19,16,12,0.0,0,8,1.0,random
26,17,11,0.0,0,8,2.0,random
21,18,10,0.0,0,7,2.0,random
10,19,9,0.0,0,6,2.0,random
15,20,8,0.0,0,5,2.0,random
11,21,7,0.0,0,6,1.0,random
13,22,6,0.0,0,5,1.0,random
3,23,5,0.0,0,5,1.0,random
17,24,4,0.0,0,4,1.0,random
12,25,3,0.0,0,3,1.0,random
27,26,2,0.0,0,2,1.0,random
