node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
ELS2,1,14,0.5340408632573866,5,1,3.0,core influence,0.5340408632573866,1.0,5.0,3.0
ELS3,2,13,6.126812245159782e-16,5,2,1.0,core influence,0.26702043162869366,1.5,5.0,2.0
ELS1,3,12,0.0,5,5,2.6666666666666665,core influence,0.17801362108579577,2.6666666666666665,5.0,2.222222222222222
ELS-GREY1-TSN108-WSU-CHS,4,11,0.0,0,10,1.0,core influence,0.13351021581434683,4.5,3.75,1.9166666666666665
ELS-GREY1-TSN177-UNISAE,5,10,0.0,0,10,1.0,core influence,0.10680817265147746,5.6,3.0,1.7333333333333332
DUR,6,9,0.0,0,9,1.0,core influence,0.08900681054289789,6.166666666666667,2.5,1.611111111111111
ELS-GREY1-TSN393-WSU-CAM,7,8,0.0,0,8,1.0,core influence,0.07629155189391247,6.428571428571429,2.142857142857143,1.5238095238095237
BLOEM2,8,7,0.0,0,7,1.0,core influence,0.06675510790717341,6.5,1.875,1.4583333333333333
UTT,9,6,0.0,0,6,1.0,core influence,0.059337873695265254,6.444444444444445,1.6666666666666667,1.4074074074074074
BAAIIS,10,5,0.0,0,5,1.0,core influence,0.05340408632573873,6.3,1.5,1.3666666666666667
PTD-TSN216-WSU-PTD-PE,11,4,0.0,0,4,1.0,core influence,0.04854916938703521,6.090909090909091,1.3636363636363635,1.3333333333333333
UTE-TSN12-WSU-B-PE,12,3,0.0,0,3,1.0,core influence,0.04450340527144894,5.833333333333333,1.25,1.3055555555555556
BLOEM,13,2,0.0,0,2,1.0,core influence,0.04108006640441441,5.538461538461538,1.1538461538461537,1.2820512820512822
