node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
14,1,14,0.5340408632573866,5,1,3.0,random,0.5340408632573866,1.0,5.0,3.0
7,2,13,0.5636169778111051,4,1,3.0,random,0.5488289205342458,1.0,4.5,3.0
4,3,12,0.5674930838650907,4,1,2.5,random,0.5550503083111941,1.0,4.333333333333333,2.8333333333333335
9,4,11,0.5677047365293185,4,1,2.5,random,0.5582139153657253,1.0,4.25,2.75
3,5,10,-1.1102230246251565e-16,5,3,1.0,random,0.44657113229258016,1.4,4.4,2.4
1,6,9,1.1102230246251565e-16,5,3,6.0,random,0.37214261024381684,1.6666666666666667,4.5,3.0
10,7,8,0.0,0,8,1.0,random,0.31897938020898586,2.5714285714285716,3.857142857142857,2.7142857142857144
5,8,7,0.0,0,7,1.0,random,0.27910695768286264,3.125,3.375,2.5
13,9,6,0.0,0,6,1.0,random,0.2480950734958779,3.4444444444444446,3.0,2.3333333333333335
8,10,5,0.0,0,5,1.0,random,0.2232855661462901,3.6,2.7,2.2
6,11,4,0.0,0,4,1.0,random,0.2029868783148092,3.6363636363636362,2.4545454545454546,2.090909090909091
12,12,3,0.0,0,3,1.0,random,0.18607130512190842,3.5833333333333335,2.25,2.0
11,13,2,0.0,0,2,1.0,random,0.17175812780483854,3.4615384615384617,2.076923076923077,1.9230769230769231
