node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
1,1,32,0.22359960790215574,8,1,5.5,closeness,0.22359960790215574,1.0,8.0,5.5
10,2,31,0.0,6,4,3.0,closeness,0.11179980395107787,2.5,7.0,4.25
3,3,30,0.0,7,7,4.0,closeness,0.07453320263405191,4.0,7.0,4.166666666666667
16,4,29,-3.141692646100895e-16,0,14,1.6666666666666667,closeness,0.05589990197553886,6.5,5.25,3.5416666666666665
11,5,28,0.0,0,15,1.6666666666666667,closeness,0.04471992158043109,8.2,4.2,3.166666666666667
21,6,27,0.0,0,14,1.3333333333333333,closeness,0.03726660131702591,9.166666666666666,3.5,2.861111111111111
27,7,26,-3.8412514760896006e-16,0,14,1.0,closeness,0.031942801128879296,9.857142857142858,3.0,2.5952380952380953
31,8,25,0.0,1,14,1.6666666666666667,closeness,0.02794995098776938,10.375,2.75,2.4791666666666665
23,9,24,0.0,2,14,1.0,closeness,0.024844400878017227,10.777777777777779,2.6666666666666665,2.314814814814815
8,10,23,0.0,2,14,1.3333333333333333,closeness,0.022359960790215506,11.1,2.6,2.216666666666667
22,11,22,0.0,2,13,1.3333333333333333,closeness,0.020327237082014095,11.272727272727273,2.5454545454545454,2.1363636363636362
2,12,21,0.0,2,12,1.3333333333333333,closeness,0.01863330065851292,11.333333333333334,2.5,2.069444444444444
5,13,20,0.0,2,11,1.0,closeness,0.017199969838627312,11.307692307692308,2.4615384615384617,1.987179487179487
32,14,19,0.0,2,10,1.0,closeness,0.015971400564439648,11.214285714285714,2.4285714285714284,1.9166666666666665
24,15,18,0.0,2,9,1.5,closeness,0.014906640526810337,11.066666666666666,2.4,1.8888888888888888
28,16,17,0.0,1,10,2.0,closeness,0.01397497549388469,11.0,2.3125,1.8958333333333333
25,17,16,0.0,0,10,1.0,closeness,0.013152918111891473,10.941176470588236,2.176470588235294,1.8431372549019607
26,18,15,0.0,0,10,1.0,closeness,0.012422200439008614,10.88888888888889,2.0555555555555554,1.7962962962962965
20,19,14,0.0,0,9,2.0,closeness,0.011768400415902897,10.789473684210526,1.9473684210526316,1.8070175438596492
4,20,13,0.0,1,9,1.3333333333333333,closeness,0.011179980395107753,10.7,1.9,1.7833333333333332
6,21,12,0.0,1,8,1.0,closeness,0.010647600376293097,10.571428571428571,1.8571428571428572,1.7460317460317458
7,22,11,0.0,1,7,1.0,closeness,0.010163618541007047,10.409090909090908,1.8181818181818181,1.712121212121212
9,23,10,0.0,1,6,2.0,closeness,0.009721722082702394,10.217391304347826,1.7826086956521738,1.7246376811594202
12,24,9,0.0,1,5,2.0,closeness,0.00931665032925646,10.0,1.75,1.736111111111111
13,25,8,0.0,1,4,1.0,closeness,0.008943984316086203,9.76,1.72,1.7066666666666666
14,26,7,0.0,1,3,1.0,closeness,0.008599984919313656,9.5,1.6923076923076923,1.6794871794871793
15,27,6,0.0,1,3,2.0,closeness,0.008281466959339076,9.25925925925926,1.6666666666666667,1.691358024691358
30,28,5,0.0,1,2,1.0,closeness,0.007985700282219824,9.0,1.6428571428571428,1.6666666666666665
19,29,4,0.0,1,2,2.0,closeness,0.007710331306970864,8.758620689655173,1.6206896551724137,1.6781609195402298
29,30,3,0.0,0,2,1.0,closeness,0.007453320263405169,8.533333333333333,1.5666666666666667,1.6555555555555554
18,31,2,2.0,0,1,1.0,closeness,0.07172901960974694,8.290322580645162,1.5161290322580645,1.6344086021505375
