node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
JNB2,1,32,0.22359960790215574,8,1,5.5,core influence,0.22359960790215574,1.0,8.0,5.5
JNB1,2,31,0.0,6,4,3.25,core influence,0.11179980395107787,2.5,7.0,4.375
JNB3,3,30,0.0,7,7,4.666666666666667,core influence,0.07453320263405191,4.0,7.0,4.472222222222222
ISD1,4,29,-1.9021669210701278e-16,7,8,3.3333333333333335,core influence,0.05589990197553889,5.0,7.0,4.1875
JNB-GREY2-TSN42-UJBU,5,28,0.0,0,15,1.5,core influence,0.04471992158043111,7.0,5.6,3.65
JNB-TSN44-UJ-DF-PE,6,27,0.0,0,16,1.6666666666666667,core influence,0.03726660131702592,8.5,4.666666666666667,3.3194444444444446
JNB-TSN76-UNISA-FLORIDA-PE,7,26,0.0,1,18,1.3333333333333333,core influence,0.031942801128879365,9.857142857142858,4.142857142857143,3.0357142857142856
JNB-GREY2-TSN42-UJBU-2,8,25,0.0,1,18,1.3333333333333333,core influence,0.027949950987769444,10.875,3.75,2.8229166666666665
JNB5-TSN249,9,24,0.0,1,18,1.3333333333333333,core influence,0.024844400878017283,11.666666666666666,3.4444444444444446,2.6574074074074074
JNB-TSN949-GIBS-NORTH,10,23,0.0,2,18,1.3333333333333333,core influence,0.022359960790215554,12.3,3.3,2.525
JNB-GREY1-TSN690-NHLS-BRAAM,11,22,0.0,1,19,1.3333333333333333,core influence,0.02032723708201414,12.909090909090908,3.090909090909091,2.4166666666666665
SDT-TSN535-UCT-GSB,12,21,0.0,1,18,1.3333333333333333,core influence,0.01863330065851296,13.333333333333334,2.9166666666666665,2.326388888888889
MTZ,13,20,0.0,1,17,1.3333333333333333,core influence,0.01719996983862735,13.615384615384615,2.769230769230769,2.25
JNB-GREY1-TSN110-WITSE,14,19,0.0,1,16,1.3333333333333333,core influence,0.015971400564439683,13.785714285714286,2.642857142857143,2.1845238095238093
JNB-GREY1-TSN112-WITSM,15,18,0.0,0,17,1.0,core influence,0.01490664052681037,14.0,2.466666666666667,2.1055555555555556
JNB-GREY2-TSN99-CSMI,16,17,0.0,0,16,1.0,core influence,0.013974975493884722,14.125,2.3125,2.0364583333333335
JNB-TSN251-GIBS,17,16,0.0,0,15,1.0,core influence,0.013152918111891503,14.176470588235293,2.176470588235294,1.9754901960784315
JNB-GREY-TSN284-WITS-HJH,18,15,0.0,0,14,1.0,core influence,0.012422200439008642,14.166666666666666,2.0555555555555554,1.9212962962962965
JNB-NHLS-TSN677-SAND,19,14,0.0,0,14,1.0,core influence,0.011768400415902923,14.157894736842104,1.9473684210526316,1.8728070175438598
JNB-GREY2-TSN295-CSIR-CTF,20,13,0.0,0,13,1.0,core influence,0.011179980395107777,14.1,1.85,1.8291666666666668
JNB-GREY-TSN285-WITS-RMH,21,12,0.0,0,12,1.0,core influence,0.010647600376293122,14.0,1.7619047619047619,1.7896825396825398
JNB-GREY2-TSN171-UJSO,22,11,0.0,0,11,1.0,core influence,0.01016361854100707,13.863636363636363,1.6818181818181819,1.753787878787879
JNB-GREY2-TSN659-WITS-CLMDC,23,10,0.0,0,10,1.0,core influence,0.009721722082702415,13.695652173913043,1.608695652173913,1.7210144927536233
BLOEM3,24,9,0.0,0,9,1.0,core influence,0.00931665032925648,13.5,1.5416666666666667,1.6909722222222223
UNISA,25,8,0.0,0,8,1.0,core influence,0.008943984316086222,13.28,1.48,1.6633333333333333
VDP,26,7,0.0,0,7,1.0,core influence,0.008599984919313675,13.038461538461538,1.4230769230769231,1.637820512820513
DURBS,27,6,0.0,0,6,1.0,core influence,0.008281466959339094,12.777777777777779,1.3703703703703705,1.6141975308641976
BLOEM2,28,5,0.0,0,5,1.0,core influence,0.007985700282219841,12.5,1.3214285714285714,1.5922619047619049
THY-TSN87-UNIVEN-MC-PE,29,4,0.0,0,4,1.0,core influence,0.007710331306970881,12.206896551724139,1.2758620689655173,1.5718390804597702
JNB-TSN199-UNISA-SBL-PE,30,3,0.0,0,3,1.0,core influence,0.007453320263405185,11.9,1.2333333333333334,1.5527777777777778
CPT1,31,2,0.0,0,2,1.0,core influence,0.007212890577488889,11.580645161290322,1.1935483870967742,1.5349462365591398
