removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
1,32,0.22359960790215574,8,1,5.5,core number
2,31,0.0,6,4,3.0,core number
3,30,-2.1616012044948358e-16,0,11,3.0,core number
4,29,-2.951520192634858e-16,0,11,3.0,core number
5,28,0.0,0,13,1.5,core number
6,27,-3.141692646100895e-16,0,12,1.6666666666666667,core number
7,26,0.0,0,12,1.6666666666666667,core number
8,25,0.0,0,12,1.6666666666666667,core number
9,24,0.0,0,12,1.6666666666666667,core number
10,23,-3.6698231038716187e-17,2,12,1.3333333333333333,core number
11,22,0.0,1,12,2.3333333333333335,core number
12,21,-1.442647472187964e-17,0,12,2.3333333333333335,core number
13,20,0.0,0,13,2.0,core number
14,19,0.0,0,12,2.0,core number
15,18,0.0,0,12,2.0,core number
16,17,0.0,0,11,2.0,core number
17,16,0.0,0,12,2.0,core number
18,15,0.0,0,12,2.0,core number
19,14,0.0,0,11,2.0,core number
20,13,0.0,0,10,2.0,core number
21,12,0.0,1,10,1.3333333333333333,core number
22,11,0.0,0,10,1.0,core number
23,10,0.0,0,10,1.0,core number
24,9,0.0,0,9,1.0,core number
25,8,0.0,0,8,1.0,core number
26,7,0.0,0,7,1.0,core number
27,6,0.0,0,6,1.0,core number
28,5,0.0,0,5,1.0,core number
29,4,0.0,0,4,1.0,core number
30,3,0.0,0,3,1.0,core number
31,2,0.0,0,2,1.0,core number
